uniqid_eco4,NWALT82_11_eco4,NWALT82_12_eco4,NWALT82_21_eco4,NWALT82_22_eco4,NWALT82_23_eco4,NWALT82_24_eco4,NWALT82_25_eco4,NWALT82_26_eco4,NWALT82_27_eco4,NWALT82_31_eco4,NWALT82_32_eco4,NWALT82_33_eco4,NWALT82_41_eco4,NWALT82_43_eco4,NWALT82_44_eco4,NWALT82_45_eco4,NWALT82_46_eco4,NWALT82_50_eco4,NWALT82_60_eco4,NWALT82_9999_eco4
1,3.75,0.14,0.52,0.17,0.16,0.06,0.09,0.42,0.31,0.03,0.44,0.03,0.00,11.57,2.18,0.21,4.38,75.38,0.15,0.00
2,0.02,0.00,0.26,0.04,0.01,0.01,0.04,0.08,0.17,0.00,0.02,0.00,0.00,79.61,0.51,0.02,1.13,18.08,0.02,0.00
3,0.06,0.00,0.35,0.05,0.02,0.01,0.04,0.10,0.15,0.00,0.07,0.01,0.00,36.66,1.43,0.48,2.95,57.57,0.04,0.00
4,1.13,0.00,0.13,0.02,0.01,0.01,0.00,0.08,0.17,0.00,0.01,0.00,0.00,34.22,1.97,0.06,3.92,58.29,0.00,0.00
5,4.51,0.15,0.93,0.51,0.45,0.13,0.39,1.09,0.81,0.28,0.51,0.18,0.00,42.94,4.47,0.31,3.33,38.84,0.17,0.00
6,1.32,0.00,0.32,0.19,0.02,0.08,0.20,0.87,0.22,0.00,0.54,0.00,0.00,46.59,1.04,0.23,30.21,18.18,0.00,0.00
7,0.07,0.00,0.16,0.04,0.02,0.01,0.04,0.21,0.25,0.04,0.12,0.05,0.00,20.26,2.20,0.16,8.34,67.85,0.17,0.00
8,0.00,0.00,0.42,0.27,0.03,0.02,0.10,0.34,0.30,0.00,0.05,0.00,0.00,90.86,0.37,0.00,1.09,6.14,0.00,0.00
9,0.01,0.00,0.41,0.08,0.06,0.02,0.00,0.36,0.29,0.00,0.02,0.00,0.00,81.53,0.90,0.00,4.16,12.17,0.00,0.00
10,0.02,0.00,0.24,0.09,0.02,0.01,0.03,0.13,0.20,0.00,0.01,0.01,0.00,69.21,0.16,0.05,11.56,18.27,0.00,0.00
11,1.26,0.01,0.06,0.00,0.00,0.05,0.00,0.00,0.02,0.00,0.08,0.00,0.00,0.79,0.19,0.12,1.55,95.88,0.00,0.00
12,4.45,0.00,0.55,0.36,0.26,0.09,0.14,0.21,0.17,0.00,0.24,0.01,0.00,7.67,0.16,0.05,63.91,21.52,0.20,0.00
13,3.14,0.03,0.62,0.23,0.06,0.02,0.04,0.32,0.70,0.00,0.34,0.01,0.01,1.76,5.68,0.29,13.42,73.12,0.22,0.00
14,0.00,0.00,0.13,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,4.48,0.62,0.17,13.61,80.94,0.00,0.00
15,0.24,0.03,0.13,0.01,0.00,0.00,0.00,0.03,0.06,0.00,0.09,0.00,0.00,0.22,0.56,1.40,0.85,95.49,0.89,0.00
16,0.02,0.06,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.06,98.60,0.99,0.00
17,0.02,0.00,0.17,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.00,0.00,0.00,1.23,0.09,0.05,3.75,93.25,1.39,0.00
18,0.20,0.02,0.13,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.01,0.04,0.21,0.80,93.02,5.52,0.00
19,0.36,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.22,0.03,0.11,2.07,84.05,13.09,0.00
20,0.09,0.00,0.06,0.00,0.00,0.08,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.21,0.06,0.19,2.83,83.74,12.71,0.00
21,0.82,0.00,0.11,0.01,0.00,0.03,0.00,0.01,0.02,0.00,0.01,0.00,0.00,1.10,0.11,0.08,33.50,51.88,12.32,0.00
22,0.01,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.02,99.46,0.38,0.00
23,0.58,0.02,0.13,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00,1.48,0.91,0.70,5.03,90.72,0.37,0.00
24,0.22,0.02,0.55,0.20,0.11,0.04,0.16,0.51,0.29,0.02,0.23,0.04,0.00,40.41,1.02,2.23,27.48,24.22,2.25,0.00
25,0.03,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.09,0.02,0.00,0.22,82.03,17.52,0.00
26,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,30.87,68.53,0.00
27,0.55,0.02,0.61,0.24,0.13,0.07,0.05,0.64,1.06,0.00,0.76,0.12,0.04,13.53,0.73,1.46,1.28,75.74,2.95,0.00
28,0.72,0.88,0.34,0.01,0.00,0.00,0.00,0.05,0.06,0.00,0.31,0.00,0.00,0.06,0.72,9.09,1.25,86.51,0.00,0.00
