uniqid_county,NWALT12_11_county,NWALT12_12_county,NWALT12_21_county,NWALT12_22_county,NWALT12_23_county,NWALT12_24_county,NWALT12_25_county,NWALT12_26_county,NWALT12_27_county,NWALT12_31_county,NWALT12_32_county,NWALT12_33_county,NWALT12_41_county,NWALT12_43_county,NWALT12_44_county,NWALT12_45_county,NWALT12_46_county,NWALT12_50_county,NWALT12_60_county,NWALT12_9999_county
1,0.03,0.01,0.23,0.41,0.16,0.21,0.75,1.27,0.19,0.58,3.35,0.02,0.52,0.48,0.02,0.00,1.56,75.77,14.41,0.03
2,0.06,0.01,0.18,0.05,0.01,0.02,0.01,0.17,0.07,0.00,0.84,0.02,0.03,0.06,0.10,0.01,10.73,87.19,0.44,0.00
3,0.28,0.03,0.24,0.03,0.00,0.01,0.03,0.07,0.08,0.01,0.38,0.00,0.00,0.56,4.11,0.10,3.11,80.14,10.81,0.00
4,0.67,0.01,0.18,0.04,0.01,0.03,0.03,0.19,0.07,0.01,0.57,0.00,0.25,0.01,0.01,0.00,0.01,89.52,8.38,0.00
5,0.15,0.02,0.22,0.19,0.12,0.05,0.32,0.23,0.11,0.09,0.49,0.01,0.01,5.04,0.75,0.02,0.19,65.57,26.35,0.06
6,0.11,0.00,0.26,0.11,0.02,0.05,0.08,0.57,0.07,0.01,2.57,0.01,0.10,0.00,0.20,0.01,3.33,85.66,6.85,0.00
7,0.09,0.25,0.33,0.18,0.06,0.16,0.40,0.66,0.46,0.15,1.90,0.03,0.21,9.97,0.63,0.01,0.23,80.25,4.03,0.00
8,0.01,0.01,0.30,0.04,0.07,0.01,0.01,0.06,0.11,0.00,0.15,0.01,0.71,0.11,0.22,0.02,0.22,81.69,16.25,0.00
9,0.04,0.00,0.27,0.13,0.04,0.09,0.06,0.61,0.21,0.04,3.26,0.02,0.00,0.18,0.67,0.01,0.96,88.17,5.15,0.11
10,0.15,0.02,0.18,0.04,0.02,0.02,0.03,0.08,0.04,0.01,0.21,0.00,0.01,0.01,0.01,0.00,5.89,84.83,8.43,0.00
11,0.02,0.08,0.13,0.03,0.00,0.01,0.02,0.09,0.07,0.01,0.29,0.00,0.01,1.67,0.05,0.00,1.70,91.16,4.64,0.00
12,0.30,0.19,0.65,1.69,0.53,0.90,3.98,2.66,0.45,0.63,3.62,0.02,0.00,5.02,0.44,0.01,5.22,65.48,8.21,0.00
13,0.02,0.02,0.23,0.08,0.11,0.03,0.11,0.19,0.16,0.03,1.13,0.07,0.01,3.34,0.20,0.02,2.96,87.25,3.99,0.05
14,0.75,0.07,0.15,0.08,0.01,0.04,0.05,0.35,0.09,0.01,0.87,0.00,0.02,0.11,0.11,0.00,4.58,80.40,12.30,0.00
15,0.11,0.01,0.22,0.02,0.01,0.00,0.00,0.05,0.04,0.00,0.40,0.02,0.01,0.03,0.04,0.03,13.07,83.32,2.62,0.00
16,0.47,0.04,4.09,12.81,5.67,6.09,24.26,6.15,1.68,4.23,3.18,0.08,0.06,0.52,0.11,0.03,1.00,29.11,0.41,0.00
17,0.36,0.02,0.56,0.63,0.57,0.27,0.96,0.94,0.32,0.86,0.97,0.20,0.09,5.47,1.61,0.31,3.35,63.53,18.99,0.00
18,6.69,0.02,0.41,0.20,0.08,0.03,0.22,0.21,0.25,0.03,0.46,0.01,0.05,9.29,7.94,0.10,0.01,66.19,7.72,0.09
19,0.30,0.01,0.52,0.45,0.30,0.12,0.71,0.64,0.39,0.06,1.75,0.05,0.41,18.34,1.79,1.05,13.22,55.31,4.58,0.00
20,0.40,0.07,1.15,2.52,1.45,1.45,4.67,4.58,0.61,2.28,5.37,0.04,0.02,1.76,0.26,0.13,2.41,66.37,4.42,0.03
21,0.14,0.00,0.37,0.44,0.24,0.10,0.72,0.84,0.21,0.52,1.36,0.01,0.08,0.16,0.10,0.01,0.17,65.11,29.40,0.00
22,1.31,0.06,0.67,1.20,0.35,0.85,2.33,2.50,0.61,0.89,3.74,0.05,0.04,2.82,2.10,0.18,1.69,45.92,32.67,0.00
23,0.46,0.02,0.96,1.72,1.03,0.81,3.00,2.29,0.80,1.49,1.40,0.03,0.06,6.83,1.01,0.46,1.76,52.25,23.62,0.00
24,0.46,0.00,2.51,5.60,3.08,2.13,13.21,4.24,0.79,3.81,3.51,0.02,0.08,0.94,1.93,0.78,3.60,48.45,4.85,0.00
25,0.05,0.00,0.17,0.01,0.01,0.00,0.02,0.03,0.03,0.00,0.04,0.01,0.00,0.73,0.28,0.14,55.98,42.29,0.20,0.00
26,0.25,0.49,0.17,0.03,0.00,0.00,0.00,0.14,0.16,0.00,0.03,0.00,0.01,0.01,11.80,0.99,15.67,58.97,11.28,0.00
27,0.53,0.00,0.28,0.11,0.01,0.06,0.07,0.16,0.21,0.03,0.69,0.05,0.06,0.46,8.64,0.13,1.04,79.43,8.04,0.00
