uniqid_county,NWALT82_11_county,NWALT82_12_county,NWALT82_21_county,NWALT82_22_county,NWALT82_23_county,NWALT82_24_county,NWALT82_25_county,NWALT82_26_county,NWALT82_27_county,NWALT82_31_county,NWALT82_32_county,NWALT82_33_county,NWALT82_41_county,NWALT82_43_county,NWALT82_44_county,NWALT82_45_county,NWALT82_46_county,NWALT82_50_county,NWALT82_60_county,NWALT82_9999_county
1,0.03,0.01,0.21,0.30,0.13,0.11,0.44,0.54,0.27,0.97,1.27,0.02,0.49,0.49,0.02,0.00,1.74,85.39,7.54,0.03
2,0.05,0.01,0.17,0.04,0.01,0.02,0.00,0.11,0.08,0.00,0.47,0.02,0.03,0.07,0.09,0.01,10.76,87.61,0.44,0.00
3,0.28,0.03,0.22,0.03,0.00,0.01,0.00,0.05,0.08,0.00,0.16,0.00,0.00,0.62,4.04,0.10,3.41,90.96,0.01,0.00
4,0.64,0.01,0.16,0.03,0.01,0.01,0.01,0.14,0.08,0.00,0.42,0.00,0.27,0.00,0.03,0.00,0.01,93.26,4.91,0.00
5,0.15,0.02,0.19,0.12,0.09,0.02,0.09,0.12,0.14,0.09,0.21,0.01,0.01,4.42,1.12,0.04,0.36,92.73,0.01,0.06
6,0.03,0.00,0.23,0.07,0.01,0.02,0.01,0.30,0.11,0.00,1.19,0.01,0.11,0.01,0.07,0.01,3.37,91.42,3.01,0.00
7,0.08,0.25,0.29,0.10,0.04,0.03,0.04,0.20,0.52,0.15,0.70,0.03,0.22,10.36,0.59,0.01,0.24,83.75,2.41,0.00
8,0.01,0.01,0.27,0.03,0.04,0.01,0.01,0.05,0.09,0.00,0.17,0.01,0.68,0.08,0.22,0.03,0.22,82.86,15.21,0.00
9,0.04,0.00,0.25,0.09,0.03,0.07,0.03,0.16,0.32,0.02,1.02,0.02,0.00,0.17,0.70,0.01,0.96,95.32,0.67,0.11
10,0.15,0.02,0.16,0.03,0.01,0.01,0.01,0.04,0.04,0.00,0.18,0.00,0.01,0.01,0.01,0.00,5.93,87.11,6.26,0.00
11,0.02,0.08,0.12,0.02,0.00,0.01,0.01,0.05,0.08,0.00,0.18,0.00,0.01,1.52,0.25,0.00,1.70,93.13,2.81,0.00
12,0.25,0.19,0.49,0.95,0.30,0.34,1.32,1.00,0.72,1.42,1.22,0.03,0.01,7.49,0.66,0.01,5.62,76.01,1.97,0.00
13,0.02,0.02,0.21,0.06,0.09,0.02,0.04,0.13,0.16,0.02,0.49,0.07,0.03,2.90,0.15,0.02,3.02,89.83,2.69,0.05
14,0.75,0.07,0.13,0.04,0.01,0.02,0.01,0.11,0.11,0.00,0.47,0.00,0.02,0.11,0.09,0.01,4.67,87.62,5.76,0.00
15,0.11,0.01,0.19,0.02,0.01,0.00,0.00,0.03,0.04,0.00,0.19,0.02,0.01,0.05,0.04,0.02,13.11,83.59,2.56,0.00
16,0.46,0.04,3.61,11.11,5.02,4.67,17.92,7.30,1.72,6.34,2.83,0.13,0.07,1.93,0.91,0.04,1.37,34.53,0.00,0.00
17,0.34,0.02,0.50,0.56,0.49,0.23,0.70,1.00,0.32,0.97,0.86,0.20,0.10,4.50,1.95,0.38,3.43,68.21,15.25,0.00
18,6.68,0.02,0.38,0.15,0.07,0.02,0.11,0.21,0.21,0.01,0.23,0.01,0.04,9.12,8.13,0.11,0.01,74.07,0.33,0.09
19,0.30,0.01,0.47,0.33,0.25,0.08,0.33,0.49,0.36,0.11,0.84,0.05,0.33,18.25,1.94,1.09,13.45,60.09,1.23,0.00
20,0.38,0.07,1.03,1.99,1.16,1.00,2.80,3.87,1.04,3.28,2.49,0.05,0.02,1.99,0.36,0.15,2.84,74.47,0.97,0.03
21,0.14,0.00,0.33,0.35,0.18,0.07,0.32,0.77,0.27,0.69,0.55,0.01,0.07,0.26,0.12,0.01,0.27,92.98,2.59,0.00
22,1.22,0.06,0.58,0.82,0.26,0.44,0.59,2.02,0.82,1.14,1.72,0.06,0.03,3.92,2.19,0.20,2.31,68.81,12.81,0.00
23,0.46,0.02,0.86,1.42,0.89,0.51,1.87,2.36,0.71,1.75,1.17,0.03,0.05,7.56,1.08,0.47,1.81,76.13,0.83,0.00
24,0.46,0.00,2.40,5.31,2.93,1.88,11.72,4.24,1.00,4.41,1.50,0.03,0.06,0.93,2.41,0.78,3.62,54.76,1.54,0.00
25,0.05,0.00,0.16,0.01,0.00,0.00,0.01,0.03,0.03,0.00,0.04,0.01,0.00,0.53,0.13,0.15,56.04,42.80,0.00,0.00
26,0.22,0.49,0.14,0.03,0.00,0.00,0.00,0.13,0.15,0.00,0.04,0.00,0.01,0.77,10.89,0.99,15.64,59.22,11.28,0.00
27,0.43,0.00,0.23,0.10,0.01,0.05,0.05,0.10,0.21,0.02,0.21,0.05,0.03,0.39,7.02,0.20,1.06,81.79,8.04,0.00
28,0.97,0.04,0.08,0.01,0.00,0.01,0.02,0.02,0.08,0.01,0.04,0.00,0.00,6.65,0.26,0.13,79.61,12.06,0.00,0.00
29,0.26,0.00,0.19,0.01,0.00,0.00,0.00,0.04,0.06,0.00,0.03,0.00,0.00,1.55,3.08,0.35,8.80,85.62,0.00,0.00
30,0.17,0.13,0.15,0.06,0.01,0.01,0.06,0.07,0.15,0.01,0.10,0.01,0.01,30.32,1.98,0.09,52.21,14.46,0.00,0.00
31,0.12,0.00,0.22,0.05,0.00,0.01,0.02,0.09,0.13,0.00,0.18,0.00,0.01,4.62,4.02,0.11,4.34,81.98,4.10,0.00
32,0.19,0.00,0.18,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.04,0.00,0.01,0.02,0.06,0.08,7.44,60.56,31.40,0.00
33,0.57,0.55,0.27,0.12,0.01,0.02,0.08,0.15,0.25,0.01,0.46,0.02,0.00,0.88,17.77,0.50,4.92,70.82,2.59,0.00
34,0.12,0.26,0.27,0.08,0.01,0.03,0.01,0.20,0.18,0.00,0.41,0.05,0.04,1.20,16.55,0.81,7.58,71.13,1.08,0.00
