uniqid_county,NWALT92_11_county,NWALT92_12_county,NWALT92_21_county,NWALT92_22_county,NWALT92_23_county,NWALT92_24_county,NWALT92_25_county,NWALT92_26_county,NWALT92_27_county,NWALT92_31_county,NWALT92_32_county,NWALT92_33_county,NWALT92_41_county,NWALT92_43_county,NWALT92_44_county,NWALT92_45_county,NWALT92_46_county,NWALT92_50_county,NWALT92_60_county,NWALT92_9999_county
1023,5.43,0.22,2.13,2.97,2.05,0.92,2.28,12.87,0.88,12.95,13.21,0.01,0.05,0.84,10.45,0.32,0.30,32.09,0.04,0.00
1024,2.34,0.00,0.37,0.19,0.21,0.04,0.03,0.81,1.15,0.00,1.52,0.00,0.00,3.17,16.06,0.45,0.32,67.61,5.73,0.00
1025,2.14,0.02,0.93,0.70,0.23,0.21,0.12,2.90,1.81,1.53,2.13,0.00,0.05,2.39,42.18,0.61,0.60,41.10,0.34,0.00
1026,0.71,1.43,0.50,0.16,0.07,0.02,0.00,0.62,0.65,0.00,2.49,0.00,0.00,11.00,11.98,1.67,0.36,68.33,0.00,0.00
1027,4.62,6.71,3.44,5.53,3.15,1.88,8.39,12.19,1.72,4.00,2.95,0.02,0.07,20.01,8.98,0.47,0.05,15.17,0.65,0.00
1028,0.67,4.66,1.16,0.96,0.66,0.21,0.56,2.16,1.08,1.91,1.50,0.00,0.00,30.24,8.72,1.29,0.21,44.01,0.00,0.00
1029,3.11,6.05,0.48,0.19,0.03,0.01,0.00,0.45,1.00,0.00,0.28,0.00,0.00,3.63,45.60,1.94,0.18,37.05,0.00,0.00
1030,4.14,0.71,0.70,0.49,0.12,0.13,0.15,1.51,1.29,0.01,2.34,0.06,0.00,10.48,25.68,15.10,17.96,18.95,0.22,0.00
1031,1.98,10.82,1.11,0.25,0.48,0.04,0.00,1.19,0.94,0.00,0.82,0.00,0.31,1.44,30.26,1.58,0.53,48.26,0.00,0.00
1032,2.49,5.43,0.95,1.27,0.41,0.24,0.62,3.95,1.80,0.88,7.79,0.01,0.01,1.60,26.24,1.92,0.24,44.12,0.01,0.00
1033,2.07,1.33,0.44,0.25,0.13,0.07,0.21,0.71,0.69,0.00,0.57,0.04,0.01,8.46,34.42,11.24,11.96,27.40,0.02,0.00
