uniqid_county,NLCD11_11_county,NLCD11_12_county,NLCD11_21_county,NLCD11_22_county,NLCD11_23_county,NLCD11_24_county,NLCD11_31_county,NLCD11_41_county,NLCD11_42_county,NLCD11_43_county,NLCD11_52_county,NLCD11_71_county,NLCD11_81_county,NLCD11_82_county,NLCD11_90_county,NLCD11_95_county,NLCD11_9999_county
1,0.03,0.00,1.34,1.47,0.71,0.16,0.94,0.00,2.07,0.02,90.75,1.37,0.02,0.47,0.62,0.02,0.01
2,0.06,0.00,0.55,0.18,0.05,0.01,1.84,0.00,19.15,0.00,64.24,13.43,0.10,0.06,0.24,0.11,0.00
3,0.32,0.00,0.72,0.35,0.07,0.01,1.66,0.14,0.03,0.00,88.94,2.65,3.96,0.55,0.46,0.14,0.00
4,0.67,0.00,0.56,0.25,0.07,0.01,0.36,0.00,37.51,0.00,59.92,0.35,0.01,0.01,0.14,0.15,0.00
5,0.15,0.00,0.92,0.59,0.31,0.08,14.09,0.01,0.00,0.00,76.93,0.80,0.73,4.85,0.35,0.14,0.03
6,0.11,0.00,0.86,0.44,0.14,0.03,0.28,0.00,19.24,0.00,75.09,3.33,0.20,0.00,0.17,0.11,0.00
7,0.09,0.00,3.13,1.02,0.37,0.08,0.41,0.00,0.93,0.00,82.56,0.30,0.62,9.56,0.83,0.08,0.00
8,0.01,0.00,0.48,0.37,0.09,0.01,0.90,0.11,41.41,0.00,54.00,2.12,0.21,0.11,0.14,0.05,0.00
9,0.04,0.00,1.68,0.29,0.11,0.05,0.01,0.00,11.57,0.14,82.43,2.45,0.66,0.18,0.21,0.16,0.02
10,0.15,0.00,0.51,0.16,0.07,0.02,4.60,0.05,25.75,0.00,58.26,10.20,0.01,0.01,0.14,0.06,0.00
11,0.02,0.00,0.41,0.22,0.04,0.01,0.21,0.01,16.51,0.00,78.22,2.09,0.05,1.63,0.48,0.09,0.00
12,0.31,0.00,3.35,4.13,3.69,0.91,0.20,0.00,0.48,0.00,76.64,4.11,0.42,4.86,0.69,0.21,0.00
13,0.02,0.00,1.56,0.27,0.09,0.02,0.88,0.00,7.03,0.45,81.78,4.15,0.20,3.30,0.17,0.04,0.02
14,0.75,0.00,0.70,0.45,0.15,0.03,2.20,0.12,8.77,0.00,81.43,4.82,0.11,0.11,0.27,0.09,0.00
15,0.11,0.00,0.48,0.15,0.03,0.00,2.49,0.16,27.39,0.00,53.17,15.68,0.04,0.03,0.12,0.15,0.00
16,0.42,0.00,11.04,15.22,27.91,8.17,0.28,0.01,0.91,0.68,29.29,4.90,0.07,0.50,0.42,0.17,0.00
17,0.32,0.00,4.22,1.51,0.98,0.07,0.91,0.00,11.20,11.04,43.35,18.85,1.51,5.19,0.41,0.44,0.00
18,6.69,0.00,0.92,1.50,0.46,0.07,26.58,0.02,0.02,0.01,46.49,0.10,7.63,8.82,0.47,0.20,0.02
19,0.30,0.00,3.69,1.21,1.12,0.24,5.11,0.68,5.21,0.25,38.49,24.22,1.73,17.49,0.09,0.17,0.00
20,0.39,0.00,6.81,4.43,5.88,1.64,12.02,0.01,2.92,1.94,49.30,11.53,0.23,1.71,0.65,0.54,0.00
21,0.14,0.00,1.41,1.19,0.81,0.12,11.34,0.00,1.77,0.21,81.55,1.13,0.09,0.16,0.07,0.03,0.00
