uniqid_county,NWALT74_11_county,NWALT74_12_county,NWALT74_21_county,NWALT74_22_county,NWALT74_23_county,NWALT74_24_county,NWALT74_25_county,NWALT74_26_county,NWALT74_27_county,NWALT74_31_county,NWALT74_32_county,NWALT74_33_county,NWALT74_41_county,NWALT74_43_county,NWALT74_44_county,NWALT74_45_county,NWALT74_46_county,NWALT74_50_county,NWALT74_60_county,NWALT74_9999_county
1,0.03,0.01,0.20,0.28,0.13,0.10,0.25,0.51,0.25,1.07,0.33,0.03,0.48,0.52,0.03,0.00,1.79,93.88,0.09,0.03
2,0.05,0.01,0.16,0.04,0.01,0.02,0.00,0.09,0.10,0.00,0.21,0.02,0.03,0.07,0.09,0.01,10.79,87.88,0.44,0.00
3,0.28,0.03,0.21,0.03,0.00,0.00,0.00,0.04,0.07,0.00,0.13,0.00,0.00,0.53,4.02,0.10,3.41,91.13,0.01,0.00
4,0.64,0.01,0.15,0.03,0.01,0.01,0.01,0.09,0.10,0.00,0.25,0.00,0.28,0.00,0.02,0.00,0.01,93.47,4.91,0.00
5,0.15,0.02,0.19,0.11,0.08,0.02,0.05,0.11,0.11,0.09,0.21,0.01,0.01,4.50,1.08,0.04,0.36,92.80,0.01,0.06
6,0.03,0.00,0.22,0.06,0.01,0.02,0.01,0.18,0.21,0.00,0.52,0.01,0.12,0.00,0.07,0.01,3.37,92.33,2.81,0.00
7,0.08,0.25,0.28,0.08,0.03,0.03,0.03,0.15,0.43,0.17,0.43,0.03,0.23,10.49,0.71,0.01,0.24,83.93,2.41,0.00
8,0.01,0.01,0.26,0.03,0.04,0.01,0.01,0.03,0.09,0.00,0.11,0.01,0.67,0.08,0.23,0.03,0.22,82.96,15.20,0.00
9,0.04,0.00,0.25,0.08,0.03,0.07,0.01,0.12,0.34,0.01,0.50,0.02,0.00,0.15,0.65,0.01,0.96,95.98,0.67,0.11
10,0.15,0.02,0.15,0.03,0.01,0.01,0.00,0.03,0.05,0.00,0.08,0.01,0.01,0.01,0.01,0.00,5.93,87.22,6.26,0.00
11,0.02,0.08,0.11,0.02,0.00,0.01,0.00,0.05,0.08,0.00,0.10,0.00,0.01,1.65,0.10,0.00,1.70,93.24,2.81,0.00
12,0.24,0.19,0.44,0.69,0.25,0.22,0.68,0.91,0.50,1.74,0.51,0.03,0.01,7.25,1.62,0.01,5.64,77.10,1.97,0.00
13,0.02,0.02,0.21,0.06,0.09,0.02,0.02,0.12,0.16,0.01,0.36,0.07,0.03,2.91,0.15,0.02,3.02,90.27,2.41,0.05
14,0.75,0.07,0.12,0.04,0.01,0.02,0.00,0.08,0.12,0.00,0.17,0.00,0.01,0.09,0.10,0.01,4.68,87.97,5.76,0.00
15,0.11,0.01,0.18,0.02,0.01,0.00,0.00,0.02,0.04,0.00,0.07,0.02,0.01,0.04,0.05,0.02,13.15,83.69,2.56,0.00
16,0.43,0.04,3.39,9.96,4.67,4.03,12.97,9.28,1.62,7.71,2.87,0.13,0.06,3.05,1.69,0.04,1.47,36.58,0.00,0.00
17,0.34,0.02,0.46,0.53,0.47,0.22,0.53,1.05,0.34,1.03,0.71,0.20,0.09,4.83,1.60,0.40,4.39,71.86,10.93,0.00
18,6.68,0.02,0.36,0.14,0.07,0.02,0.08,0.20,0.21,0.01,0.17,0.01,0.04,8.73,8.54,0.11,0.01,74.16,0.33,0.09
19,0.29,0.01,0.45,0.31,0.24,0.07,0.25,0.46,0.36,0.13,0.68,0.05,0.29,15.73,3.87,1.15,13.54,60.89,1.23,0.00
20,0.38,0.07,0.98,1.74,1.06,0.84,1.80,3.72,1.28,3.94,1.10,0.05,0.02,1.83,0.62,0.16,2.87,76.89,0.62,0.03
