uniqid_county,NLCD01_11_county,NLCD01_12_county,NLCD01_21_county,NLCD01_22_county,NLCD01_23_county,NLCD01_24_county,NLCD01_31_county,NLCD01_41_county,NLCD01_42_county,NLCD01_43_county,NLCD01_52_county,NLCD01_71_county,NLCD01_81_county,NLCD01_82_county,NLCD01_90_county,NLCD01_95_county,NLCD01_9999_county
1,0.01,0.00,1.30,1.35,0.58,0.09,0.96,0.00,2.27,0.01,91.02,1.37,0.02,0.49,0.51,0.00,0.01
2,0.05,0.00,0.55,0.17,0.04,0.00,1.81,0.00,20.20,0.00,63.23,13.43,0.12,0.07,0.24,0.10,0.00
3,0.29,0.00,0.73,0.35,0.06,0.01,1.74,0.17,0.03,0.00,88.93,2.65,4.12,0.38,0.44,0.11,0.00
4,0.45,0.00,0.56,0.25,0.06,0.01,0.36,0.00,38.49,0.00,59.30,0.28,0.04,0.00,0.17,0.03,0.00
5,0.09,0.00,0.89,0.55,0.21,0.04,14.18,0.01,0.00,0.00,77.08,0.81,0.75,4.88,0.35,0.11,0.03
6,0.10,0.00,0.86,0.42,0.10,0.01,0.27,0.00,19.58,0.00,75.02,3.33,0.10,0.00,0.17,0.04,0.00
7,0.10,0.00,3.09,0.82,0.15,0.04,0.38,0.00,0.99,0.00,83.05,0.18,0.66,9.73,0.77,0.04,0.00
8,0.01,0.00,0.47,0.36,0.07,0.00,0.87,0.13,44.40,0.00,52.83,0.38,0.21,0.08,0.14,0.05,0.00
9,0.04,0.00,1.70,0.28,0.08,0.02,0.01,0.00,12.05,0.15,82.89,1.70,0.67,0.19,0.17,0.04,0.02
10,0.19,0.00,0.50,0.15,0.05,0.01,4.59,0.05,26.21,0.00,57.92,10.16,0.01,0.01,0.14,0.02,0.00
11,0.15,0.00,0.41,0.22,0.03,0.01,0.14,0.01,16.88,0.00,78.10,1.90,0.08,1.64,0.39,0.03,0.00
12,0.29,0.00,3.22,3.44,2.71,0.59,0.18,0.00,0.53,0.00,77.73,4.15,0.48,5.87,0.72,0.09,0.00
13,0.03,0.00,1.56,0.26,0.06,0.01,0.88,0.00,8.07,0.66,81.48,3.48,0.21,3.12,0.16,0.01,0.02
14,0.95,0.00,0.70,0.45,0.12,0.02,2.15,0.12,8.94,0.00,81.29,4.80,0.10,0.10,0.20,0.04,0.00
15,0.11,0.00,0.48,0.15,0.02,0.00,2.50,0.16,28.03,0.00,52.75,15.48,0.04,0.04,0.11,0.13,0.00
16,0.43,0.00,11.54,15.41,26.14,7.43,0.50,0.01,0.92,0.71,29.62,5.80,0.23,0.65,0.43,0.17,0.00
17,0.30,0.00,4.28,1.51,0.87,0.04,0.90,0.00,11.21,11.09,43.44,18.84,1.53,5.11,0.42,0.45,0.00
18,6.95,0.00,0.91,1.49,0.42,0.05,26.39,0.01,0.02,0.01,46.60,0.08,7.66,8.81,0.45,0.13,0.02
19,0.25,0.00,3.68,1.15,0.95,0.21,5.07,0.67,5.36,0.25,38.37,24.48,1.75,17.57,0.09,0.15,0.00
20,0.38,0.00,6.74,4.36,5.47,1.49,12.09,0.01,2.93,1.96,49.56,11.75,0.26,1.80,0.66,0.54,0.00
21,0.14,0.00,1.46,1.18,0.67,0.05,11.37,0.00,1.84,0.21,81.58,1.14,0.10,0.17,0.07,0.01,0.00
22,1.33,0.00,3.90,2.77,2.06,0.19,6.66,0.01,1.87,0.32,68.21,7.29,2.10,2.90,0.25,0.14,0.00
23,0.48,0.00,5.73,3.67,3.22,0.23,1.40,0.00,13.51,7.64,45.43,10.44,0.87,6.58,0.51,0.30,0.00
24,0.42,0.00,8.54,7.87,12.39,4.48,4.71,0.00,4.65,2.41,41.68,9.80,1.97,0.73,0.21,0.11,0.00
25,0.06,0.00,0.40,0.09,0.01,0.00,0.18,2.11,16.83,0.41,18.03,60.14,0.30,0.72,0.43,0.30,0.00
26,0.22,0.01,1.12,0.52,0.06,0.00,0.63,6.63,20.25,1.18,29.44,22.03,11.39,0.01,3.67,2.84,0.00
27,0.41,0.00,0.88,0.59,0.09,0.01,1.49,18.89,36.31,3.06,21.41,6.53,8.68,0.39,1.25,0.01,0.00
28,1.54,0.00,1.36,0.14,0.01,0.00,0.23,0.00,0.01,0.00,11.70,75.37,0.13,8.08,0.39,1.05,0.00
29,0.39,0.02,0.87,0.32,0.01,0.00,1.92,5.44,23.75,1.80,43.58,14.56,3.44,1.98,1.33,0.61,0.00
30,0.16,0.00,2.33,0.36,0.05,0.01,0.12,0.03,0.02,0.00,10.32,48.55,2.55,34.42,0.54,0.56,0.00
31,0.43,0.00,1.04,0.37,0.04,0.00,0.82,10.54,29.50,0.72,40.69,6.13,4.40,4.71,0.60,0.01,0.00
32,0.21,0.00,0.29,0.09,0.02,0.00,3.94,9.70,51.35,2.61,0.55,26.69,0.13,0.01,3.60,0.80,0.00
