uniqid_eco4,NWALT12_11_eco4,NWALT12_12_eco4,NWALT12_21_eco4,NWALT12_22_eco4,NWALT12_23_eco4,NWALT12_24_eco4,NWALT12_25_eco4,NWALT12_26_eco4,NWALT12_27_eco4,NWALT12_31_eco4,NWALT12_32_eco4,NWALT12_33_eco4,NWALT12_41_eco4,NWALT12_43_eco4,NWALT12_44_eco4,NWALT12_45_eco4,NWALT12_46_eco4,NWALT12_50_eco4,NWALT12_60_eco4,NWALT12_9999_eco4
672,0.52,8.16,1.11,0.65,0.29,0.15,0.22,1.57,0.70,0.27,4.12,0.01,0.02,24.30,5.96,0.41,2.29,49.20,0.06,0.00
673,1.48,8.57,1.54,1.11,0.58,0.29,0.55,2.85,0.75,0.99,9.04,0.03,0.08,24.55,4.61,0.23,0.77,41.85,0.10,0.00
674,4.91,4.26,3.85,5.73,3.07,2.04,7.33,10.09,0.84,6.70,21.61,0.05,0.35,7.95,3.13,0.22,0.05,16.96,0.87,0.00
675,0.68,9.24,1.34,0.68,0.12,0.20,0.34,1.53,0.82,0.56,5.93,0.07,0.07,9.39,10.25,0.33,2.86,55.46,0.13,0.00
676,7.16,37.32,0.54,0.32,0.65,0.12,0.10,0.53,0.34,0.33,2.21,0.06,0.27,7.90,4.35,0.37,0.49,36.88,0.07,0.00
677,0.26,2.10,0.32,0.07,0.02,0.00,0.00,0.10,0.27,0.00,1.57,0.00,0.03,0.56,2.64,0.19,0.37,91.50,0.00,0.00
678,0.57,6.00,0.55,0.18,0.02,0.03,0.00,0.51,0.44,0.00,0.97,0.00,0.00,2.29,12.78,1.62,0.42,73.61,0.00,0.00
679,0.19,0.15,0.99,0.20,0.05,0.08,0.00,0.70,0.56,0.00,6.37,0.00,0.00,1.45,7.13,0.34,0.02,65.18,16.60,0.00
680,0.65,0.09,0.86,0.14,0.07,0.14,0.10,1.74,0.52,0.04,11.71,0.01,0.01,0.57,2.63,0.17,0.00,64.00,16.56,0.00
681,0.27,0.02,1.24,0.30,0.09,0.13,0.00,0.78,0.72,0.00,3.90,0.00,0.00,0.17,31.49,2.45,0.44,57.78,0.20,0.00
682,0.52,0.01,0.63,0.23,0.05,0.18,0.02,1.15,0.56,0.11,12.38,0.01,0.03,0.05,4.90,0.24,0.10,75.63,3.20,0.00
683,0.90,0.01,0.35,0.04,0.01,0.08,0.01,0.31,0.34,0.27,5.67,0.00,0.04,0.03,3.94,0.13,0.04,83.01,4.81,0.00
684,0.04,0.10,1.34,1.01,0.44,0.24,0.28,5.07,1.71,0.35,9.32,0.00,0.03,0.61,33.09,1.65,0.40,38.74,5.57,0.00
685,1.22,0.00,0.59,0.29,0.06,0.14,0.00,1.13,0.57,0.00,10.52,0.00,0.01,0.04,2.23,0.16,0.04,64.27,18.72,0.00
686,0.00,0.01,0.80,0.05,0.00,0.16,0.00,0.38,0.08,0.00,7.66,0.00,0.05,0.00,0.41,0.01,0.01,47.44,42.95,0.00
687,1.63,0.02,2.54,2.21,0.85,0.47,0.56,10.56,1.12,1.10,29.70,0.01,0.03,0.99,18.24,0.90,0.38,28.68,0.00,0.00
