uniqid_eco4,NWALT74_12_eco4,NWALT74_21_eco4,NWALT74_22_eco4,NWALT74_23_eco4,NWALT74_24_eco4,NWALT74_25_eco4,NWALT74_26_eco4,NWALT74_27_eco4,NWALT74_31_eco4,NWALT74_32_eco4,NWALT74_33_eco4,NWALT74_41_eco4,NWALT74_43_eco4,NWALT74_44_eco4,NWALT74_45_eco4,NWALT74_46_eco4,NWALT74_50_eco4,NWALT74_60_eco4,NWALT74_9999_eco4
537,3.88,0.37,0.15,0.04,0.04,0.03,0.37,0.59,0.00,0.90,0.00,0.02,33.75,16.50,1.87,2.72,25.52,0.10,0.00
538,6.64,0.42,0.16,0.04,0.03,0.00,0.39,0.77,0.01,0.40,0.00,0.01,33.55,30.95,1.53,1.62,20.29,0.03,0.00
539,8.39,0.36,0.11,0.02,0.02,0.01,0.29,0.41,0.00,0.34,0.00,0.01,31.56,20.73,1.79,2.07,31.63,0.03,0.00
540,7.42,0.75,0.52,0.15,0.41,0.15,1.30,1.83,0.00,3.36,0.04,0.14,12.20,4.56,0.22,6.51,48.98,0.22,0.00
541,12.72,0.22,0.10,0.03,0.13,0.00,0.79,1.19,0.00,4.18,0.01,0.03,2.30,1.36,0.06,5.86,66.30,0.00,0.00
542,0.05,0.43,0.13,0.02,0.04,0.03,0.48,0.47,0.00,0.10,0.00,0.01,46.72,37.67,1.30,0.25,11.95,0.24,0.00
543,1.58,0.48,0.15,0.11,0.06,0.10,0.45,0.54,0.09,0.57,0.01,0.01,26.63,18.82,2.18,2.39,42.48,0.46,0.00
544,0.17,0.70,0.34,0.06,0.13,0.16,0.83,0.61,0.25,0.51,0.00,0.02,59.34,16.50,2.47,8.62,9.17,0.01,0.00
545,0.71,0.81,0.67,0.32,0.37,0.74,2.17,1.08,0.77,0.64,0.01,0.03,59.36,20.64,0.68,0.67,9.78,0.08,0.00
546,2.92,1.56,1.79,1.09,1.44,2.27,6.46,2.27,3.63,3.15,0.01,0.19,35.34,15.19,0.59,0.50,16.10,1.94,0.00
547,4.08,0.78,0.43,0.18,0.32,0.40,1.22,0.98,0.29,0.68,0.01,0.03,51.57,20.16,0.52,0.21,14.43,0.21,0.00
548,3.65,1.28,1.05,0.68,0.59,1.22,2.55,1.41,0.99,0.52,0.01,0.05,36.56,29.09,0.40,0.23,10.02,0.11,0.00
549,0.22,0.80,0.46,0.20,0.17,0.36,0.99,0.74,0.16,0.20,0.01,0.03,85.76,3.94,0.13,0.22,4.90,0.07,0.00
550,1.48,9.17,14.26,10.29,6.21,29.82,6.41,1.52,8.67,0.50,0.03,0.30,5.39,2.02,0.09,0.20,1.44,0.55,0.00
551,3.86,0.57,0.22,0.13,0.09,0.23,0.35,0.59,0.02,0.34,0.00,0.01,79.67,2.53,0.26,1.23,9.06,0.17,0.00
552,0.42,0.67,0.32,0.17,0.10,0.18,0.84,0.94,0.07,0.58,0.01,0.04,76.19,3.62,0.26,0.87,12.68,0.76,0.00
553,0.62,2.65,3.48,2.07,2.46,6.47,8.43,1.76,7.32,3.18,0.03,0.08,42.63,7.69,0.49,1.16,7.18,1.63,0.00
554,0.62,3.29,5.54,2.43,3.68,6.64,11.98,2.34,6.30,2.02,0.02,0.11,32.23,9.95,0.57,1.45,8.65,0.96,0.00
555,0.23,0.60,0.45,0.16,0.28,0.43,1.11,0.92,0.12,0.38,0.00,0.06,71.88,10.44,0.44,0.32,10.98,0.50,0.00
556,0.41,0.76,0.64,0.31,0.27,0.41,1.57,1.19,0.25,0.66,0.01,0.04,72.92,8.51,0.29,0.57,10.21,0.08,0.00
557,0.06,1.32,1.45,0.68,0.58,1.31,3.17,1.46,1.06,0.93,0.02,0.04,65.22,10.09,0.39,0.54,10.75,0.10,0.00
558,0.02,1.58,1.25,1.95,0.65,2.05,3.00,1.55,0.99,0.93,0.00,0.02,60.03,13.89,0.45,0.61,9.67,0.22,0.00
559,0.01,0.93,0.77,0.40,0.28,0.84,2.09,1.34,2.12,1.47,0.01,0.07,33.67,18.42,1.35,0.83,34.47,0.21,0.00
560,0.01,0.93,0.24,0.10,0.07,0.16,0.58,0.84,0.01,0.12,0.00,0.01,84.81,6.98,0.21,0.35,4.19,0.00,0.00
561,0.04,0.95,0.60,0.32,0.24,0.56,1.49,1.07,0.05,0.90,0.02,0.01,68.35,12.10,0.41,0.66,11.63,0.04,0.00
562,2.95,0.60,0.49,0.20,0.18,0.15,1.43,1.35,0.01,1.80,0.00,0.01,64.77,9.49,0.22,0.25,12.58,0.14,0.00
563,3.85,1.12,1.10,0.62,0.38,0.68,3.03,1.63,1.00,2.00,0.01,0.02,48.61,14.46,0.36,0.83,18.27,0.06,0.00
564,0.68,0.39,0.14,0.02,0.05,0.01,0.50,0.88,0.00,0.63,0.00,0.00,78.89,4.07,0.18,0.62,11.80,0.10,0.00
565,5.28,1.16,1.06,0.67,0.54,0.64,3.70,1.75,1.57,7.12,0.06,0.09,21.72,6.41,0.58,2.96,41.58,0.38,0.00
566,2.70,0.84,0.68,0.28,0.24,0.17,1.96,1.82,0.84,1.91,0.01,0.05,45.44,18.50,0.41,1.03,21.91,0.00,0.00
567,3.62,1.00,1.10,0.38,0.45,0.83,2.74,1.74,1.31,1.99,0.01,0.03,41.26,20.32,0.36,0.49,21.14,0.00,0.00
568,6.45,1.02,1.06,0.58,0.77,0.40,4.75,2.02,2.06,4.96,0.15,0.13,20.78,18.71,0.58,0.71,31.54,0.05,0.00
569,1.05,1.83,2.46,1.43,1.02,4.86,3.94,1.37,1.92,1.48,0.02,0.09,63.71,5.59,0.15,0.62,7.68,0.02,0.00
570,0.61,2.73,3.68,1.77,1.55,6.38,5.75,1.70,3.43,6.51,0.01,0.13,43.43,6.96,0.26,0.75,13.11,0.35,0.00
571,0.57,0.54,0.38,0.11,0.10,0.12,0.93,1.13,0.01,0.57,0.00,0.18,82.37,1.78,0.15,0.36,9.49,0.08,0.00
572,1.94,1.32,0.84,0.76,0.55,0.70,2.35,1.71,0.01,1.96,0.02,0.67,69.76,3.15,0.21,0.75,10.94,0.06,0.00
573,5.15,0.61,0.55,0.22,0.19,0.34,1.76,1.23,0.39,2.08,0.01,0.03,51.49,11.98,0.19,0.95,22.22,0.00,0.00
574,0.21,0.32,0.06,0.01,0.02,0.00,0.01,0.40,0.01,0.08,0.00,0.01,1.90,6.76,0.16,0.01,84.82,4.96,0.00
575,3.00,0.12,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.04,0.05,0.00,0.01,90.37,0.48,0.00
