uniqid_eco4,NLCD01_11_eco4,NLCD01_12_eco4,NLCD01_21_eco4,NLCD01_22_eco4,NLCD01_23_eco4,NLCD01_24_eco4,NLCD01_31_eco4,NLCD01_41_eco4,NLCD01_42_eco4,NLCD01_43_eco4,NLCD01_52_eco4,NLCD01_71_eco4,NLCD01_81_eco4,NLCD01_82_eco4,NLCD01_90_eco4,NLCD01_95_eco4,NLCD01_9999_eco4
1,3.82,0.00,2.34,0.99,0.38,0.09,0.09,0.07,6.36,0.01,64.47,5.19,2.31,11.45,0.17,2.25,0.00
2,0.02,0.00,2.85,0.27,0.06,0.01,0.00,0.01,0.18,0.01,17.96,0.97,0.14,77.31,0.04,0.16,0.00
3,0.06,0.00,2.29,0.23,0.07,0.01,0.03,0.02,0.27,0.03,56.58,2.20,1.34,36.51,0.07,0.29,0.00
4,1.20,0.00,2.35,0.34,0.04,0.00,0.00,0.03,0.38,0.00,56.76,2.78,1.58,34.02,0.01,0.49,0.00
5,4.59,0.00,4.03,2.67,1.09,0.12,0.01,0.07,0.05,0.01,36.41,2.84,3.88,42.44,0.79,1.00,0.00
6,1.32,0.00,2.91,0.93,0.28,0.03,0.00,0.20,2.63,0.06,15.14,29.33,0.83,46.13,0.09,0.14,0.00
7,0.07,0.00,1.57,0.56,0.14,0.02,0.03,0.11,1.94,0.02,66.30,6.40,2.18,20.36,0.18,0.12,0.00
8,0.00,0.00,3.70,0.70,0.20,0.03,0.00,0.12,3.80,0.01,2.06,1.25,0.06,87.79,0.05,0.21,0.00
9,0.00,0.00,3.74,0.49,0.08,0.01,0.00,0.03,5.68,0.10,5.52,5.82,0.30,77.57,0.04,0.60,0.00
10,0.02,0.00,3.05,0.28,0.04,0.00,0.04,0.02,11.21,0.01,2.61,14.60,0.11,67.97,0.02,0.03,0.00
11,1.27,0.00,0.45,0.04,0.01,0.00,1.38,0.02,1.18,0.01,93.26,1.04,0.20,0.81,0.07,0.26,0.00
12,4.32,0.00,1.64,0.83,0.48,0.09,0.05,0.13,4.34,0.03,24.94,54.40,0.24,8.25,0.13,0.13,0.00
13,3.16,0.00,2.69,1.58,0.40,0.07,0.12,0.12,6.14,0.02,65.02,11.59,6.37,1.59,0.47,0.66,0.02
14,0.00,0.00,0.63,0.08,0.02,0.00,0.00,0.01,8.01,0.00,74.25,10.49,1.12,4.79,0.31,0.28,0.00
15,0.25,0.00,0.77,0.12,0.01,0.00,0.06,0.00,7.61,0.00,88.39,0.70,0.76,0.28,0.05,1.00,0.00
16,0.02,0.00,0.24,0.00,0.00,0.00,0.00,0.00,69.43,0.00,29.24,0.50,0.13,0.06,0.05,0.32,0.00
17,0.02,0.00,0.72,0.13,0.02,0.00,0.00,0.00,62.36,0.00,28.94,5.94,0.04,1.53,0.07,0.21,0.00
18,0.19,0.00,0.40,0.04,0.00,0.00,0.00,0.00,73.43,0.00,23.62,1.85,0.02,0.01,0.01,0.41,0.00
19,0.35,0.00,0.28,0.05,0.00,0.00,0.04,0.00,80.17,0.04,12.06,6.70,0.00,0.26,0.00,0.03,0.00
20,0.09,0.00,0.53,0.09,0.00,0.00,0.00,0.00,74.20,0.02,12.59,11.99,0.10,0.32,0.03,0.03,0.00
21,0.75,0.00,0.24,0.11,0.03,0.00,0.03,0.01,31.02,0.00,24.56,41.72,0.16,1.20,0.15,0.03,0.00
22,0.01,0.00,0.21,0.00,0.00,0.00,0.00,0.00,74.84,0.00,23.50,0.99,0.00,0.00,0.00,0.44,0.00
23,0.57,0.00,0.60,0.09,0.02,0.00,0.02,0.00,7.14,0.00,83.69,4.90,0.97,1.56,0.13,0.31,0.00
24,0.25,0.00,2.81,1.21,0.26,0.02,0.05,0.00,5.33,0.00,22.54,27.31,0.26,39.60,0.11,0.23,0.00
25,0.04,0.00,0.39,0.09,0.00,0.00,0.13,0.00,86.05,0.01,8.94,4.06,0.03,0.11,0.00,0.14,0.00
26,0.33,0.03,0.05,0.01,0.00,0.00,12.15,0.00,58.17,0.00,15.41,13.77,0.00,0.00,0.00,0.07,0.00
27,0.54,0.00,3.93,2.55,0.40,0.06,0.17,0.00,2.13,0.00,75.01,0.86,0.04,13.93,0.36,0.01,0.00
28,0.47,0.00,1.61,0.07,0.01,0.00,0.01,0.00,12.05,0.00,71.53,1.84,0.61,0.06,0.26,11.49,0.00
29,2.54,0.00,8.75,4.28,0.88,0.07,0.00,0.00,0.01,0.00,5.24,12.33,10.62,54.66,0.23,0.39,0.00
30,0.00,0.00,0.33,0.10,0.03,0.00,69.16,0.00,0.07,0.00,26.85,1.11,0.08,2.23,0.02,0.01,0.00
31,1.07,0.00,2.41,1.22,0.23,0.03,0.16,0.00,0.39,0.00,28.53,50.67,5.42,6.98,1.42,1.46,0.00
32,0.40,0.00,3.28,0.29,0.02,0.01,0.00,1.10,3.13,0.09,15.64,8.96,1.57,62.22,2.13,1.16,0.00
