uniqid_eco4,NLCD01_11_eco4,NLCD01_12_eco4,NLCD01_21_eco4,NLCD01_22_eco4,NLCD01_23_eco4,NLCD01_24_eco4,NLCD01_31_eco4,NLCD01_41_eco4,NLCD01_42_eco4,NLCD01_43_eco4,NLCD01_52_eco4,NLCD01_71_eco4,NLCD01_81_eco4,NLCD01_82_eco4,NLCD01_90_eco4,NLCD01_95_eco4,NLCD01_9999_eco4
33,6.16,0.00,6.22,2.84,1.02,0.13,0.06,0.00,0.01,0.00,3.87,1.37,5.54,65.04,7.37,0.38,0.00
34,0.65,0.00,0.44,0.15,0.03,0.00,0.02,0.16,3.89,0.00,74.52,15.51,1.47,2.88,0.20,0.09,0.00
35,0.38,0.00,1.64,0.21,0.04,0.00,0.82,0.02,0.59,0.00,64.18,15.12,2.11,14.45,0.09,0.34,0.00
36,0.40,0.00,1.79,0.48,0.24,0.06,0.00,0.00,0.02,0.00,41.73,44.53,2.93,7.74,0.04,0.03,0.00
37,0.95,0.00,5.95,2.02,0.57,0.11,0.00,0.00,0.00,0.00,4.75,5.84,16.28,63.41,0.11,0.01,0.00
38,0.61,0.00,1.26,0.22,0.03,0.00,0.02,0.00,0.10,0.00,42.24,46.67,2.48,6.24,0.07,0.06,0.00
39,25.66,0.00,0.10,0.12,0.04,0.03,59.72,0.00,0.00,0.00,13.14,0.12,0.38,0.02,0.02,0.65,0.00
40,1.08,0.00,1.61,2.74,1.76,0.69,0.18,0.02,1.63,0.00,77.45,7.08,3.19,1.15,0.42,1.00,0.00
41,0.03,0.00,2.75,0.55,0.08,0.03,0.00,0.00,1.94,0.00,31.78,49.77,6.62,1.39,0.00,5.06,0.00
42,0.22,0.00,2.49,0.73,0.05,0.00,2.80,0.04,0.41,0.01,83.37,1.46,3.09,2.58,0.42,2.34,0.00
43,22.74,0.00,0.38,0.37,0.03,0.00,1.37,0.01,0.32,0.00,71.85,2.30,0.24,0.00,0.29,0.11,0.00
44,0.07,0.00,0.80,0.06,0.00,0.00,0.58,0.00,0.49,0.00,92.79,4.18,0.60,0.11,0.12,0.21,0.00
45,0.21,0.00,0.47,0.28,0.09,0.04,4.53,0.00,0.04,0.00,80.32,10.54,2.37,0.67,0.08,0.35,0.00
46,0.90,0.00,0.97,0.60,0.23,0.03,0.50,0.07,3.30,0.00,73.81,12.48,5.20,1.67,0.11,0.14,0.00
47,0.01,0.00,0.25,0.12,0.05,0.00,0.17,0.98,56.03,0.04,40.33,1.74,0.16,0.01,0.12,0.01,0.00
48,0.00,0.07,0.01,0.00,0.00,0.00,3.66,2.61,61.99,1.45,21.67,8.52,0.00,0.00,0.02,0.00,0.00
49,10.04,0.00,9.09,19.14,14.17,5.43,0.11,0.28,0.36,0.00,5.64,1.50,19.46,10.77,1.93,2.08,0.00
50,12.75,0.00,0.28,0.24,0.03,0.01,31.86,0.00,0.04,0.00,21.58,0.37,4.74,1.19,0.43,26.46,0.00
51,8.73,0.00,0.25,0.17,0.01,0.00,50.19,0.00,0.00,0.00,39.36,0.34,0.44,0.12,0.10,0.28,0.00
52,0.64,0.00,5.29,2.43,0.57,0.19,0.25,0.55,0.42,0.00,11.74,6.60,23.36,44.23,1.03,2.68,0.00
53,0.92,0.00,0.69,0.54,0.07,0.01,5.91,0.00,0.00,0.00,85.86,1.97,1.42,1.72,0.54,0.36,0.00
54,0.05,0.00,0.11,0.01,0.00,0.00,0.56,0.00,1.26,0.00,86.09,11.46,0.25,0.08,0.13,0.01,0.00
55,0.00,0.00,0.02,0.00,0.00,0.00,0.25,0.33,23.76,0.01,69.42,6.03,0.00,0.00,0.19,0.00,0.00
56,0.16,0.00,0.94,0.18,0.03,0.00,0.47,0.05,0.31,0.00,84.72,8.78,2.41,0.22,1.72,0.02,0.00
57,0.01,0.00,0.39,0.07,0.00,0.00,0.04,23.55,6.02,0.09,57.37,5.99,3.96,0.00,1.14,1.38,0.00
58,0.26,0.00,0.04,0.00,0.00,0.00,1.21,12.92,14.03,1.11,42.73,27.29,0.00,0.00,0.40,0.01,0.00
59,0.01,0.00,0.44,0.13,0.02,0.00,0.10,0.01,4.12,0.00,90.07,3.18,1.48,0.09,0.09,0.27,0.00
60,0.00,0.00,0.11,0.03,0.00,0.00,0.18,0.21,62.44,0.01,33.39,3.58,0.01,0.00,0.03,0.00,0.00
61,0.00,0.00,0.22,0.02,0.00,0.00,0.09,0.00,3.06,0.00,91.34,4.78,0.33,0.01,0.12,0.01,0.00
62,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.07,64.18,0.01,31.90,3.67,0.01,0.00,0.10,0.00,0.00
63,0.00,0.00,0.03,0.00,0.00,0.00,0.06,2.67,39.35,0.54,54.37,2.86,0.00,0.00,0.11,0.00,0.00
64,0.01,0.00,0.37,0.15,0.01,0.00,1.12,0.00,0.02,0.00,97.08,0.67,0.34,0.21,0.01,0.02,0.00
65,0.00,0.00,0.12,0.01,0.00,0.00,0.13,0.00,2.60,0.00,95.30,1.83,0.00,0.00,0.00,0.00,0.00
66,0.00,0.00,0.09,0.01,0.00,0.00,0.01,0.00,55.37,0.00,35.28,9.23,0.00,0.00,0.00,0.00,0.00
67,0.01,0.00,0.22,0.08,0.01,0.00,0.22,0.10,35.99,0.01,60.25,2.96,0.02,0.00,0.07,0.07,0.00
68,0.00,0.00,0.05,0.00,0.00,0.00,1.76,0.51,27.11,0.28,55.77,14.48,0.00,0.00,0.03,0.00,0.00
69,0.03,0.00,1.04,0.33,0.05,0.00,1.80,0.00,0.00,0.00,76.96,11.87,4.07,1.41,2.43,0.01,0.00
70,0.02,0.00,1.32,1.08,0.89,0.35,7.05,0.00,0.04,0.01,87.59,1.45,0.04,0.09,0.06,0.00,0.00
71,0.05,0.00,0.17,0.09,0.01,0.00,1.42,0.00,0.94,0.01,96.56,0.73,0.02,0.00,0.01,0.00,0.00
72,0.00,0.00,0.06,0.07,0.01,0.00,0.02,0.06,51.23,0.28,45.91,2.36,0.00,0.00,0.00,0.00,0.00
73,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.62,78.91,3.05,15.73,1.56,0.00,0.00,0.00,0.00,0.00
74,10.78,0.00,0.79,1.08,0.41,0.07,3.46,0.00,0.01,0.01,80.13,0.22,0.56,0.92,1.36,0.20,0.00
75,0.60,0.00,0.41,0.37,0.04,0.00,72.04,0.00,0.00,0.00,26.17,0.12,0.04,0.11,0.07,0.02,0.00
76,0.02,0.00,0.78,1.17,0.13,0.01,5.64,0.00,0.01,0.00,91.56,0.20,0.13,0.23,0.11,0.00,0.00
77,0.00,0.00,0.30,0.24,0.02,0.00,22.70,0.00,0.00,0.00,76.67,0.01,0.03,0.04,0.00,0.00,0.00
78,0.00,0.00,0.24,0.35,0.08,0.00,35.37,0.00,0.00,0.00,63.79,0.13,0.00,0.00,0.03,0.00,0.00
79,0.11,0.00,3.25,1.67,0.68,0.10,8.03,0.00,0.03,0.01,79.97,3.99,1.23,0.76,0.12,0.04,0.00
80,0.00,0.00,0.34,0.08,0.01,0.00,1.14,0.00,0.09,0.00,98.05,0.28,0.00,0.00,0.00,0.00,0.00
81,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,25.89,0.11,72.86,1.07,0.00,0.00,0.00,0.00,0.00
82,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.21,76.78,1.82,19.84,1.26,0.00,0.00,0.00,0.00,0.00
83,0.00,0.00,0.19,0.19,0.02,0.00,29.14,0.00,0.05,0.00,70.32,0.09,0.00,0.00,0.00,0.00,0.00
84,0.00,0.00,0.12,0.03,0.00,0.00,73.00,0.00,0.00,0.00,26.78,0.05,0.00,0.00,0.02,0.00,0.00
85,0.89,0.00,0.00,0.00,0.00,0.00,11.14,0.00,1.81,0.00,85.19,0.92,0.00,0.00,0.05,0.00,0.00
86,0.49,0.00,0.43,0.26,0.13,0.00,0.04,0.09,78.09,0.00,15.63,3.81,0.42,0.09,0.22,0.30,0.00
87,1.56,0.00,2.78,1.88,0.14,0.01,0.05,0.00,1.91,0.00,11.88,47.07,25.00,7.43,0.16,0.13,0.00
88,20.31,0.00,4.27,2.44,0.60,0.10,0.00,0.28,7.63,0.00,2.75,16.93,23.05,17.94,3.42,0.26,0.00
89,1.37,0.00,2.03,1.80,0.51,0.06,0.00,0.51,17.72,0.01,57.03,7.50,7.41,3.11,0.62,0.35,0.00
90,0.47,0.00,0.44,0.22,0.06,0.00,0.01,0.24,42.37,0.00,6.70,47.84,1.09,0.26,0.27,0.03,0.00
91,0.03,0.00,3.67,0.38,0.03,0.01,0.00,0.49,16.75,0.02,11.68,7.46,0.03,59.12,0.13,0.20,0.00
92,0.42,0.00,0.26,0.20,0.03,0.00,0.00,0.02,37.13,0.00,49.53,11.13,0.13,0.16,0.63,0.31,0.03
93,0.48,0.08,0.00,0.00,0.00,0.00,0.31,0.00,70.29,0.00,21.14,7.65,0.01,0.00,0.00,0.02,0.00
94,0.05,0.00,0.02,0.01,0.01,0.00,0.01,0.01,82.87,0.03,16.39,0.33,0.01,0.01,0.10,0.16,0.00
95,2.66,0.00,2.36,0.51,0.12,0.02,0.15,0.61,43.17,0.07,16.57,23.96,0.03,9.44,0.16,0.19,0.00
96,1.33,0.00,0.30,0.22,0.04,0.00,0.01,0.02,85.63,0.00,10.22,1.22,0.24,0.06,0.15,0.56,0.00
97,1.33,0.00,0.30,0.23,0.07,0.00,0.07,0.15,78.00,0.00,16.37,2.31,0.30,0.09,0.33,0.45,0.00
98,3.05,0.00,2.89,2.04,0.28,0.04,0.02,0.96,40.26,0.00,10.57,6.01,0.08,30.62,1.79,1.39,0.01
99,0.01,0.00,0.87,0.27,0.02,0.00,0.00,0.02,61.03,0.00,29.97,3.66,0.01,3.42,0.35,0.38,0.00
100,0.40,0.00,0.27,0.23,0.18,0.03,0.10,0.07,86.30,0.02,10.56,0.66,0.09,0.00,0.47,0.62,0.00
101,0.32,0.00,0.16,0.07,0.02,0.01,0.03,0.04,72.05,0.02,26.31,0.45,0.01,0.00,0.16,0.35,0.00
102,0.68,0.00,0.39,0.17,0.02,0.00,0.03,0.11,88.18,0.01,8.55,0.87,0.08,0.03,0.47,0.39,0.01
103,3.10,0.00,0.67,0.53,0.12,0.01,0.03,0.35,65.51,0.00,17.58,8.30,1.15,1.33,0.70,0.61,0.01
104,1.89,0.00,5.19,9.31,5.14,0.87,0.02,0.02,38.81,0.00,16.23,10.17,1.29,9.94,0.29,0.83,0.00
105,4.59,0.00,1.75,0.92,0.20,0.02,0.46,2.48,72.57,0.06,6.17,2.16,3.52,1.04,3.11,0.95,0.00
106,14.12,0.00,0.73,0.91,0.21,0.03,0.05,0.22,66.38,0.01,8.32,3.80,0.93,0.88,2.13,1.30,0.00
107,4.19,0.00,1.06,0.68,0.10,0.01,0.01,0.07,64.60,0.01,18.93,3.83,0.08,5.65,0.30,0.49,0.00
108,0.98,0.00,0.15,0.20,0.01,0.00,0.05,0.01,86.57,0.00,9.04,2.38,0.05,0.01,0.14,0.41,0.00
109,0.04,0.00,0.30,0.09,0.01,0.00,0.00,0.13,79.97,0.00,16.46,2.55,0.03,0.01,0.31,0.09,0.03
110,0.57,0.00,0.11,0.07,0.01,0.00,0.01,0.10,90.79,0.00,7.24,0.75,0.05,0.03,0.18,0.09,0.01
111,0.09,0.00,0.10,0.04,0.01,0.00,0.01,0.01,76.74,0.00,9.50,12.85,0.16,0.19,0.27,0.03,0.00
112,0.06,0.00,0.07,0.03,0.01,0.00,0.01,0.00,89.00,0.00,8.24,2.38,0.02,0.00,0.11,0.06,0.00
113,0.24,0.00,0.45,0.05,0.00,0.00,0.00,0.12,82.77,0.35,14.92,1.01,0.00,0.00,0.04,0.03,0.00
114,0.06,0.10,0.20,0.18,0.04,0.01,0.09,0.05,46.55,0.00,37.68,14.17,0.12,0.03,0.26,0.47,0.00
115,0.31,0.02,0.01,0.00,0.00,0.00,0.07,0.00,74.14,0.00,13.95,11.36,0.02,0.00,0.12,0.02,0.00
116,0.48,0.00,0.21,0.14,0.03,0.00,0.23,0.10,8.69,0.00,56.88,31.35,0.80,0.48,0.34,0.27,0.00
117,9.11,0.00,1.83,0.64,0.11,0.01,0.03,0.14,38.95,0.00,22.25,11.47,6.34,2.61,3.48,3.03,0.00
118,0.77,2.07,0.00,0.00,0.00,0.00,1.68,0.00,40.79,0.00,12.24,42.39,0.00,0.00,0.02,0.05,0.00
119,0.03,0.00,0.06,0.02,0.00,0.00,0.01,0.00,87.46,0.00,8.11,3.98,0.04,0.18,0.07,0.04,0.00
120,0.27,0.00,0.09,0.06,0.01,0.00,0.01,0.45,58.92,0.00,27.18,12.81,0.11,0.00,0.07,0.03,0.00
121,0.18,0.01,0.05,0.02,0.00,0.00,0.08,0.28,64.15,0.00,22.26,12.52,0.03,0.01,0.27,0.15,0.00
122,0.18,0.00,0.94,0.60,0.20,0.04,0.14,0.32,27.16,0.00,29.01,38.56,0.67,1.21,0.52,0.44,0.00
123,0.40,0.00,2.07,1.23,0.58,0.03,0.13,0.02,1.35,0.01,39.03,38.16,10.74,5.08,0.76,0.40,0.00
124,0.07,0.00,0.29,0.12,0.02,0.00,0.07,0.08,6.33,0.03,53.67,37.76,0.93,0.13,0.20,0.30,0.00
125,0.12,0.00,1.16,0.17,0.05,0.00,0.04,0.19,8.22,0.00,7.68,76.04,6.05,0.00,0.25,0.03,0.00
126,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.00,60.63,0.00,14.24,24.55,0.01,0.00,0.00,0.00,0.00
127,0.10,0.00,0.00,0.00,0.00,0.00,0.29,0.00,80.51,0.00,2.86,16.14,0.01,0.00,0.08,0.00,0.00
128,6.49,0.00,0.92,0.03,0.00,0.00,0.07,0.01,0.70,0.04,30.32,40.16,0.19,0.00,0.16,20.90,0.00
129,0.15,0.00,0.12,0.01,0.00,0.00,0.06,0.00,82.70,0.00,4.96,11.38,0.59,0.00,0.03,0.00,0.00
130,0.06,0.00,0.13,0.03,0.00,0.00,0.04,0.00,64.46,0.03,8.72,26.18,0.31,0.00,0.03,0.00,0.00
131,0.12,0.01,0.23,0.09,0.03,0.00,0.09,0.00,80.55,0.07,8.38,10.22,0.14,0.02,0.04,0.01,0.00
132,0.02,0.00,0.32,0.23,0.07,0.00,0.05,0.03,67.71,0.63,14.37,16.17,0.19,0.08,0.13,0.00,0.00
133,0.39,0.00,2.20,1.16,0.37,0.02,0.42,0.01,9.97,0.01,28.29,38.76,10.88,5.36,2.15,0.00,0.00
134,0.01,0.00,0.07,0.03,0.00,0.00,0.02,0.01,68.27,0.18,20.51,10.42,0.35,0.03,0.10,0.00,0.00
135,0.99,0.00,0.19,0.08,0.02,0.00,0.09,0.00,82.44,0.00,12.13,3.74,0.14,0.07,0.11,0.00,0.00
136,0.05,0.00,0.03,0.00,0.00,0.00,2.17,0.29,58.78,0.08,27.82,10.19,0.01,0.00,0.33,0.23,0.00
137,0.06,0.00,0.06,0.00,0.00,0.00,0.26,0.85,54.95,0.35,32.20,10.22,0.02,0.00,0.55,0.47,0.00
138,0.13,0.00,0.70,0.28,0.08,0.01,0.05,0.61,73.91,0.09,8.70,15.02,0.37,0.01,0.02,0.05,0.00
139,0.13,0.00,0.52,0.24,0.05,0.00,0.28,1.18,88.67,0.43,2.46,5.97,0.01,0.00,0.01,0.02,0.00
140,0.43,0.00,0.00,0.00,0.00,0.00,0.14,0.45,62.86,0.04,27.94,7.70,0.06,0.01,0.20,0.18,0.00
141,0.01,0.01,0.01,0.00,0.00,0.00,1.48,0.14,51.48,0.02,21.95,24.74,0.01,0.00,0.06,0.08,0.00
142,0.05,0.01,0.07,0.00,0.00,0.00,3.31,0.02,77.00,0.02,10.76,8.72,0.04,0.00,0.01,0.00,0.00
143,0.18,0.00,0.16,0.02,0.00,0.00,0.02,2.03,57.19,0.33,30.27,7.55,0.10,0.00,1.02,1.12,0.00
144,0.74,0.80,0.01,0.00,0.00,0.00,13.32,0.25,18.78,0.22,29.75,36.03,0.01,0.00,0.05,0.03,0.00
145,0.17,0.00,0.17,0.02,0.00,0.00,0.18,0.23,52.34,0.07,33.84,11.40,0.12,0.01,0.59,0.86,0.00
146,6.29,0.00,0.37,0.05,0.01,0.00,0.06,0.96,54.47,0.05,28.26,6.52,0.03,0.04,1.10,1.79,0.00
147,1.52,0.00,0.18,0.03,0.01,0.00,0.34,2.39,62.24,0.22,23.58,8.90,0.03,0.00,0.36,0.20,0.00
148,0.36,0.00,0.11,0.01,0.00,0.00,0.44,0.46,67.76,0.06,21.45,8.95,0.02,0.01,0.27,0.10,0.00
149,0.11,0.00,0.17,0.05,0.01,0.00,0.16,1.25,49.17,0.03,31.74,16.98,0.04,0.01,0.19,0.11,0.00
150,5.29,0.00,2.01,0.44,0.08,0.01,0.16,1.42,14.83,0.25,42.71,13.86,5.15,2.27,3.10,8.42,0.00
151,0.57,0.00,0.16,0.01,0.00,0.00,0.42,5.70,47.42,0.13,36.02,8.66,0.11,0.24,0.25,0.30,0.00
152,1.17,0.00,1.76,0.45,0.04,0.00,0.00,0.03,24.12,0.19,5.72,42.08,13.53,3.45,7.46,0.01,0.00
153,0.02,0.00,0.21,0.08,0.03,0.00,0.78,0.16,79.27,0.13,4.85,14.20,0.19,0.01,0.06,0.00,0.00
154,0.05,0.00,0.14,0.04,0.02,0.00,0.11,2.65,50.45,0.66,22.31,21.31,0.24,0.00,2.01,0.02,0.00
155,0.65,0.00,4.53,3.77,1.57,0.23,0.03,0.02,17.74,0.01,19.93,22.39,17.61,4.96,2.33,4.21,0.00
156,0.00,0.00,0.18,0.01,0.00,0.00,0.00,6.42,48.12,0.00,23.02,15.41,2.41,0.07,4.34,0.00,0.00
157,1.74,0.00,2.25,0.30,0.02,0.00,0.09,0.25,2.50,0.07,21.20,47.41,14.52,6.68,2.38,0.59,0.00
158,0.08,0.00,0.27,0.12,0.02,0.00,0.20,0.01,69.58,0.14,13.13,16.28,0.07,0.08,0.02,0.00,0.00
159,2.58,0.00,3.80,2.15,0.55,0.06,0.04,0.05,3.97,0.06,12.07,50.28,13.09,9.57,1.62,0.10,0.00
160,0.27,0.00,0.22,0.08,0.01,0.00,0.42,0.05,80.15,0.22,12.44,4.86,0.40,0.21,0.67,0.00,0.00
161,0.13,0.00,0.46,0.12,0.01,0.00,0.01,0.12,23.23,0.02,34.89,40.38,0.44,0.03,0.14,0.02,0.00
162,0.18,0.00,0.00,0.00,0.00,0.00,0.08,0.18,69.50,0.04,22.41,7.47,0.00,0.00,0.11,0.03,0.00
163,0.49,0.00,0.54,0.19,0.04,0.01,0.69,0.08,0.57,0.00,84.27,9.82,1.65,0.19,0.58,0.89,0.00
164,0.46,0.00,0.65,0.23,0.05,0.01,0.24,0.06,0.90,0.00,59.06,32.22,3.23,1.25,0.88,0.75,0.00
165,4.54,0.00,1.63,0.52,0.10,0.01,0.06,0.54,0.98,0.02,51.70,3.76,23.77,0.52,3.55,8.29,0.00
166,0.21,0.00,0.28,0.09,0.02,0.00,0.29,0.60,7.95,0.16,70.32,17.84,0.91,0.02,0.55,0.76,0.00
167,0.24,0.00,0.45,0.20,0.04,0.01,2.59,0.00,0.11,0.00,90.10,5.45,0.28,0.03,0.26,0.25,0.00
168,0.79,0.00,1.03,0.32,0.14,0.02,0.18,0.21,0.32,0.01,75.81,10.88,3.62,0.00,1.10,5.59,0.00
169,0.54,0.00,0.76,0.61,0.10,0.02,1.97,0.02,0.03,0.00,42.98,43.09,3.41,4.01,1.27,1.18,0.00
170,0.86,0.02,0.02,0.00,0.00,0.00,37.45,0.63,20.95,0.07,19.76,20.02,0.00,0.00,0.22,0.00,0.00
171,0.86,0.00,0.16,0.03,0.00,0.00,2.64,0.36,85.50,0.22,6.48,3.15,0.00,0.00,0.60,0.00,0.00
172,0.32,0.00,0.64,0.21,0.01,0.00,0.35,18.75,61.27,3.84,12.49,1.15,0.04,0.00,0.88,0.04,0.00
173,0.23,0.00,0.61,0.04,0.00,0.00,1.16,39.24,31.56,3.58,22.34,1.18,0.01,0.00,0.04,0.00,0.00
174,0.37,0.00,0.74,0.28,0.05,0.00,1.41,12.97,48.71,9.18,24.46,1.70,0.00,0.00,0.13,0.00,0.00
175,0.33,0.00,0.93,0.29,0.07,0.00,0.48,24.23,35.16,0.28,35.97,1.03,0.83,0.16,0.12,0.12,0.00
176,2.87,0.00,3.12,1.46,0.54,0.03,0.59,4.33,6.91,0.04,61.98,0.70,12.76,3.99,0.67,0.00,0.00
177,5.06,0.00,7.62,4.98,2.23,0.61,5.10,1.88,24.51,6.78,6.39,7.62,9.24,1.29,8.21,8.47,0.00
178,1.36,0.00,4.56,0.99,0.21,0.07,2.85,2.28,52.60,11.03,13.07,4.23,1.12,0.11,3.86,1.66,0.00
179,0.76,0.04,0.99,0.19,0.02,0.00,1.25,1.81,83.37,2.65,6.49,1.24,0.16,0.00,0.98,0.03,0.00
180,0.56,0.00,4.68,0.45,0.05,0.01,2.27,3.12,60.40,14.70,8.80,3.26,0.46,0.08,0.88,0.27,0.00
181,1.13,0.00,3.06,0.77,0.08,0.01,3.99,2.80,61.90,3.23,15.21,3.00,1.28,0.05,3.10,0.40,0.00
182,0.56,0.00,4.50,0.93,0.18,0.04,3.44,4.51,47.75,10.85,15.85,4.66,3.07,0.28,2.66,0.71,0.00
183,0.20,0.00,4.63,0.15,0.01,0.00,1.33,1.28,55.73,20.32,10.09,3.97,1.24,0.06,0.68,0.31,0.00
184,0.11,0.00,3.63,0.19,0.03,0.01,0.69,0.42,56.44,19.26,9.75,8.44,0.59,0.01,0.27,0.15,0.00
185,0.83,0.00,2.65,0.14,0.04,0.01,0.55,4.14,69.67,12.45,5.79,3.04,0.18,0.04,0.31,0.16,0.00
186,0.35,0.00,2.37,0.16,0.04,0.00,0.43,4.30,64.43,5.03,12.27,10.17,0.00,0.00,0.24,0.21,0.00
187,0.22,0.00,4.33,0.10,0.02,0.00,0.10,2.22,76.44,4.52,7.91,3.71,0.00,0.01,0.37,0.06,0.00
188,0.89,0.00,13.08,2.47,0.85,0.09,0.46,0.55,51.24,1.83,8.28,13.92,0.21,0.70,3.88,1.56,0.00
189,0.92,0.00,3.52,0.60,0.25,0.03,1.31,4.25,27.08,7.67,19.80,31.25,0.00,0.00,1.10,2.22,0.00
190,0.16,0.00,8.24,1.01,0.44,0.05,0.21,0.04,57.90,20.00,5.78,5.64,0.01,0.29,0.18,0.06,0.00
191,1.19,0.00,7.07,2.95,1.48,0.28,0.56,0.11,5.90,31.55,11.25,29.90,0.23,5.92,1.05,0.56,0.00
192,0.17,0.00,2.89,0.82,0.08,0.01,0.00,0.41,17.88,0.00,41.51,1.54,16.07,17.37,1.22,0.01,0.00
193,0.25,0.00,1.21,1.16,0.41,0.08,7.08,0.12,3.27,0.00,68.46,6.60,7.26,3.03,1.08,0.00,0.00
