uniqid_eco4,NWALT02_11_eco4,NWALT02_12_eco4,NWALT02_21_eco4,NWALT02_22_eco4,NWALT02_23_eco4,NWALT02_24_eco4,NWALT02_25_eco4,NWALT02_26_eco4,NWALT02_27_eco4,NWALT02_31_eco4,NWALT02_32_eco4,NWALT02_33_eco4,NWALT02_41_eco4,NWALT02_43_eco4,NWALT02_44_eco4,NWALT02_45_eco4,NWALT02_46_eco4,NWALT02_50_eco4,NWALT02_60_eco4,NWALT02_9999_eco4
1,3.76,0.14,0.56,0.18,0.17,0.08,0.14,0.44,0.33,0.03,0.58,0.03,0.00,11.60,2.42,0.20,4.33,74.57,0.45,0.00
2,0.02,0.00,0.30,0.05,0.01,0.01,0.04,0.08,0.17,0.00,0.02,0.00,0.00,78.91,0.23,0.02,1.18,18.96,0.02,0.00
3,0.07,0.00,0.38,0.05,0.02,0.02,0.05,0.11,0.14,0.01,0.09,0.01,0.00,36.89,1.47,0.46,3.01,57.19,0.04,0.00
4,1.13,0.00,0.14,0.02,0.01,0.01,0.00,0.09,0.17,0.00,0.01,0.00,0.00,34.32,1.71,0.06,3.94,58.38,0.00,0.00
5,4.52,0.15,1.01,0.57,0.55,0.15,0.48,1.21,0.83,0.21,0.65,0.17,0.00,43.25,4.63,0.29,3.33,37.83,0.18,0.00
6,1.32,0.00,0.33,0.21,0.03,0.09,0.23,0.92,0.22,0.00,0.47,0.00,0.00,46.70,0.90,0.24,30.73,17.59,0.00,0.00
7,0.07,0.00,0.17,0.05,0.03,0.01,0.07,0.20,0.25,0.04,0.27,0.04,0.00,20.61,2.39,0.15,8.32,67.15,0.17,0.00
8,0.00,0.00,0.46,0.29,0.03,0.02,0.13,0.36,0.31,0.00,0.04,0.00,0.00,90.32,0.16,0.00,1.23,6.64,0.00,0.00
9,0.01,0.00,0.46,0.08,0.06,0.02,0.00,0.37,0.29,0.00,0.04,0.00,0.00,79.57,0.43,0.00,5.33,13.35,0.00,0.00
10,0.02,0.00,0.26,0.09,0.02,0.01,0.09,0.08,0.21,0.00,0.01,0.01,0.00,69.55,0.20,0.04,11.73,17.68,0.00,0.00
11,1.26,0.01,0.07,0.00,0.00,0.06,0.00,0.00,0.02,0.00,0.08,0.00,0.00,0.80,0.17,0.16,1.55,95.85,0.00,0.00
12,4.45,0.00,0.58,0.38,0.29,0.10,0.15,0.23,0.18,0.01,0.29,0.01,0.00,8.28,0.26,0.06,63.66,20.87,0.20,0.00
13,3.14,0.03,0.69,0.25,0.06,0.03,0.05,0.39,0.69,0.00,0.54,0.01,0.02,1.54,6.56,0.26,13.41,72.11,0.22,0.00
14,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,4.64,1.11,0.17,13.63,80.26,0.00,0.00
15,0.25,0.03,0.16,0.01,0.00,0.00,0.00,0.03,0.06,0.00,0.09,0.00,0.00,0.28,0.74,1.35,0.85,95.22,0.94,0.00
16,0.02,0.06,0.12,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.06,0.12,0.09,0.06,97.90,1.58,0.00
17,0.02,0.00,0.18,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,1.50,0.07,0.06,3.76,92.97,1.39,0.00
18,0.20,0.02,0.14,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.00,0.01,0.02,0.22,0.80,93.00,5.52,0.00
19,0.36,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.27,0.01,0.12,2.08,83.79,13.30,0.00
20,0.09,0.00,0.06,0.00,0.00,0.08,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.31,0.10,0.20,2.83,83.58,12.71,0.00
21,0.82,0.00,0.12,0.01,0.00,0.03,0.00,0.01,0.03,0.00,0.00,0.00,0.00,1.17,0.13,0.09,33.43,51.64,12.52,0.00
22,0.01,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.02,99.45,0.38,0.00
23,0.58,0.02,0.14,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.02,0.00,0.00,1.54,1.02,0.70,5.03,90.53,0.37,0.00
24,0.22,0.02,0.59,0.21,0.11,0.05,0.17,0.52,0.29,0.01,0.25,0.04,0.00,39.98,1.08,2.41,27.52,24.28,2.25,0.00
25,0.04,0.02,0.03,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.00,0.11,0.03,0.00,0.23,81.53,17.97,0.00
26,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.28,30.11,69.28,0.00
27,0.55,0.02,0.71,0.30,0.15,0.16,0.27,0.96,0.80,0.07,2.19,0.11,0.02,14.06,0.38,1.49,1.27,73.54,2.95,0.00
28,0.72,0.88,0.42,0.01,0.00,0.01,0.00,0.05,0.06,0.00,0.33,0.00,0.00,0.06,0.58,9.13,1.25,86.51,0.00,0.00
29,2.62,0.19,1.11,1.75,0.58,0.46,2.11,3.43,1.26,0.10,0.30,0.01,0.00,55.63,11.93,0.93,7.64,9.87,0.07,0.00
30,0.00,0.01,0.14,0.01,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,2.28,0.08,0.02,0.65,90.10,6.70,0.00
31,0.94,0.61,0.72,0.18,0.01,0.08,0.03,0.39,0.34,0.00,0.35,0.00,0.00,6.84,5.83,11.49,44.01,28.15,0.02,0.00
32,0.44,0.86,0.21,0.07,0.00,0.02,0.00,0.12,0.40,0.00,0.05,0.00,0.00,63.31,2.18,1.33,9.01,21.98,0.00,0.00
33,6.83,2.95,1.14,1.02,0.32,0.18,0.76,1.58,1.21,0.28,0.18,0.02,0.01,67.51,6.21,0.19,1.03,8.59,0.01,0.00
34,0.58,0.02,0.18,0.02,0.00,0.00,0.00,0.03,0.04,0.00,0.03,0.00,0.00,2.88,1.52,0.71,19.09,74.91,0.00,0.00
35,0.41,0.05,0.21,0.02,0.12,0.01,0.02,0.02,0.13,0.00,0.01,0.01,0.00,14.96,2.16,0.20,18.00,63.61,0.07,0.00
36,0.41,0.01,0.30,0.10,0.28,0.04,0.05,0.13,0.17,0.05,0.23,0.03,0.00,7.95,3.04,0.74,51.73,34.62,0.14,0.00
37,1.01,0.02,0.78,0.58,0.21,0.10,0.48,0.62,0.96,0.00,0.16,0.04,0.00,66.39,17.18,0.42,5.66,5.38,0.01,0.00
38,0.61,0.02,0.26,0.02,0.01,0.03,0.01,0.07,0.12,0.10,0.19,0.00,0.00,6.24,2.64,0.52,47.02,42.07,0.04,0.00
39,22.04,0.08,0.14,0.02,0.03,0.01,0.00,0.01,0.01,0.00,0.00,0.02,0.11,0.03,0.37,0.01,0.07,77.04,0.00,0.00
40,0.90,0.09,0.77,0.90,0.28,0.49,0.94,1.68,0.77,0.78,1.83,0.02,0.03,1.07,3.33,1.22,6.61,78.28,0.00,0.00
41,0.03,0.78,1.06,0.05,0.03,0.00,0.04,0.06,0.26,0.00,0.02,0.01,0.00,1.35,6.81,18.63,35.56,35.33,0.00,0.00
42,0.27,0.07,0.79,0.08,0.00,1.44,0.07,0.37,0.09,0.01,0.05,0.02,0.03,2.66,2.98,0.01,1.75,87.41,1.91,0.00
43,22.80,0.02,0.41,0.02,0.00,0.04,0.00,0.00,0.01,0.00,0.00,0.00,0.02,0.02,0.23,0.00,1.15,70.71,4.57,0.00
44,0.06,0.05,0.48,0.00,0.00,0.12,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.15,0.56,0.02,5.57,92.95,0.00,0.00
45,0.18,0.04,0.19,0.05,0.05,0.01,0.00,0.04,0.05,0.00,0.04,0.02,0.01,0.68,2.41,0.08,11.82,84.33,0.00,0.00
46,0.86,0.01,0.30,0.09,0.05,0.02,0.08,0.30,0.12,0.01,0.23,0.01,0.11,1.66,5.32,0.32,11.17,79.35,0.00,0.00
47,0.01,0.00,0.07,0.01,0.00,0.00,0.00,0.01,0.02,0.00,0.03,0.00,0.09,0.01,0.15,0.02,0.52,98.50,0.55,0.00
48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,72.67,26.74,0.00
49,9.84,0.41,3.93,7.97,3.58,2.79,12.89,14.51,1.51,3.12,1.51,0.14,0.06,10.24,19.92,0.40,0.95,6.20,0.02,0.00
50,15.24,6.84,0.09,0.01,0.02,0.00,0.00,0.00,0.03,0.01,0.06,0.04,0.06,1.18,4.70,0.19,0.12,71.39,0.00,0.00
51,7.17,0.05,0.09,0.00,0.05,0.00,0.00,0.00,0.02,0.00,0.00,0.03,0.06,0.13,0.44,0.01,0.41,91.43,0.11,0.00
52,0.69,1.02,0.85,0.55,0.20,0.11,0.29,2.08,0.80,0.16,0.22,0.08,0.00,45.00,25.10,1.77,5.79,15.19,0.12,0.00
53,0.88,0.05,0.26,0.04,0.04,0.02,0.03,0.12,0.16,0.00,0.27,0.03,0.12,1.77,1.47,0.06,1.98,86.83,5.87,0.00
54,0.06,0.01,0.02,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.35,0.08,0.25,0.08,11.92,86.26,0.97,0.00
55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.00,0.00,0.00,1.67,92.01,6.07,0.00
56,0.17,0.22,0.17,0.05,0.01,0.02,0.02,0.25,0.10,0.00,0.65,0.01,0.38,0.23,2.39,0.58,11.71,83.05,0.00,0.00
57,0.01,0.49,0.11,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,3.99,0.65,1.61,67.35,25.77,0.00
58,0.32,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,34.89,64.61,0.00
59,0.01,0.11,0.22,0.01,0.00,0.00,0.01,0.01,0.03,0.00,0.02,0.01,0.01,0.10,1.47,0.08,2.66,95.08,0.17,0.00
60,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.13,0.00,0.01,0.00,0.75,94.53,4.50,0.00
61,0.01,0.01,0.10,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.04,0.01,0.33,0.04,4.64,94.71,0.10,0.00
62,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.85,96.24,2.88,0.00
63,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.33,76.20,23.46,0.00
64,0.02,0.00,0.19,0.00,0.02,0.00,0.00,0.01,0.03,0.00,0.02,0.03,0.09,0.22,0.34,0.02,0.97,97.04,1.01,0.00
