uniqid_county,NLCD06_11_county,NLCD06_12_county,NLCD06_21_county,NLCD06_22_county,NLCD06_23_county,NLCD06_24_county,NLCD06_31_county,NLCD06_41_county,NLCD06_42_county,NLCD06_43_county,NLCD06_52_county,NLCD06_71_county,NLCD06_81_county,NLCD06_82_county,NLCD06_90_county,NLCD06_95_county,NLCD06_9999_county
1175,1.18,0.00,7.19,1.65,0.32,0.13,0.08,37.48,4.57,1.50,2.28,4.93,37.96,0.53,0.22,0.02,0.00
1176,1.02,0.00,8.55,2.94,1.00,0.43,0.30,27.53,20.57,7.42,2.12,9.91,11.64,4.21,2.22,0.16,0.00
1177,2.69,0.00,19.56,9.35,4.03,1.05,0.60,19.37,14.06,5.27,1.01,5.82,9.82,4.32,2.91,0.13,0.00
1178,1.17,0.00,6.04,3.44,0.58,0.14,0.44,12.52,18.73,5.09,3.49,16.02,6.42,17.04,8.30,0.58,0.00
1179,0.89,0.00,3.64,0.36,0.09,0.03,0.07,0.95,3.25,0.25,1.08,0.36,5.76,28.01,53.21,2.05,0.00
1180,1.52,0.00,2.31,0.75,0.11,0.03,0.31,0.20,21.30,2.05,13.47,4.64,0.09,19.34,32.33,1.54,0.00
1181,0.41,0.00,13.55,3.46,1.27,0.45,0.07,60.86,3.74,1.66,0.39,1.14,12.60,0.32,0.08,0.00,0.00
1182,0.51,0.00,5.81,2.31,0.68,0.18,0.15,3.76,24.12,1.58,5.51,10.68,2.25,20.09,21.93,0.42,0.00
1183,0.69,0.00,8.96,4.08,0.78,0.36,0.10,34.39,7.78,1.75,1.63,3.60,34.75,0.32,0.81,0.01,0.00
1184,0.44,0.00,3.21,0.48,0.04,0.01,0.13,0.30,20.88,3.74,8.97,6.15,0.05,19.73,34.11,1.76,0.00
1185,3.01,0.00,7.69,5.67,0.87,0.30,0.17,34.40,7.48,1.27,1.25,5.31,31.61,0.39,0.58,0.01,0.00
1186,1.82,0.00,15.80,9.38,2.31,1.06,0.20,37.93,7.50,1.42,0.64,3.97,16.87,0.14,0.93,0.03,0.00
1187,0.08,0.00,5.12,0.41,0.11,0.03,0.04,79.34,3.44,2.13,0.74,0.85,7.52,0.11,0.08,0.00,0.00
1188,0.46,0.00,8.08,0.92,0.24,0.06,0.72,54.08,12.51,1.42,1.27,7.13,11.99,0.10,1.03,0.00,0.00
1189,0.67,0.00,5.11,3.22,0.99,0.26,1.27,0.13,21.88,3.24,10.36,5.76,0.06,13.22,30.21,3.62,0.00
1190,0.81,0.00,2.99,1.02,0.13,0.02,0.09,48.44,10.90,3.65,2.18,8.11,20.13,0.61,0.91,0.02,0.00
1191,1.12,0.00,5.68,2.72,0.40,0.11,0.04,44.11,5.99,3.86,2.27,3.47,29.84,0.20,0.20,0.00,0.00
1192,1.28,0.00,6.47,2.90,0.77,0.35,0.10,46.39,8.17,1.81,1.86,5.72,22.34,0.50,1.30,0.04,0.00
