uniqid_county,NWALT02_11_county,NWALT02_12_county,NWALT02_21_county,NWALT02_22_county,NWALT02_23_county,NWALT02_24_county,NWALT02_25_county,NWALT02_26_county,NWALT02_27_county,NWALT02_31_county,NWALT02_32_county,NWALT02_33_county,NWALT02_41_county,NWALT02_43_county,NWALT02_44_county,NWALT02_45_county,NWALT02_46_county,NWALT02_50_county,NWALT02_60_county,NWALT02_9999_county
1,0.03,0.01,0.23,0.37,0.14,0.19,0.64,1.09,0.21,0.69,2.48,0.02,0.51,0.49,0.02,0.00,1.65,76.80,14.41,0.03
2,0.06,0.01,0.18,0.05,0.01,0.02,0.01,0.15,0.08,0.00,0.78,0.02,0.03,0.08,0.11,0.01,10.73,87.24,0.44,0.00
3,0.28,0.03,0.24,0.03,0.00,0.01,0.02,0.07,0.07,0.01,0.36,0.00,0.00,0.35,4.30,0.10,3.11,80.20,10.81,0.00
4,0.64,0.01,0.18,0.04,0.01,0.03,0.03,0.18,0.07,0.01,0.58,0.00,0.25,0.00,0.03,0.00,0.01,89.55,8.38,0.00
5,0.15,0.02,0.21,0.15,0.10,0.05,0.24,0.14,0.16,0.11,0.19,0.01,0.01,5.12,0.68,0.03,0.19,66.03,26.35,0.06
6,0.11,0.00,0.26,0.09,0.02,0.04,0.07,0.49,0.08,0.01,1.94,0.01,0.10,0.00,0.09,0.01,3.34,86.49,6.85,0.00
7,0.08,0.25,0.32,0.15,0.05,0.10,0.18,0.36,0.56,0.12,1.31,0.03,0.21,10.16,0.59,0.01,0.24,81.26,4.03,0.00
8,0.01,0.01,0.30,0.04,0.04,0.01,0.01,0.05,0.10,0.00,0.16,0.01,0.71,0.07,0.23,0.03,0.22,81.74,16.25,0.00
9,0.04,0.00,0.27,0.11,0.04,0.09,0.03,0.51,0.29,0.02,1.96,0.02,0.00,0.18,0.65,0.01,0.96,89.57,5.15,0.11
10,0.15,0.02,0.17,0.04,0.01,0.02,0.02,0.06,0.04,0.01,0.19,0.00,0.01,0.01,0.01,0.00,5.90,84.90,8.43,0.00
11,0.02,0.08,0.13,0.03,0.00,0.01,0.02,0.08,0.07,0.00,0.28,0.00,0.00,1.68,0.07,0.00,1.70,91.16,4.64,0.00
12,0.30,0.19,0.60,1.44,0.42,0.77,3.01,1.92,0.61,0.76,2.08,0.03,0.00,5.99,0.46,0.01,5.38,67.82,8.21,0.00
13,0.02,0.02,0.23,0.07,0.10,0.02,0.08,0.17,0.17,0.02,0.71,0.07,0.01,3.12,0.18,0.02,2.98,87.96,3.99,0.05
14,0.75,0.07,0.14,0.07,0.01,0.04,0.05,0.33,0.09,0.01,0.70,0.00,0.02,0.11,0.10,0.01,4.60,80.61,12.30,0.00
15,0.11,0.01,0.22,0.02,0.01,0.00,0.00,0.05,0.04,0.00,0.39,0.02,0.01,0.04,0.04,0.03,13.07,83.33,2.62,0.00
16,0.46,0.04,4.01,12.41,5.37,5.67,22.56,5.99,2.35,4.99,1.54,0.13,0.08,0.66,0.23,0.05,1.31,31.72,0.41,0.00
17,0.34,0.02,0.56,0.61,0.54,0.26,0.89,0.93,0.34,0.89,0.91,0.20,0.09,5.18,1.77,0.34,3.37,63.77,18.99,0.00
18,6.68,0.02,0.40,0.18,0.07,0.03,0.19,0.17,0.23,0.03,0.23,0.01,0.05,8.63,8.60,0.12,0.01,66.54,7.72,0.09
19,0.30,0.01,0.51,0.41,0.27,0.11,0.55,0.61,0.38,0.09,1.60,0.05,0.40,18.06,2.08,1.10,13.24,55.64,4.58,0.00
20,0.38,0.07,1.12,2.40,1.36,1.29,4.14,4.38,0.76,2.48,5.13,0.05,0.02,1.80,0.33,0.14,2.42,67.27,4.42,0.03
21,0.14,0.00,0.36,0.41,0.22,0.09,0.57,0.84,0.23,0.59,1.14,0.01,0.08,0.18,0.10,0.01,0.20,65.59,29.24,0.00
22,1.31,0.06,0.65,1.07,0.31,0.70,1.59,2.24,0.86,1.00,2.80,0.06,0.03,3.08,2.10,0.20,1.98,48.64,31.33,0.00
23,0.46,0.02,0.93,1.64,0.99,0.62,2.57,2.34,0.86,1.59,1.09,0.03,0.06,6.83,1.12,0.47,1.80,52.95,23.62,0.00
24,0.46,0.00,2.47,5.49,3.01,2.00,12.52,4.22,1.01,4.06,2.67,0.03,0.08,0.78,1.97,0.80,3.66,51.39,3.37,0.00
25,0.05,0.00,0.17,0.01,0.00,0.00,0.02,0.03,0.03,0.00,0.04,0.01,0.00,0.67,0.32,0.14,55.98,42.32,0.20,0.00
26,0.22,0.49,0.17,0.03,0.00,0.00,0.00,0.14,0.16,0.00,0.03,0.00,0.01,0.42,11.39,0.98,15.62,59.06,11.28,0.00
27,0.43,0.00,0.28,0.11,0.01,0.06,0.07,0.11,0.23,0.03,0.18,0.05,0.06,0.33,8.64,0.11,1.05,80.21,8.04,0.00
28,0.97,0.04,0.11,0.01,0.00,0.02,0.02,0.02,0.08,0.01,0.03,0.00,0.01,8.37,0.14,0.12,79.39,10.66,0.00,0.00
29,0.26,0.00,0.22,0.02,0.00,0.00,0.00,0.04,0.07,0.00,0.01,0.00,0.01,1.78,3.73,0.32,8.74,84.80,0.00,0.00
30,0.17,0.13,0.26,0.07,0.02,0.01,0.06,0.08,0.16,0.01,0.08,0.01,0.01,34.26,3.60,0.07,51.28,9.73,0.00,0.00
31,0.41,0.00,0.27,0.05,0.00,0.02,0.03,0.11,0.13,0.00,0.36,0.00,0.01,4.54,4.65,0.08,4.33,80.87,4.10,0.00
32,0.19,0.00,0.22,0.01,0.00,0.00,0.00,0.01,0.01,0.00,0.03,0.00,0.02,0.01,0.13,0.07,7.42,60.48,31.40,0.00
33,0.57,0.55,0.31,0.12,0.01,0.05,0.09,0.20,0.23,0.01,0.83,0.02,0.00,0.02,21.21,0.41,4.30,53.89,17.17,0.00
34,0.12,0.26,0.33,0.09,0.01,0.03,0.04,0.22,0.16,0.00,0.63,0.05,0.08,0.06,17.54,0.83,7.51,70.98,1.08,0.00
35,0.01,0.00,0.20,0.01,0.00,0.00,0.00,0.04,0.15,0.00,0.01,0.00,0.00,34.15,4.05,0.01,50.18,11.16,0.00,0.00
36,0.35,0.00,0.25,0.04,0.00,0.04,0.00,0.08,0.05,0.00,0.53,0.00,0.00,0.08,1.97,0.10,4.20,84.58,7.71,0.00
37,0.13,0.00,0.28,0.02,0.00,0.03,0.00,0.07,0.02,0.00,0.07,0.00,0.01,0.04,0.52,0.61,44.21,49.28,4.70,0.00
38,0.75,0.06,0.34,0.09,0.03,0.02,0.03,0.15,0.22,0.00,0.05,0.00,0.00,70.59,0.22,0.36,23.68,3.39,0.00,0.00
39,0.32,0.08,0.57,0.26,0.04,0.07,0.37,0.13,0.24,0.06,0.12,0.15,0.01,54.44,2.28,0.08,36.42,4.39,0.00,0.00
40,0.78,0.12,0.65,0.20,0.05,0.06,0.11,0.32,0.23,0.00,0.25,0.01,0.01,67.88,2.52,0.34,23.42,3.04,0.00,0.00
41,0.31,0.01,0.37,0.19,0.03,0.05,0.28,0.13,0.26,0.02,0.11,0.02,0.02,68.69,4.60,0.14,15.87,8.89,0.00,0.00
42,0.01,0.00,0.23,0.03,0.00,0.01,0.00,0.07,0.18,0.00,0.03,0.00,0.00,69.58,12.01,0.01,13.75,4.08,0.00,0.00
43,1.94,0.11,0.47,0.37,0.18,0.13,0.34,0.72,0.46,0.00,1.31,0.04,0.00,51.85,0.67,1.21,34.48,5.71,0.00,0.00
44,0.39,0.09,0.20,0.03,0.01,0.01,0.00,0.09,0.12,0.00,0.13,0.00,0.00,21.92,0.17,0.32,74.78,1.74,0.00,0.00
45,0.56,0.02,0.33,0.07,0.01,0.02,0.00,0.20,0.20,0.00,0.13,0.00,0.00,57.56,0.28,1.60,35.92,3.07,0.00,0.00
