uniqid_eco4,NLCD11_11_eco4,NLCD11_12_eco4,NLCD11_21_eco4,NLCD11_22_eco4,NLCD11_23_eco4,NLCD11_24_eco4,NLCD11_31_eco4,NLCD11_41_eco4,NLCD11_42_eco4,NLCD11_43_eco4,NLCD11_52_eco4,NLCD11_71_eco4,NLCD11_81_eco4,NLCD11_82_eco4,NLCD11_90_eco4,NLCD11_95_eco4,NLCD11_9999_eco4
1,3.74,0.00,2.32,0.99,0.48,0.11,0.10,0.06,6.20,0.01,64.66,5.12,2.21,11.58,0.18,2.23,0.00
2,0.02,0.00,2.84,0.27,0.08,0.01,0.00,0.01,0.18,0.01,17.82,1.04,0.14,77.38,0.04,0.17,0.00
3,0.06,0.00,2.28,0.22,0.08,0.01,0.04,0.02,0.28,0.02,55.65,2.70,1.40,36.90,0.07,0.26,0.00
4,1.12,0.00,2.35,0.34,0.04,0.01,0.02,0.03,0.36,0.00,56.47,2.79,1.55,34.40,0.03,0.50,0.00
5,4.50,0.00,3.98,2.69,1.32,0.18,0.01,0.07,0.06,0.01,35.96,2.78,3.85,42.74,0.80,1.04,0.00
6,1.32,0.00,2.89,0.93,0.31,0.04,0.00,0.19,2.45,0.06,15.33,29.26,0.83,46.16,0.09,0.14,0.00
7,0.07,0.00,1.56,0.57,0.17,0.03,0.03,0.11,1.87,0.02,65.73,6.40,2.16,20.99,0.17,0.12,0.00
8,0.00,0.00,3.67,0.72,0.28,0.04,0.00,0.11,3.62,0.01,2.43,1.24,0.06,87.56,0.05,0.21,0.00
9,0.01,0.00,3.74,0.49,0.09,0.02,0.01,0.03,5.35,0.10,5.81,5.85,0.30,77.58,0.04,0.60,0.00
10,0.02,0.00,3.05,0.28,0.05,0.01,0.03,0.02,10.76,0.00,2.90,14.67,0.11,68.06,0.02,0.03,0.00
11,1.25,0.00,0.44,0.04,0.01,0.00,1.38,0.02,1.18,0.01,93.13,1.12,0.23,0.91,0.07,0.21,0.00
12,4.32,0.00,1.62,0.83,0.52,0.11,0.05,0.12,4.33,0.04,24.99,54.28,0.24,8.29,0.13,0.13,0.00
13,3.13,0.00,2.65,1.57,0.44,0.08,0.13,0.10,6.00,0.01,65.24,11.65,6.22,1.61,0.47,0.68,0.02
14,0.00,0.00,0.63,0.08,0.02,0.00,0.00,0.01,7.88,0.00,74.34,10.47,1.14,4.86,0.31,0.26,0.00
15,0.25,0.00,0.77,0.12,0.01,0.00,0.06,0.00,7.26,0.00,88.21,1.02,0.85,0.34,0.14,0.97,0.00
16,0.02,0.00,0.24,0.00,0.00,0.00,0.00,0.00,67.03,0.00,31.37,0.72,0.14,0.06,0.07,0.33,0.00
17,0.02,0.00,0.72,0.13,0.02,0.00,0.00,0.00,60.83,0.00,30.29,6.03,0.04,1.56,0.09,0.25,0.00
18,0.19,0.00,0.40,0.04,0.00,0.00,0.00,0.00,72.57,0.00,24.48,1.82,0.03,0.01,0.02,0.42,0.00
19,0.36,0.00,0.28,0.05,0.00,0.00,0.04,0.00,77.75,0.04,13.70,7.46,0.00,0.27,0.00,0.04,0.00
20,0.09,0.00,0.53,0.09,0.00,0.00,0.00,0.00,70.44,0.02,15.35,12.97,0.11,0.34,0.03,0.03,0.00
21,0.74,0.00,0.24,0.11,0.03,0.00,0.02,0.01,30.10,0.00,24.69,42.50,0.15,1.24,0.13,0.04,0.00
22,0.01,0.00,0.21,0.00,0.00,0.00,0.00,0.00,71.95,0.00,26.49,0.79,0.00,0.00,0.03,0.51,0.00
23,0.57,0.00,0.60,0.09,0.02,0.00,0.02,0.00,6.97,0.00,83.64,4.99,1.02,1.59,0.14,0.34,0.00
24,0.22,0.00,2.81,1.21,0.29,0.03,0.05,0.00,5.30,0.00,22.34,27.10,0.40,39.90,0.11,0.24,0.00
25,0.04,0.00,0.39,0.09,0.00,0.00,0.13,0.01,83.83,0.00,11.31,3.90,0.03,0.11,0.00,0.15,0.00
26,0.33,0.03,0.05,0.01,0.00,0.00,12.18,0.00,56.32,0.00,17.84,13.16,0.00,0.00,0.00,0.07,0.00
27,0.55,0.00,4.07,2.70,0.48,0.08,0.16,0.00,2.06,0.00,74.02,1.60,0.08,13.81,0.36,0.02,0.00
28,0.78,0.00,1.61,0.07,0.01,0.00,0.00,0.00,11.56,0.00,69.24,1.55,0.73,0.07,2.20,12.18,0.00
29,2.59,0.00,8.75,4.69,1.43,0.22,0.01,0.00,0.01,0.00,5.30,12.43,10.27,53.64,0.23,0.41,0.00
30,0.00,0.00,0.33,0.10,0.03,0.00,69.16,0.00,0.07,0.00,26.87,1.12,0.06,2.22,0.02,0.01,0.00
31,0.93,0.00,2.44,1.23,0.25,0.04,0.32,0.00,0.64,0.00,28.13,46.80,5.70,6.50,3.53,3.48,0.00
32,0.43,0.00,3.30,0.32,0.04,0.01,0.00,1.15,3.13,0.09,17.20,9.07,1.51,60.44,2.15,1.16,0.00
33,6.81,0.00,6.12,2.95,1.36,0.23,0.09,0.00,0.01,0.00,3.92,1.39,5.54,64.41,6.79,0.39,0.00
34,0.59,0.00,0.44,0.15,0.03,0.00,0.02,0.16,3.85,0.00,74.74,14.98,1.56,2.97,0.21,0.29,0.00
35,0.42,0.00,1.64,0.20,0.05,0.01,0.83,0.02,0.58,0.00,64.06,15.16,2.08,14.47,0.09,0.39,0.00
36,0.41,0.00,1.78,0.47,0.28,0.07,0.01,0.00,0.02,0.00,39.24,47.32,2.75,7.56,0.04,0.03,0.00
37,1.00,0.00,5.91,2.03,0.72,0.16,0.02,0.00,0.01,0.00,4.96,5.91,15.98,63.16,0.11,0.02,0.00
38,0.61,0.00,1.27,0.23,0.04,0.00,0.03,0.00,0.10,0.00,42.02,46.64,2.45,6.47,0.07,0.07,0.00
39,22.11,0.00,0.10,0.12,0.07,0.04,62.90,0.00,0.00,0.00,13.18,0.12,0.34,0.01,0.02,0.97,0.00
40,0.95,0.00,1.74,2.90,2.09,0.83,0.18,0.03,1.64,0.00,76.55,6.89,3.48,1.19,0.45,1.09,0.00
41,0.03,0.00,2.75,0.55,0.08,0.03,0.00,0.02,1.90,0.00,30.55,48.37,7.31,1.31,0.00,7.10,0.00
42,0.27,0.00,2.48,0.73,0.07,0.00,2.55,0.04,0.42,0.01,81.81,1.48,3.16,2.57,0.48,3.94,0.00
43,22.79,0.00,0.38,0.37,0.03,0.00,1.15,0.01,0.28,0.00,72.07,2.22,0.23,0.00,0.35,0.12,0.00
44,0.07,0.00,0.79,0.06,0.01,0.00,0.30,0.00,0.49,0.00,93.06,4.18,0.59,0.10,0.14,0.21,0.00
45,0.18,0.00,0.47,0.29,0.11,0.06,4.62,0.00,0.04,0.00,80.11,10.66,2.31,0.69,0.09,0.37,0.00
46,0.86,0.00,0.99,0.63,0.29,0.05,0.52,0.06,3.23,0.00,73.79,12.37,5.25,1.67,0.12,0.17,0.00
47,0.01,0.00,0.25,0.12,0.05,0.00,0.17,0.99,53.02,0.04,42.83,2.23,0.16,0.00,0.12,0.01,0.00
48,0.00,0.07,0.01,0.00,0.00,0.00,3.60,2.55,61.61,1.37,22.30,8.48,0.00,0.00,0.02,0.00,0.00
49,9.87,0.00,10.71,20.78,17.09,6.74,0.14,0.26,0.32,0.00,4.56,1.20,15.70,9.09,1.52,2.02,0.00
50,15.34,0.00,0.30,0.26,0.05,0.02,28.94,0.00,0.04,0.00,21.55,0.38,4.06,1.16,0.44,27.45,0.00
51,7.17,0.00,0.25,0.18,0.01,0.00,51.63,0.00,0.00,0.00,39.18,0.41,0.47,0.14,0.15,0.40,0.00
52,0.70,0.00,5.44,2.57,0.89,0.35,0.25,0.55,0.42,0.00,11.77,6.58,22.82,44.00,1.01,2.65,0.00
53,0.89,0.00,0.68,0.52,0.11,0.02,5.93,0.00,0.00,0.00,85.76,2.02,1.42,1.69,0.55,0.40,0.00
54,0.09,0.00,0.11,0.01,0.00,0.00,0.53,0.01,1.24,0.00,85.99,11.59,0.23,0.07,0.13,0.01,0.00
55,0.00,0.00,0.02,0.00,0.00,0.00,0.23,0.33,23.47,0.01,69.46,6.28,0.01,0.00,0.19,0.00,0.00
56,0.19,0.00,0.93,0.18,0.03,0.00,0.47,0.05,0.31,0.00,83.27,10.10,2.45,0.15,1.78,0.07,0.00
57,0.01,0.00,0.39,0.07,0.00,0.00,0.04,23.51,6.05,0.09,57.39,5.96,3.93,0.00,1.20,1.37,0.00
58,0.30,0.00,0.04,0.00,0.00,0.00,1.86,12.80,13.96,1.11,42.51,26.99,0.00,0.00,0.40,0.01,0.00
59,0.01,0.00,0.43,0.13,0.03,0.00,0.12,0.01,4.12,0.00,89.96,3.22,1.53,0.08,0.10,0.26,0.00
60,0.01,0.00,0.11,0.03,0.01,0.00,0.19,0.21,61.68,0.01,34.04,3.67,0.01,0.00,0.03,0.00,0.00
61,0.01,0.00,0.22,0.02,0.00,0.00,0.13,0.00,3.05,0.00,91.16,4.71,0.38,0.02,0.26,0.02,0.00
62,0.00,0.00,0.06,0.00,0.00,0.00,0.01,0.07,63.06,0.01,33.17,3.48,0.01,0.00,0.12,0.00,0.00
63,0.00,0.00,0.03,0.00,0.00,0.00,0.07,2.66,38.87,0.53,54.90,2.81,0.00,0.00,0.13,0.00,0.00
64,0.02,0.00,0.36,0.15,0.01,0.00,1.11,0.00,0.01,0.00,96.90,0.80,0.39,0.22,0.01,0.02,0.00
65,0.00,0.00,0.12,0.01,0.00,0.00,0.13,0.00,2.56,0.00,95.26,1.90,0.00,0.00,0.01,0.00,0.00
66,0.00,0.00,0.09,0.01,0.00,0.00,0.01,0.00,55.01,0.00,35.63,9.23,0.00,0.00,0.01,0.00,0.00
67,0.02,0.00,0.22,0.08,0.01,0.00,0.21,0.11,35.64,0.01,60.49,3.05,0.02,0.00,0.07,0.08,0.00
68,0.02,0.00,0.05,0.00,0.00,0.00,1.78,0.54,27.02,0.30,55.80,14.43,0.00,0.00,0.04,0.02,0.00
69,0.04,0.00,1.04,0.33,0.06,0.00,1.83,0.00,0.00,0.00,76.12,11.74,4.22,1.42,3.18,0.03,0.00
70,0.03,0.00,1.32,1.16,1.18,0.46,6.89,0.00,0.04,0.01,85.55,3.17,0.04,0.09,0.05,0.02,0.00
71,0.03,0.00,0.17,0.09,0.01,0.00,1.43,0.00,0.79,0.01,94.97,2.46,0.02,0.00,0.02,0.00,0.00
72,0.00,0.00,0.06,0.07,0.01,0.00,0.13,0.06,47.69,0.27,49.17,2.53,0.00,0.00,0.00,0.00,0.00
73,0.00,0.00,0.00,0.00,0.00,0.00,0.24,0.66,78.52,3.11,15.92,1.55,0.00,0.00,0.00,0.00,0.00
74,8.19,0.00,0.82,1.13,0.50,0.10,4.24,0.00,0.01,0.01,80.76,0.19,0.58,0.94,1.74,0.79,0.00
75,2.15,0.00,0.40,0.37,0.05,0.01,70.52,0.02,0.00,0.00,25.93,0.13,0.04,0.09,0.14,0.15,0.00
76,0.02,0.00,0.79,1.18,0.16,0.02,5.51,0.00,0.01,0.00,91.49,0.19,0.21,0.25,0.17,0.01,0.00
77,0.00,0.00,0.30,0.24,0.02,0.00,22.70,0.00,0.00,0.00,76.66,0.01,0.02,0.03,0.00,0.01,0.00
78,0.00,0.00,0.23,0.35,0.08,0.01,41.97,0.00,0.00,0.00,57.20,0.11,0.00,0.00,0.04,0.00,0.00
79,0.12,0.00,3.26,1.75,0.89,0.15,7.94,0.00,0.03,0.01,79.64,3.94,1.20,0.90,0.13,0.05,0.00
80,0.00,0.00,0.34,0.08,0.01,0.00,1.70,0.00,0.09,0.00,97.48,0.28,0.00,0.00,0.00,0.00,0.00
81,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,25.62,0.11,73.13,1.07,0.00,0.00,0.00,0.00,0.00
82,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.20,76.26,1.82,20.40,1.24,0.00,0.00,0.00,0.00,0.00
83,0.00,0.00,0.18,0.19,0.03,0.00,29.13,0.00,0.05,0.00,70.33,0.09,0.00,0.00,0.00,0.00,0.00
84,0.00,0.00,0.12,0.03,0.00,0.00,72.99,0.00,0.00,0.00,26.79,0.04,0.00,0.00,0.02,0.01,0.00
85,0.63,0.00,0.00,0.00,0.00,0.00,11.13,0.00,1.80,0.00,85.21,0.93,0.00,0.00,0.27,0.03,0.00
86,0.48,0.00,0.43,0.26,0.13,0.00,0.04,0.09,72.81,0.00,20.51,4.15,0.47,0.08,0.23,0.30,0.00
87,1.56,0.00,2.78,1.88,0.14,0.01,0.08,0.00,1.83,0.00,11.86,47.00,25.07,7.42,0.17,0.21,0.00
88,20.23,0.00,4.37,2.53,0.72,0.14,0.01,0.28,7.39,0.01,2.93,16.94,22.98,17.74,3.37,0.36,0.00
89,1.37,0.00,2.60,1.94,0.54,0.08,0.04,0.41,16.45,0.01,59.80,6.82,6.36,2.49,0.63,0.47,0.00
90,0.51,0.00,0.44,0.22,0.06,0.00,0.01,0.23,35.21,0.00,12.60,49.14,1.04,0.24,0.27,0.04,0.00
91,0.04,0.00,3.67,0.38,0.04,0.01,0.00,0.46,16.34,0.02,12.75,7.29,0.03,58.65,0.12,0.21,0.00
92,0.41,0.00,0.26,0.20,0.03,0.00,0.00,0.02,33.15,0.00,52.40,12.21,0.14,0.19,0.63,0.33,0.03
93,0.48,0.08,0.00,0.00,0.00,0.00,0.35,0.00,69.52,0.00,21.81,7.71,0.01,0.00,0.00,0.02,0.00
94,0.05,0.00,0.02,0.01,0.01,0.00,0.01,0.01,80.61,0.03,18.32,0.66,0.01,0.01,0.10,0.16,0.00
95,2.66,0.00,2.34,0.51,0.13,0.02,0.15,0.62,42.22,0.07,17.61,23.85,0.02,9.45,0.16,0.19,0.00
96,1.33,0.00,0.30,0.22,0.04,0.00,0.01,0.02,83.64,0.00,11.81,1.29,0.19,0.43,0.15,0.56,0.00
97,1.34,0.00,0.30,0.22,0.07,0.00,0.07,0.14,70.48,0.00,22.59,3.62,0.28,0.08,0.33,0.46,0.00
