uniqid_eco4,NLCD11_11_eco4,NLCD11_12_eco4,NLCD11_21_eco4,NLCD11_22_eco4,NLCD11_23_eco4,NLCD11_24_eco4,NLCD11_31_eco4,NLCD11_41_eco4,NLCD11_42_eco4,NLCD11_43_eco4,NLCD11_52_eco4,NLCD11_71_eco4,NLCD11_81_eco4,NLCD11_82_eco4,NLCD11_90_eco4,NLCD11_95_eco4,NLCD11_9999_eco4
98,3.22,0.00,2.89,2.04,0.29,0.04,0.22,0.92,36.83,0.00,15.69,6.58,0.09,26.86,1.78,2.54,0.01
99,0.01,0.00,0.86,0.27,0.02,0.00,0.00,0.02,54.30,0.00,35.90,4.40,0.01,3.48,0.34,0.38,0.00
100,0.40,0.00,0.27,0.23,0.18,0.03,0.04,0.07,85.84,0.02,11.02,0.70,0.08,0.01,0.48,0.63,0.00
101,0.32,0.00,0.16,0.07,0.02,0.01,0.03,0.04,70.18,0.02,27.95,0.67,0.01,0.00,0.16,0.35,0.00
102,0.68,0.00,0.39,0.17,0.03,0.00,0.04,0.11,85.68,0.01,10.51,1.41,0.07,0.03,0.47,0.39,0.01
103,3.10,0.00,0.68,0.53,0.12,0.02,0.04,0.35,61.71,0.00,20.57,9.05,1.13,1.38,0.70,0.61,0.01
104,1.88,0.00,5.42,9.79,5.96,1.09,0.03,0.02,37.46,0.00,16.67,9.88,1.23,9.43,0.27,0.85,0.00
105,4.99,0.00,1.78,0.94,0.22,0.03,0.03,2.44,68.52,0.05,9.48,2.94,3.40,1.05,3.12,1.01,0.00
106,14.06,0.00,0.74,0.92,0.23,0.04,0.06,0.21,62.02,0.01,11.67,4.81,0.91,0.85,2.15,1.33,0.00
107,4.18,0.00,1.12,0.71,0.11,0.01,0.01,0.06,59.96,0.01,23.66,3.74,0.08,5.55,0.30,0.50,0.00
108,0.98,0.00,0.15,0.20,0.01,0.00,0.04,0.01,79.58,0.00,14.98,3.44,0.05,0.01,0.13,0.41,0.00
109,0.04,0.00,0.30,0.09,0.01,0.00,0.01,0.12,76.99,0.00,19.06,2.92,0.03,0.01,0.31,0.09,0.03
110,0.57,0.00,0.11,0.07,0.01,0.00,0.01,0.10,87.15,0.00,9.82,1.81,0.05,0.03,0.18,0.09,0.01
111,0.09,0.00,0.10,0.04,0.01,0.00,0.03,0.02,67.01,0.00,17.85,14.25,0.15,0.18,0.26,0.03,0.00
112,0.06,0.00,0.07,0.03,0.01,0.00,0.03,0.00,86.38,0.00,9.41,3.81,0.02,0.00,0.11,0.06,0.00
113,0.22,0.00,0.45,0.05,0.00,0.00,0.00,0.12,82.03,0.34,15.62,1.08,0.00,0.01,0.04,0.03,0.00
114,0.05,0.10,0.21,0.18,0.04,0.01,0.10,0.05,45.83,0.00,38.16,14.40,0.11,0.03,0.27,0.48,0.00
115,0.31,0.02,0.01,0.00,0.00,0.00,0.07,0.00,71.57,0.00,14.84,13.03,0.02,0.00,0.12,0.02,0.00
116,0.55,0.00,0.22,0.14,0.03,0.00,0.21,0.10,8.68,0.00,56.94,31.25,0.80,0.43,0.37,0.29,0.00
117,9.09,0.00,1.83,0.64,0.13,0.02,0.03,0.13,38.25,0.00,22.59,10.98,6.01,2.73,4.44,3.12,0.00
118,0.77,2.07,0.00,0.00,0.00,0.00,1.71,0.00,39.17,0.00,12.90,43.31,0.00,0.00,0.02,0.06,0.00
119,0.03,0.00,0.06,0.02,0.00,0.00,0.01,0.00,84.80,0.00,9.36,5.39,0.04,0.18,0.07,0.05,0.00
120,0.24,0.00,0.09,0.06,0.01,0.00,0.01,0.45,54.99,0.00,30.24,13.71,0.10,0.00,0.07,0.03,0.00
121,0.19,0.01,0.05,0.02,0.00,0.00,0.08,0.27,58.20,0.00,25.66,15.06,0.03,0.01,0.27,0.15,0.00
122,0.18,0.00,0.97,0.62,0.24,0.06,0.17,0.32,26.10,0.00,29.73,38.80,0.63,1.19,0.51,0.49,0.00
123,0.44,0.00,2.07,1.23,0.59,0.04,0.13,0.02,1.29,0.05,39.08,37.77,10.66,5.09,0.87,0.68,0.00
124,0.07,0.00,0.29,0.12,0.02,0.00,0.07,0.08,6.28,0.03,53.70,37.75,0.92,0.12,0.20,0.34,0.00
125,0.12,0.00,1.16,0.17,0.05,0.00,0.04,0.15,7.77,0.00,7.77,76.77,5.77,0.00,0.21,0.03,0.00
126,0.00,0.00,0.00,0.00,0.00,0.00,0.58,0.00,60.58,0.00,14.26,24.56,0.01,0.00,0.00,0.00,0.00
127,0.10,0.00,0.00,0.00,0.00,0.00,0.29,0.00,80.40,0.00,2.90,16.15,0.01,0.00,0.08,0.06,0.00
128,8.07,0.00,0.92,0.03,0.00,0.00,0.01,0.01,1.09,0.03,29.45,36.30,0.13,0.00,0.16,23.78,0.00
129,0.14,0.00,0.12,0.01,0.00,0.00,0.06,0.00,81.01,0.00,5.93,12.10,0.59,0.00,0.03,0.00,0.00
130,0.06,0.00,0.13,0.03,0.00,0.00,0.04,0.00,64.12,0.03,9.11,26.12,0.32,0.00,0.03,0.00,0.00
131,0.14,0.01,0.23,0.09,0.03,0.00,0.08,0.00,78.50,0.07,10.06,10.58,0.14,0.02,0.04,0.00,0.00
132,0.02,0.00,0.32,0.23,0.07,0.00,0.05,0.03,66.13,0.63,15.25,16.88,0.18,0.08,0.13,0.00,0.00
133,0.37,0.00,2.21,1.16,0.38,0.03,0.14,0.01,9.69,0.01,28.45,39.16,11.02,5.16,2.17,0.03,0.00
134,0.01,0.00,0.07,0.03,0.00,0.00,0.02,0.01,64.39,0.17,24.24,10.57,0.34,0.02,0.10,0.01,0.00
135,0.96,0.00,0.19,0.08,0.02,0.00,0.09,0.00,80.67,0.00,13.27,4.40,0.14,0.07,0.10,0.00,0.00
136,0.05,0.00,0.03,0.00,0.00,0.00,2.17,0.29,54.89,0.08,29.84,12.08,0.01,0.00,0.33,0.23,0.00
137,0.06,0.00,0.06,0.00,0.00,0.00,0.26,0.87,54.59,0.37,32.61,10.12,0.02,0.00,0.55,0.47,0.00
138,0.12,0.00,0.72,0.29,0.09,0.01,0.04,0.60,70.72,0.09,12.40,14.49,0.34,0.01,0.02,0.06,0.00
139,0.14,0.00,0.52,0.24,0.06,0.01,0.26,1.18,82.10,0.43,8.88,6.09,0.01,0.00,0.01,0.06,0.00
140,0.44,0.00,0.00,0.00,0.00,0.00,0.14,0.44,62.40,0.04,28.38,7.72,0.06,0.01,0.20,0.18,0.00
141,0.01,0.01,0.01,0.00,0.00,0.00,1.48,0.14,50.89,0.02,22.50,24.77,0.01,0.00,0.06,0.09,0.00
142,0.05,0.01,0.07,0.00,0.00,0.00,3.29,0.02,76.12,0.01,11.49,8.88,0.05,0.00,0.01,0.00,0.00
143,0.18,0.00,0.21,0.03,0.00,0.00,0.02,2.07,56.23,0.32,30.93,7.67,0.12,0.01,1.11,1.10,0.00
144,0.75,0.80,0.01,0.00,0.00,0.00,13.36,0.25,18.44,0.23,29.94,36.13,0.01,0.00,0.05,0.03,0.00
145,0.16,0.00,0.17,0.02,0.01,0.00,0.18,0.22,49.21,0.07,36.51,11.87,0.11,0.01,0.60,0.87,0.00
146,6.29,0.00,0.38,0.06,0.02,0.00,0.05,0.96,53.16,0.05,28.53,7.52,0.03,0.04,1.09,1.81,0.00
147,1.54,0.00,0.18,0.03,0.01,0.00,0.33,2.36,61.41,0.21,24.02,9.30,0.02,0.00,0.37,0.22,0.00
148,0.36,0.00,0.11,0.01,0.00,0.00,0.48,0.44,66.04,0.06,21.91,10.19,0.02,0.01,0.27,0.10,0.00
149,0.11,0.00,0.17,0.05,0.01,0.00,0.16,1.20,47.54,0.03,33.24,17.14,0.03,0.00,0.19,0.11,0.00
150,5.44,0.00,1.99,0.44,0.10,0.01,0.11,1.41,14.55,0.24,42.76,13.81,4.84,2.52,3.40,8.37,0.00
151,0.98,0.00,0.16,0.01,0.00,0.00,0.10,5.71,47.22,0.14,36.14,8.64,0.11,0.24,0.26,0.29,0.00
152,1.10,0.00,1.76,0.45,0.04,0.00,0.01,0.03,23.86,0.15,5.75,42.48,13.10,3.39,7.42,0.47,0.00
153,0.02,0.00,0.21,0.08,0.03,0.00,0.78,0.17,78.80,0.14,5.04,14.48,0.19,0.01,0.06,0.00,0.00
154,0.05,0.00,0.13,0.04,0.02,0.00,0.04,2.65,49.97,0.65,22.47,21.77,0.21,0.00,1.96,0.02,0.00
155,0.60,0.00,4.62,3.84,1.74,0.28,0.03,0.02,16.68,0.01,20.45,22.84,17.50,4.86,2.30,4.22,0.00
156,0.00,0.00,0.18,0.01,0.00,0.00,0.00,6.34,47.12,0.00,22.96,17.34,1.95,0.07,4.01,0.00,0.00
157,1.73,0.00,2.25,0.30,0.02,0.00,0.08,0.24,2.48,0.07,20.58,49.17,13.08,7.03,2.36,0.61,0.00
158,0.08,0.00,0.27,0.12,0.02,0.00,0.31,0.01,63.42,0.12,16.11,19.30,0.14,0.08,0.02,0.00,0.00
159,2.60,0.00,3.85,2.22,0.64,0.09,0.05,0.05,3.79,0.06,11.97,49.30,13.52,10.11,1.63,0.13,0.00
160,0.26,0.00,0.23,0.08,0.02,0.00,0.43,0.04,74.51,0.20,16.10,6.88,0.37,0.20,0.66,0.02,0.00
161,0.13,0.00,0.46,0.12,0.01,0.00,0.02,0.12,22.89,0.02,35.20,40.36,0.47,0.04,0.14,0.03,0.00
162,0.19,0.00,0.00,0.00,0.00,0.00,0.09,0.18,69.10,0.04,22.77,7.49,0.00,0.00,0.10,0.03,0.00
163,0.65,0.00,0.57,0.19,0.05,0.01,0.66,0.08,0.56,0.00,84.08,9.81,1.68,0.22,0.60,0.83,0.00
164,0.51,0.00,0.65,0.23,0.06,0.01,0.24,0.06,0.85,0.01,59.34,32.20,2.91,1.29,0.89,0.76,0.00
165,4.67,0.00,1.65,0.52,0.12,0.02,0.06,0.54,0.98,0.02,51.58,3.64,23.86,0.57,3.88,7.91,0.00
166,0.22,0.00,0.28,0.09,0.02,0.00,0.29,0.59,7.55,0.16,70.67,17.86,0.92,0.02,0.56,0.74,0.00
167,0.35,0.00,0.47,0.20,0.06,0.01,2.62,0.00,0.11,0.00,89.89,5.44,0.30,0.02,0.27,0.24,0.00
168,1.43,0.00,1.04,0.32,0.18,0.03,0.17,0.21,0.33,0.01,75.32,10.55,4.25,0.00,1.42,4.74,0.00
169,1.05,0.00,0.76,0.61,0.12,0.02,1.97,0.02,0.03,0.01,42.70,43.08,3.38,3.94,1.42,0.88,0.00
170,0.86,0.02,0.02,0.00,0.00,0.00,37.43,0.63,20.94,0.07,19.77,20.03,0.00,0.00,0.22,0.01,0.00
171,0.87,0.00,0.16,0.03,0.00,0.00,2.71,0.36,85.29,0.22,6.57,3.19,0.00,0.00,0.60,0.00,0.00
172,0.32,0.00,0.64,0.21,0.01,0.00,0.35,18.67,60.82,3.77,13.06,1.14,0.04,0.00,0.89,0.07,0.00
173,0.22,0.00,0.61,0.05,0.01,0.00,1.17,39.16,31.42,3.53,22.62,1.16,0.01,0.00,0.04,0.00,0.00
174,0.39,0.00,0.74,0.28,0.05,0.00,1.41,12.93,47.48,8.78,26.15,1.65,0.00,0.00,0.13,0.02,0.00
175,0.34,0.00,0.95,0.31,0.09,0.01,0.48,24.08,34.55,0.28,36.71,0.95,0.83,0.16,0.13,0.12,0.00
176,3.00,0.00,3.25,1.56,0.64,0.06,0.59,4.39,6.90,0.04,61.29,0.63,13.02,3.94,0.68,0.02,0.00
177,5.12,0.00,7.41,4.88,2.51,0.73,4.86,1.79,22.11,6.40,9.96,7.00,9.24,1.29,8.33,8.37,0.00
178,1.38,0.00,4.54,0.97,0.23,0.08,1.90,2.13,45.12,9.90,20.78,6.21,1.14,0.11,3.90,1.60,0.00
179,0.76,0.04,0.99,0.19,0.02,0.00,1.33,1.69,80.24,2.44,8.69,2.46,0.16,0.00,0.95,0.04,0.00
180,0.58,0.00,4.68,0.45,0.05,0.01,1.48,2.90,51.92,13.45,16.49,6.34,0.45,0.08,0.85,0.27,0.00
181,1.21,0.00,3.06,0.77,0.08,0.01,2.78,2.59,54.08,3.39,20.85,6.38,1.25,0.05,3.06,0.44,0.00
182,0.56,0.00,4.50,0.93,0.19,0.04,1.56,4.07,41.20,9.56,24.54,6.12,3.07,0.28,2.64,0.73,0.00
183,0.20,0.00,4.63,0.15,0.01,0.00,0.75,1.17,49.65,18.65,17.81,4.69,1.22,0.06,0.76,0.24,0.00
184,0.11,0.00,3.63,0.19,0.04,0.01,0.74,0.42,52.10,17.85,15.26,8.63,0.58,0.01,0.28,0.15,0.00
185,0.83,0.00,2.64,0.14,0.05,0.01,0.94,4.09,67.04,12.26,7.66,3.61,0.21,0.05,0.31,0.15,0.00
186,0.35,0.00,2.35,0.15,0.06,0.01,0.48,4.29,64.15,4.99,12.47,10.25,0.00,0.00,0.24,0.21,0.00
187,0.22,0.00,4.32,0.10,0.03,0.00,0.12,2.20,76.09,4.47,8.21,3.79,0.00,0.01,0.37,0.05,0.00
188,0.88,0.00,12.55,2.37,1.20,0.37,0.51,0.55,51.08,1.81,8.32,13.86,0.42,0.70,3.84,1.54,0.00
189,0.90,0.00,3.51,0.60,0.26,0.03,1.37,4.28,27.41,7.67,19.48,31.16,0.00,0.00,1.11,2.22,0.00
190,0.16,0.00,8.15,0.95,0.54,0.12,0.24,0.04,57.90,19.95,6.66,4.75,0.01,0.29,0.18,0.06,0.00
191,1.21,0.00,6.99,2.92,1.57,0.31,0.56,0.11,5.96,31.46,11.71,29.47,0.23,5.92,1.08,0.52,0.00
192,0.15,0.00,2.89,0.82,0.09,0.01,0.00,0.41,17.60,0.00,41.58,1.38,16.93,16.92,1.19,0.01,0.00
193,0.26,0.00,1.23,1.18,0.49,0.10,7.09,0.11,3.25,0.00,68.47,6.57,7.28,2.87,1.08,0.00,0.00
