uniqid_huc10,coa_wheat_bushels_1969_huc10,coa_wheat_bushels_1974_huc10,coa_wheat_bushels_1978_huc10,coa_wheat_bushels_1982_huc10,coa_wheat_bushels_1987_huc10,coa_wheat_bushels_1992_huc10,coa_wheat_bushels_1997_huc10,coa_wheat_bushels_2002_huc10,coa_wheat_bushels_2007_huc10,coa_wheat_bushels_2012_huc10
6972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6974,0.0,0.0,0.0,0.1,0.6,0.0,0.0,0.1,0.0,0.1
6975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6976,0.5,0.6,0.0,0.0,0.0,2.8,0.0,0.0,5.5,0.0
6977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6979,30.2,70.4,89.0,130.5,82.0,105.0,166.5,87.3,101.2,147.6
6980,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.9
6985,100.1,224.5,83.2,566.9,263.7,278.3,230.4,290.3,199.4,371.6
6986,3.2,2.5,2.1,1.9,1.1,1.0,0.0,0.9,0.0,0.9
6987,3.7,1.6,0.6,1.8,0.6,0.5,0.1,0.1,0.1,0.4
6988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6989,136.8,400.0,453.2,1032.4,824.3,943.3,679.9,558.5,343.3,884.7
6990,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6993,74.7,173.6,234.1,511.4,359.1,439.7,627.1,222.0,279.3,224.7
6994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
