uniqid_eco4,imperv_nwalt1974_eco4,imperv_nwalt1982_eco4,imperv_nwalt1992_eco4,imperv_nwalt2002_eco4,imperv_nwalt2012_eco4,imperv_nlcd2001_eco4,imperv_nlcd2006_eco4,imperv_nlcd2011_eco4
406,0.30,0.30,0.31,0.31,0.31,0.30,0.30,0.30
407,0.33,0.33,0.34,0.34,0.34,0.26,0.26,0.26
408,0.25,0.25,0.25,0.26,0.26,0.12,0.12,0.12
409,0.27,0.27,0.27,0.27,0.27,0.21,0.21,0.21
410,0.31,0.31,0.31,0.31,0.31,0.18,0.18,0.18
411,0.49,0.50,0.50,0.50,0.51,0.46,0.47,0.47
412,0.40,0.41,0.41,0.42,0.42,0.38,0.38,0.38
413,0.32,0.32,0.33,0.34,0.34,0.36,0.37,0.37
414,0.31,0.31,0.31,0.32,0.32,0.24,0.24,0.24
415,0.35,0.36,0.37,0.37,0.37,0.30,0.30,0.31
416,0.26,0.26,0.26,0.26,0.27,0.18,0.18,0.18
417,0.33,0.34,0.34,0.35,0.36,0.31,0.32,0.33
418,0.25,0.25,0.25,0.25,0.25,0.17,0.17,0.17
419,0.27,0.27,0.27,0.27,0.27,0.28,0.28,0.28
420,0.33,0.33,0.34,0.34,0.34,0.31,0.32,0.32
421,0.41,0.42,0.44,0.45,0.47,0.45,0.47,0.49
422,0.24,0.24,0.25,0.25,0.25,0.23,0.23,0.23
423,0.33,0.33,0.33,0.34,0.34,0.36,0.37,0.37
424,0.27,0.27,0.27,0.27,0.27,0.15,0.15,0.15
425,0.26,0.26,0.26,0.26,0.26,0.20,0.20,0.20
426,0.24,0.24,0.24,0.24,0.24,0.10,0.10,0.10
427,0.38,0.38,0.39,0.39,0.40,0.37,0.38,0.38
428,0.37,0.39,0.40,0.40,0.41,0.41,0.41,0.42
429,0.34,0.35,0.36,0.36,0.36,0.36,0.37,0.37
430,0.25,0.25,0.25,0.25,0.25,0.16,0.16,0.16
431,0.37,0.39,0.40,0.41,0.43,0.40,0.41,0.43
432,0.31,0.31,0.31,0.31,0.31,0.21,0.21,0.21
433,0.28,0.28,0.28,0.29,0.29,0.22,0.22,0.22
