uniqid_huc10,atmdep_so4_1985_huc10,atmdep_so4_1986_huc10,atmdep_so4_1987_huc10,atmdep_so4_1988_huc10,atmdep_so4_1989_huc10,atmdep_so4_1990_huc10,atmdep_so4_1991_huc10,atmdep_so4_1992_huc10,atmdep_so4_1993_huc10,atmdep_so4_1994_huc10,atmdep_so4_1995_huc10,atmdep_so4_1996_huc10,atmdep_so4_1997_huc10,atmdep_so4_1998_huc10,atmdep_so4_1999_huc10,atmdep_so4_2000_huc10,atmdep_so4_2001_huc10,atmdep_so4_2002_huc10,atmdep_so4_2003_huc10,atmdep_so4_2004_huc10,atmdep_so4_2005_huc10,atmdep_so4_2006_huc10,atmdep_so4_2007_huc10,atmdep_so4_2008_huc10,atmdep_so4_2009_huc10,atmdep_so4_2010_huc10,atmdep_so4_2011_huc10,atmdep_so4_2012_huc10
5980,1.8710,1.0569,1.2902,1.3947,3.0110,1.4197,1.8695,1.1641,3.3571,1.5843,2.6177,1.9670,1.7476,1.8531,2.0738,1.5301,1.0662,1.9064,1.3634,1.1404,1.7513,1.6766,1.0937,1.2386,1.6019,1.4808,1.2466,1.2253
5981,2.4519,3.6889,3.1570,2.5354,4.7114,2.6649,2.8292,2.7275,4.1511,1.9199,3.9382,3.8033,2.0538,4.1549,4.7032,2.8182,2.3001,3.7881,1.9248,1.5369,1.9619,1.8457,1.0168,1.1865,1.4793,2.4765,2.2164,2.7566
5982,1.8989,1.7782,1.8620,1.3923,3.1621,1.9317,2.0751,1.2179,3.0314,1.7739,3.2905,1.7790,1.5343,1.7275,2.0147,1.4166,1.1147,1.8309,1.0216,1.3961,1.9462,2.2791,1.2599,1.2198,2.1168,1.1707,1.1686,1.5383
5983,1.8373,1.0590,1.1868,1.1714,1.9617,1.2347,1.4917,0.9958,2.3715,1.2586,1.8640,1.1198,1.2111,1.5887,1.1746,1.2254,0.8865,1.2109,1.1588,1.1302,1.7281,1.7926,1.0596,1.0594,1.8535,1.5926,1.1005,1.4190
5984,1.3318,1.7207,1.7800,0.9666,1.2583,1.2943,1.6126,2.1307,1.7687,1.0432,1.4052,0.8583,0.9181,1.4994,1.6208,0.8809,0.7399,0.5662,0.6323,1.0704,1.8484,0.8026,0.7096,0.6570,1.1369,0.7408,0.9795,0.7571
5985,0.8647,0.6275,1.3589,0.9992,1.0412,1.0174,0.7742,0.7284,0.7169,0.7481,1.0523,0.5643,1.1057,1.5413,0.9546,0.7622,0.7635,0.6810,0.8468,0.5121,0.8263,0.6519,0.5428,0.3578,0.6341,0.6736,0.5580,0.8101
5986,1.9850,4.2909,3.3802,2.7028,2.4347,2.0157,2.6357,3.3094,3.2841,1.7272,3.6284,3.9198,1.8193,4.3843,4.0771,2.5103,2.8320,4.5256,3.0765,1.9393,4.0675,3.7914,1.4889,1.6017,2.0836,3.5211,2.5134,2.8847
5987,3.1551,4.7416,4.6939,3.6959,2.9146,2.8564,3.9614,6.5150,5.4226,2.4416,4.3653,3.8507,3.0121,5.2818,5.2350,3.2708,3.5189,2.6643,2.7394,2.8625,4.2183,2.6570,1.7147,1.6858,3.7519,3.2980,2.4044,2.8301
5988,1.2549,2.3822,2.1087,1.3474,2.0192,1.5652,2.2798,2.4974,2.7708,1.4312,2.7237,2.8932,1.6028,3.1717,3.2167,2.1383,1.6836,2.9026,2.2337,2.3635,2.6070,2.3438,1.0279,0.7882,1.6558,2.2421,1.7980,1.5756
5989,0.8130,0.7659,0.9873,0.8007,0.9802,0.6442,1.1500,0.9720,1.3574,0.7775,0.8336,0.6452,0.6044,0.9172,0.8957,0.7082,0.5314,0.3631,0.5866,0.5722,0.9778,0.4803,0.5644,0.4142,0.6803,0.8269,0.5068,0.5893
