uniqid_huc10,atmdep_so4_1985_huc10,atmdep_so4_1986_huc10,atmdep_so4_1987_huc10,atmdep_so4_1988_huc10,atmdep_so4_1989_huc10,atmdep_so4_1990_huc10,atmdep_so4_1991_huc10,atmdep_so4_1992_huc10,atmdep_so4_1993_huc10,atmdep_so4_1994_huc10,atmdep_so4_1995_huc10,atmdep_so4_1996_huc10,atmdep_so4_1997_huc10,atmdep_so4_1998_huc10,atmdep_so4_1999_huc10,atmdep_so4_2000_huc10,atmdep_so4_2001_huc10,atmdep_so4_2002_huc10,atmdep_so4_2003_huc10,atmdep_so4_2004_huc10,atmdep_so4_2005_huc10,atmdep_so4_2006_huc10,atmdep_so4_2007_huc10,atmdep_so4_2008_huc10,atmdep_so4_2009_huc10,atmdep_so4_2010_huc10,atmdep_so4_2011_huc10,atmdep_so4_2012_huc10
1,1.5329,1.8175,1.1223,1.3789,0.5765,0.6673,1.4906,1.8899,1.7441,1.2194,1.5797,1.1274,1.3454,2.8242,3.4725,0.9848,1.7645,0.5279,0.9302,1.3812,1.7019,1.0888,0.6163,0.9265,0.5292,1.6363,1.1116,0.7438
2,5.2235,5.0906,6.1432,3.9010,4.0385,7.3543,5.3730,4.8151,3.2719,3.7647,5.7674,4.5895,6.1480,4.8858,5.3374,6.0324,5.1792,5.0548,4.6915,7.3235,4.1522,3.8234,6.3194,4.5767,4.1519,3.7276,2.2565,4.6325
3,6.3410,10.5090,6.3632,6.3719,6.3235,4.7273,5.1849,5.9444,4.8324,4.2176,5.4794,4.8733,7.5034,3.8840,4.5898,5.5566,5.1505,4.5819,3.9200,6.4928,4.2720,4.7630,4.9343,3.6670,2.8525,3.9089,2.0341,2.5887
4,0.7276,1.0314,1.3127,0.8543,0.4793,0.9987,1.3852,1.6425,0.9117,0.7379,1.0357,0.5718,0.9822,1.9753,1.1336,0.5293,0.8145,0.5180,0.8087,1.0707,1.2319,0.4195,0.4933,0.3607,0.3328,0.6013,0.3358,0.5635
5,3.5954,4.8297,4.0879,4.5867,4.6501,4.5465,3.9853,3.5681,4.5114,4.6146,3.3346,4.8925,4.4748,3.9197,3.1165,3.6241,3.7915,2.4671,3.7692,3.9332,3.2577,3.0762,2.3899,2.6940,2.7156,2.1086,2.7581,1.9249
6,3.7322,3.7192,3.2955,3.0925,2.2201,3.7996,2.9564,3.3331,3.1705,1.7179,2.0960,3.7231,2.6146,2.2629,2.3614,1.8175,2.2020,2.4663,1.7479,4.3178,2.2844,2.6318,2.3292,1.5101,1.5609,2.8340,1.1168,1.4057
7,5.3383,9.5266,5.6924,6.7443,3.5698,4.7654,5.0118,5.9802,4.0496,3.9555,5.5227,4.1764,5.7369,2.4072,5.1403,4.1880,3.4595,4.2961,3.1325,6.3417,3.6140,3.7595,4.6641,2.7981,2.8373,4.0574,1.2707,2.7713
8,5.2236,4.8493,4.5493,5.4688,3.9727,3.6704,5.3562,3.7874,4.0651,4.5945,3.2095,4.5109,4.7646,3.2475,3.0468,3.5477,4.0574,2.9220,2.7775,3.7037,3.1758,2.5364,2.7193,2.7995,2.2663,2.9136,2.0740,1.8216
9,3.8697,4.4573,3.5759,2.7715,2.3435,3.4225,2.4493,3.5383,2.3670,2.8891,1.8754,2.8578,3.8288,2.2895,2.0089,2.1243,2.9502,2.1876,1.5187,2.2262,2.0618,2.5964,1.8873,1.3165,1.9648,1.7431,2.2785,1.2521
10,4.0462,4.1044,4.8695,2.1855,3.9717,5.0637,3.5169,3.0830,2.3075,2.4861,2.9580,3.1383,3.6171,2.5648,2.2090,2.4729,1.8069,2.8534,3.5598,4.6637,3.1138,1.9546,2.9982,1.7137,2.1978,1.7200,1.0380,2.7048
11,4.6688,5.7183,5.2502,4.3471,2.8584,3.6600,3.7085,4.6351,2.8067,3.2407,3.0884,7.0011,4.6619,2.5227,3.7815,2.4069,3.4933,3.5236,1.9219,4.6169,2.3657,3.1593,3.3698,1.7379,2.5949,5.2153,1.5245,2.5686
12,0.7284,0.8001,0.9999,0.7465,0.3960,0.5043,1.1321,1.1282,1.1281,0.8767,0.7627,0.4869,0.9618,1.3615,1.3753,0.4338,0.7858,0.4050,0.8282,1.0106,1.4597,0.5804,0.3330,0.5112,0.2108,0.5962,0.5457,0.4564
13,0.9224,1.0384,1.1706,1.0310,0.5805,0.7528,1.3247,1.5320,1.4411,1.0296,0.9464,0.6776,0.8636,1.8383,1.9658,0.5114,0.8885,0.3390,0.8767,0.9709,1.2006,0.5413,0.3813,0.5143,0.2629,1.0739,0.7233,0.4343
14,0.7053,0.5455,0.5758,0.8086,0.3742,0.4066,0.9894,1.1311,0.8352,0.7098,0.3971,0.2505,0.7000,0.5993,0.5509,0.2956,0.4383,0.1306,0.4607,0.5740,0.7740,0.2797,0.3248,0.3233,0.1369,0.3871,0.2787,0.4372
15,3.0117,2.9324,3.6154,2.1497,1.2389,2.9573,2.1593,2.3517,1.6138,2.0084,1.7971,2.6734,2.4689,3.2354,1.7111,2.1762,2.5702,1.5116,2.0589,2.0308,1.7232,2.3766,2.2206,1.4085,1.6968,1.6083,1.6166,2.0100
16,12.5482,12.1220,12.7797,10.0203,12.2957,8.6611,9.6233,10.7286,9.9619,10.6929,10.2816,8.6201,12.4624,12.8553,12.0629,9.4594,7.0274,10.3778,8.1788,9.2046,8.7413,7.0529,11.6658,10.5145,8.9854,5.7310,7.5962,5.3268
17,11.0308,10.8149,8.9593,5.8750,4.3574,10.3341,5.0196,6.7352,5.1187,6.4465,3.9517,4.2981,5.1334,4.2827,4.4036,6.3200,3.4987,3.1667,2.8295,5.0003,3.9697,3.6553,5.4456,4.6734,2.6729,2.4570,2.6530,3.5004
18,5.8839,8.1583,5.9823,7.1738,4.9711,4.4481,5.4664,5.3209,4.8776,5.5376,4.5892,4.8385,6.3953,3.9198,4.1708,4.5900,5.0322,3.5862,4.2212,5.7211,3.9906,3.5746,3.7043,3.4508,2.6898,3.1087,2.5614,2.4884
19,3.0563,3.4393,2.3527,3.1995,1.4627,3.1323,1.9414,2.3853,1.6706,2.4003,1.1195,1.7557,3.2242,2.0369,1.0812,1.8729,1.7721,1.6496,1.1238,1.8819,1.6663,1.8349,1.6393,1.2152,1.2769,1.2860,1.2345,0.7164
20,10.1274,10.2305,11.6807,7.2602,8.4756,9.2014,13.9594,12.8119,8.0998,11.5279,10.3390,7.0404,11.9192,10.6451,11.6034,11.7938,11.5321,9.4634,7.0093,10.7799,7.6381,7.2083,9.1875,4.8480,8.6821,5.5943,4.8177,7.2568
21,3.8917,4.2603,5.2813,4.0378,4.2297,5.6890,4.9447,4.5862,3.4044,4.2042,5.2146,5.5316,5.7831,4.7424,4.7313,5.7627,3.7885,4.0162,5.1322,7.0425,3.7519,2.6584,5.5358,3.0407,3.1892,3.6285,1.3248,4.0549
22,4.6107,7.0194,4.2357,4.0144,2.5297,2.5866,3.7867,3.9180,2.6486,3.0504,2.6541,3.7711,4.4433,3.0915,3.1743,2.7269,3.9041,3.3184,1.8157,3.7699,2.0560,2.8626,3.3554,1.5338,1.8626,3.0513,1.8976,2.1532
23,6.6969,5.3562,7.4170,5.4263,5.8983,5.3307,4.5621,5.8428,6.6146,4.9902,5.0026,7.3734,6.0372,4.5111,4.7338,4.9500,4.8105,3.6124,4.9323,4.5396,5.2030,4.2250,4.3037,3.8594,4.4477,3.2736,2.5239,3.3174
24,2.2270,1.5097,2.1566,1.5552,0.6365,1.9922,1.8623,2.4247,1.6780,1.3258,1.2171,1.3298,1.4951,2.0875,1.2729,1.1737,1.1598,0.8365,1.2101,1.4039,1.2711,0.8713,0.7018,0.8181,0.6261,0.9244,0.6617,0.7078
25,3.2218,4.3192,3.6684,3.1477,1.5279,3.2672,2.3577,2.7275,2.1275,2.4211,1.8272,2.1767,3.5517,2.4976,1.7280,1.9253,1.9983,1.9351,1.2937,1.6235,1.4624,2.2806,1.7723,1.5125,1.6329,1.6029,2.0216,1.0890
26,3.8659,5.2679,4.2691,5.6579,4.0577,3.9994,3.7535,3.6809,3.8965,4.0564,3.1517,4.9377,4.2972,3.4978,2.9808,3.5101,3.8923,2.9282,3.2303,3.2785,2.4313,2.6324,2.4053,2.1535,2.2677,2.6024,1.9496,1.8082
27,0.5028,0.3496,0.5448,0.4105,0.1258,0.2575,0.8500,0.7634,0.6442,0.3577,0.3110,0.1108,0.7170,0.5647,0.4526,0.1844,0.3540,0.1707,0.3298,0.7903,0.5980,0.1156,0.2065,0.2816,0.1360,0.4389,0.2583,0.3790
28,3.8973,5.0003,8.0582,4.2191,4.7366,8.6153,6.5765,6.0134,3.8399,6.2061,5.7042,4.8267,7.1820,7.0670,5.2759,7.8075,6.5670,4.8777,5.0794,8.8727,6.2401,3.2058,7.3676,4.1123,3.2671,4.0996,2.8202,4.5336
29,5.4357,8.4914,4.9350,8.2770,5.0875,4.3350,5.6935,4.4811,4.4364,5.2654,3.9795,4.5801,6.1809,3.9494,3.5206,5.0750,4.6363,3.3923,4.3036,5.3137,3.8805,3.0849,3.0770,3.3769,2.6721,3.1609,2.6137,1.8260
30,8.9891,7.8088,9.4023,6.8680,10.3486,7.1819,8.0111,7.5219,6.8262,8.4301,7.8623,7.3451,9.4260,7.3204,9.6097,8.8261,6.2028,9.0313,5.8438,7.8387,6.7596,6.1708,8.5909,7.9099,5.9669,4.8200,4.8486,4.7338
31,0.6236,0.3923,0.4879,0.4040,0.5002,0.3397,0.6335,0.9027,0.5569,0.6475,0.3936,0.1162,0.7749,0.4048,0.4692,0.1843,0.4991,0.0469,0.2319,0.5367,0.6667,0.1938,0.2544,0.3452,0.1151,0.4293,0.3264,0.3703
32,0.7409,1.1975,1.3910,1.1166,0.3632,0.4722,1.4459,1.9974,1.0956,0.8914,0.8900,0.6812,0.8793,2.0933,2.3131,0.7860,1.3640,0.6943,0.9765,1.0919,1.7794,0.9362,0.4135,0.8263,0.3681,1.1554,0.9261,0.5811
33,4.9529,5.9946,4.2944,4.7236,2.5188,4.0341,4.1172,3.7269,2.8433,3.9121,2.3091,3.7856,4.4827,3.3634,2.3111,2.8700,2.9674,2.3157,1.8329,2.4935,2.3961,2.3830,2.1643,2.0996,1.9168,2.0718,2.2182,1.4449
34,0.4028,0.5856,0.8119,0.5098,0.2067,0.4645,0.9101,0.8742,0.6137,0.4791,0.4089,0.2642,0.6072,0.9686,0.7101,0.2813,0.7026,0.2852,0.5567,0.8234,0.9144,0.2488,0.2767,0.3356,0.1461,0.6662,0.3527,0.2003
35,6.6406,7.0658,7.8121,4.0254,6.2225,8.1293,5.7749,6.4217,3.4808,6.0257,5.4234,3.4402,7.0432,6.1067,5.1792,5.1046,3.9645,6.9119,6.3104,7.5775,3.9026,3.3192,7.2755,3.9415,4.1546,4.0347,2.8221,4.5755
36,7.3936,10.6090,9.7063,8.0716,9.3530,10.3675,11.5197,9.9125,7.7464,10.6719,11.2915,9.0159,12.4151,8.6840,12.0626,9.0632,9.4214,8.4451,8.0738,10.8149,6.4517,6.6114,10.4111,5.8659,7.7891,5.0008,5.3372,6.4643
37,3.4288,4.8980,3.4705,4.3948,3.5735,5.1889,4.1743,2.8928,2.9244,3.3640,3.1296,3.0262,4.1352,3.7012,2.5191,3.2074,2.5617,1.4020,2.7633,3.1030,2.3735,2.3810,3.5244,2.3565,2.1555,1.8311,1.9372,1.5050
38,9.1005,8.6666,9.7508,7.6087,11.0052,7.4638,8.2230,7.9857,7.1329,9.2583,8.2541,7.2151,9.7118,8.0431,10.2745,8.7687,6.0336,9.3970,6.2390,8.0687,7.1130,6.0898,9.4585,9.1442,6.8183,4.9841,5.3927,4.8866
39,13.3502,9.9126,13.4752,9.6795,12.0179,16.8195,14.8987,11.8897,13.0217,12.6988,12.6492,11.8039,11.5624,9.7370,14.8121,11.3021,11.8039,11.6350,8.5590,10.5878,8.9557,6.8015,9.5530,7.2491,10.1953,6.4076,6.3592,7.0916
40,1.6121,1.5965,1.6607,1.1100,0.6116,1.9736,1.3913,1.5961,0.9433,1.1632,0.7205,1.3834,1.2554,1.7663,0.6439,0.9071,1.2890,0.3724,1.0308,1.2405,1.1890,1.1069,0.7708,0.8430,0.6588,0.7091,0.8747,1.1324
41,10.8402,11.2186,11.6546,7.5688,9.6648,10.3619,11.5173,9.1586,8.4524,8.3796,11.5669,8.8450,9.4818,7.0319,13.6248,9.9993,6.8494,9.1794,6.5017,8.5800,6.9560,6.4979,9.3820,6.1839,6.8188,4.9737,4.7788,4.8096
42,5.8431,8.4615,8.0661,5.3557,7.5825,8.9419,8.1456,8.5247,6.8012,6.8489,8.3729,7.5164,9.0128,5.0149,10.1145,6.9810,7.2924,8.6731,5.0083,8.1775,7.3553,5.6969,6.4188,5.1387,5.1577,5.6803,3.1419,4.0426
43,3.0857,2.7386,4.4729,2.2407,1.5290,2.1899,1.7152,3.0562,1.8449,1.8920,1.3721,1.3702,2.0781,1.9173,1.4502,1.4216,1.4618,1.1594,0.8752,2.2109,1.5333,2.0922,1.5787,0.8976,0.9778,1.4974,2.0482,0.8941
44,3.6268,4.2345,2.5615,2.9356,1.8043,2.5147,2.6379,3.0415,1.8583,2.1230,1.1774,2.5173,3.2030,2.1481,1.3349,2.2921,2.5698,2.2266,1.3693,2.2072,1.7738,2.6020,2.0335,1.2780,1.4028,1.5227,1.6241,0.8450
45,0.3040,0.6414,0.7585,0.5555,0.1166,0.2122,0.7168,1.2347,0.5716,0.2913,0.5766,0.2731,0.4248,1.0275,1.1674,0.2730,0.8019,0.5800,0.5050,0.6115,0.8208,0.4233,0.2339,0.3973,0.2250,0.7835,0.3757,0.2239
46,9.8229,6.9727,10.0080,6.2135,10.9052,6.4390,7.2866,7.9833,7.5314,8.1510,7.3456,7.8307,9.1361,7.7952,9.2804,9.4348,5.6888,9.4871,6.2942,7.9318,7.2287,6.5065,7.7479,7.5298,6.3007,5.1633,4.5727,4.5602
47,8.9071,10.0761,10.0653,7.6626,15.5300,13.3333,13.6132,10.6595,9.5688,10.8772,10.6219,9.6530,12.4657,9.8983,12.1368,10.2180,10.2806,10.8518,6.8379,9.9238,4.9931,8.6044,9.5963,6.4987,8.3402,6.2800,6.5578,6.4433
48,1.1305,1.6211,1.6347,1.5126,0.7546,0.8303,1.6535,1.8567,1.2110,1.0301,1.2994,0.8993,1.0874,2.2911,2.7571,0.9599,1.7246,1.7990,1.1569,0.9490,1.5625,1.2854,0.5510,0.7908,0.4282,1.5268,0.9150,0.6305
49,9.4241,8.4471,9.1377,4.7465,6.1687,7.8186,10.0069,10.5566,8.3388,8.7757,6.8638,3.9745,9.4692,8.6103,6.7147,9.4797,7.1630,10.4909,6.7676,10.9720,5.4642,3.8397,10.1851,4.8733,6.5759,5.4864,3.9244,7.1851
50,0.2216,0.6019,0.6957,0.5810,0.1157,0.2025,0.6831,1.1724,0.4491,0.1632,0.5271,0.1984,0.4144,0.7550,0.9897,0.2353,0.7380,0.5973,0.3872,0.5531,0.6768,0.3439,0.1789,0.2884,0.1436,0.4828,0.1922,0.1964
51,1.5195,1.1754,1.4850,0.9227,0.6574,1.5068,1.5126,1.9739,1.3327,0.9744,0.9155,0.9400,1.5262,1.8205,0.9539,1.0964,1.0634,0.7998,1.1708,1.3480,1.2704,0.7731,0.6987,0.6581,0.5090,0.8619,0.6037,0.6880
52,10.1883,8.2140,9.9180,6.3609,9.2618,6.7655,6.6740,7.9346,8.6150,6.1480,7.8605,7.6149,9.0824,7.9970,8.9169,9.0523,7.0820,7.9779,7.7700,7.1288,8.1243,7.1878,8.1977,7.6716,7.1251,5.3393,4.6686,4.1050
53,3.4317,4.4430,3.5762,2.9214,2.1996,2.9092,2.3974,3.1950,2.0587,2.4806,1.3896,2.4011,3.4598,2.0992,1.4843,2.0008,2.7200,2.1205,1.3201,2.1690,1.8718,2.4704,1.9751,1.2731,1.6102,1.4906,1.8589,1.0779
54,1.1675,1.2172,1.7522,1.1542,0.6158,0.8151,1.3521,1.5389,0.9058,1.1050,1.0441,0.8394,0.9787,2.2035,2.4755,0.8771,1.5158,1.2102,1.0843,0.9237,1.4671,1.0669,0.5569,0.7522,0.4437,1.4198,0.9350,0.6718
55,1.7257,1.6778,2.3170,1.6432,0.9469,1.2694,1.6633,1.7166,1.1461,1.4858,1.3551,1.2051,1.2052,2.5594,3.0962,1.0713,1.9485,1.6905,1.3151,1.0053,1.6561,1.3387,0.6576,0.7688,0.4999,1.4739,0.9210,0.8035
56,5.1615,7.0058,4.6876,4.6006,2.9268,3.3381,3.9404,4.0378,3.2691,3.6314,2.7515,4.1622,4.9634,3.1449,3.1581,2.8132,3.7292,3.4165,1.8381,3.5285,2.3973,3.1451,3.0998,1.7248,1.9171,2.8993,1.7921,1.9688
57,6.5726,6.7256,4.3899,6.1654,2.9587,4.5744,4.0627,4.1267,4.0762,3.5183,2.1628,3.2967,4.3021,2.9619,2.4805,2.8252,3.5606,3.0470,2.0157,2.9424,2.0400,3.5730,2.3216,2.1596,1.9370,2.0020,2.3900,1.2079
58,6.0573,6.7121,9.4812,3.6463,6.5153,9.0763,6.7460,7.7543,3.6408,7.7432,7.4460,4.8824,7.9937,7.0093,7.0119,6.7382,6.5778,7.3116,5.7228,7.7027,4.6024,2.4453,6.9843,3.0680,3.4035,3.6260,3.0502,4.9870
59,6.0459,8.4850,5.4982,6.0605,3.1373,4.1876,5.1873,6.1958,3.6948,3.8769,5.4675,4.3952,5.4745,2.2017,5.2092,3.6963,3.8037,3.9121,2.7803,6.5207,3.2570,3.7013,4.3301,2.5288,2.8002,3.6814,1.4697,2.4356
60,0.6138,0.7235,0.9081,0.5979,0.3524,0.3794,1.0828,1.0991,0.9167,0.6616,0.6705,0.3067,0.7766,0.8915,1.1098,0.3050,0.6525,0.2121,0.6209,0.8692,1.2073,0.2342,0.2263,0.2355,0.0888,0.3803,0.2740,0.2271
61,7.0567,7.1979,8.3486,4.3137,6.8450,7.6099,6.3624,7.2720,4.5327,7.2249,6.2160,4.3459,8.2238,7.1814,5.9954,5.9117,4.5939,8.5288,6.6578,8.4137,4.7591,3.7690,8.4122,4.0893,4.7630,4.2435,2.9573,5.3640
62,3.5182,4.3095,3.0023,2.9854,1.4558,3.9687,2.3282,2.7669,2.2922,2.6304,2.3604,1.8973,3.2755,2.4585,2.0219,2.2009,1.8850,1.6690,1.6624,1.6826,2.0624,1.7906,2.1082,1.5925,1.7414,1.9403,1.4063,1.2371
63,5.4615,5.8783,3.5246,4.8250,2.2158,3.7153,3.4164,3.1792,2.7971,2.5621,1.7860,2.3759,3.5770,2.5471,2.0342,2.2178,2.6265,2.3488,1.5435,2.4503,1.6626,2.8251,1.7202,1.7242,1.5451,1.4933,1.7652,0.9923
64,3.4612,3.1373,4.0319,2.6732,1.4510,3.5416,2.4408,2.6474,2.0339,2.4084,2.0524,3.0911,3.1042,3.3397,1.9883,2.5254,2.7419,1.6300,2.3594,2.0068,1.6463,2.4482,2.5320,1.4082,1.9876,1.8529,1.8656,2.0744
65,10.9125,9.8913,9.3618,7.8208,9.7857,9.0696,12.9629,11.3038,10.1712,13.6932,9.7873,6.8137,14.9274,11.8232,9.6291,11.1773,10.0774,9.9392,8.1853,12.6472,7.9505,6.8763,10.3205,5.5448,9.3855,7.0833,4.8049,7.6468
66,8.3368,5.2487,8.2391,6.3211,5.2545,5.3051,7.7487,8.1568,7.1564,6.6382,10.1889,3.9315,7.1344,6.5490,9.9197,5.1071,6.1879,6.0886,9.0847,6.7027,5.1755,6.7498,7.4836,5.2972,3.9368,5.7187,2.7038,3.5769
67,2.6694,3.0651,3.8713,2.7388,1.3552,3.2694,2.6517,2.9670,2.4255,1.8787,1.8562,1.6182,3.2451,2.6473,2.1079,2.2822,2.1335,1.1897,1.7604,3.4541,2.4928,1.8107,1.2345,1.7567,1.4254,1.9662,1.5485,1.3713
68,3.7456,3.5244,3.4769,3.7888,2.9349,3.7655,3.1902,3.2004,2.9614,3.2245,3.1422,3.1206,3.4007,2.9581,2.9676,2.8838,2.5202,1.3487,2.9696,2.6372,2.4990,2.3892,3.3828,2.4355,2.2736,1.8613,1.7543,1.1642
69,0.8159,0.6991,0.7672,0.7000,0.5549,0.6180,0.7825,1.3825,0.6819,0.6578,0.3477,0.2953,1.1188,0.7063,0.3968,0.2685,0.7802,0.1355,0.4313,0.8827,0.8859,0.4593,0.3730,0.4539,0.2977,0.5597,0.5837,0.5520
70,6.7796,7.3561,7.4517,7.4258,6.7090,5.8274,6.2793,5.3547,5.4509,6.0452,7.2576,6.6824,8.6842,4.7223,7.2507,7.1777,6.1319,6.2670,4.7718,5.7782,4.1256,4.5021,5.6601,3.8649,3.6935,3.4633,3.5872,3.4198
71,3.8980,3.5354,3.5230,4.0368,2.0526,2.5038,3.0534,3.2440,1.9476,2.0618,2.1837,2.8641,2.7470,2.6157,2.5574,1.9325,2.0438,1.8499,1.0759,2.3244,1.6562,2.3343,1.8017,1.1633,1.3586,2.1164,1.3380,1.1376
72,4.8782,4.4106,3.2499,4.0764,1.9900,2.7623,3.1083,3.4109,2.2439,2.2063,2.1001,2.4345,3.2714,2.9414,2.5084,2.4753,2.7863,2.7037,1.6679,2.3567,1.8738,2.5735,2.2559,1.2666,1.5566,2.2475,1.6393,1.1309
73,10.5259,8.3566,8.9360,7.7884,7.0609,8.0967,9.7860,11.3884,8.1428,11.1237,7.0012,6.0068,11.0534,9.1123,6.8720,8.9407,7.9599,8.8351,6.9524,11.6464,6.9903,5.5873,9.2575,4.6284,7.1522,6.3310,3.3138,6.0343
74,4.0220,4.6067,4.8684,2.5569,3.2252,5.0189,3.4824,3.4097,3.5714,2.8649,3.3046,2.9747,3.4228,2.4939,2.8687,2.7192,2.4822,3.1445,2.8331,5.7058,3.0084,2.0027,2.7872,1.7785,2.0435,1.8521,1.2841,2.5237
75,9.4082,10.0406,10.1988,8.4654,11.1087,7.8804,8.2049,9.0577,7.4040,9.6968,9.0206,7.4895,10.1750,7.9280,11.0472,8.5354,6.5829,9.0055,6.0572,8.3058,7.4298,6.0789,10.0654,9.0972,6.7931,5.0686,5.7756,4.9428
76,5.2890,5.1453,4.5898,3.9744,1.4420,5.0443,3.4944,3.7163,3.2847,3.4831,3.4560,3.9151,3.5328,3.4830,3.6906,2.9059,2.2598,1.7265,1.6520,2.2846,2.5788,2.1869,2.3984,1.8377,2.7536,1.9883,1.9113,1.8174
77,1.2712,2.3567,1.8905,1.8428,0.8047,0.8030,2.2749,3.1186,1.7965,1.4748,1.5328,1.3915,1.6836,3.5020,4.0812,1.3545,2.2819,1.0398,1.3321,1.6973,2.4545,1.7737,0.8214,1.3526,0.8518,1.9254,1.6822,0.9409
78,3.5476,4.0497,3.6107,3.9566,3.8000,3.4107,3.9585,3.7640,4.3738,3.8562,3.4711,4.3297,3.9708,3.3976,3.2218,2.6299,2.6865,1.7586,2.7339,3.4382,2.9267,2.8904,2.8853,2.6097,2.3087,2.0848,2.5388,1.3958
79,0.3179,0.7699,0.9359,0.7203,0.1459,0.2717,0.8826,1.4881,0.6452,0.3300,0.7156,0.3206,0.4621,1.1252,1.3721,0.3133,0.8714,0.7189,0.5471,0.6678,0.8713,0.4099,0.2159,0.3824,0.2302,0.7241,0.3101,0.2257
80,3.7155,4.2111,2.5709,3.0296,1.7201,2.7487,2.8003,3.0743,1.9519,2.1184,1.2572,2.3971,3.2981,2.0994,1.4281,2.2877,2.6564,1.9796,1.3510,2.2454,1.6379,2.4922,1.8976,1.4151,1.4576,1.4874,1.7631,0.7979
81,14.1954,13.1876,13.4623,10.1331,13.0534,8.2785,9.3668,10.6106,10.4891,11.6363,11.0389,8.9512,12.0062,12.7959,12.6020,9.7469,7.4163,10.5296,9.9198,9.7123,8.9314,6.9439,12.0025,9.9878,9.2384,5.9460,7.9068,5.4855
82,13.1834,10.5864,12.3205,7.7023,12.8702,7.5716,8.0809,10.0144,10.0552,10.4741,10.7568,8.9116,11.4452,11.0358,12.3135,9.5458,8.1412,10.2391,9.8480,9.7116,9.9276,7.6845,10.7962,10.9827,9.1751,5.7092,6.8498,5.5335
83,4.9047,5.8889,7.3175,3.2961,4.6513,7.8437,5.9092,5.5486,3.6730,4.0225,5.9852,5.0260,5.9560,4.2120,5.6175,5.3429,5.2386,4.7153,4.6943,6.9969,5.0659,3.6362,6.0953,4.6178,4.5831,3.1304,1.9836,4.7354
84,1.6894,1.1208,1.8921,1.7755,0.7102,1.3082,2.1215,1.8463,2.0484,1.6974,1.7340,1.2937,1.5016,2.8814,3.0895,0.8821,1.4704,0.8385,1.2295,1.4709,1.7979,1.2384,1.0320,1.0502,0.6518,1.4125,1.3283,1.1532
85,0.3973,0.7014,0.9504,0.7564,0.2813,0.6351,0.8920,1.0428,0.6007,0.4328,0.5531,0.2556,0.8315,1.2532,0.7234,0.3026,0.5635,0.2146,0.5426,0.6173,0.9840,0.3024,0.4550,0.2585,0.1717,0.4907,0.2638,0.5761
86,4.4336,7.9847,9.2297,4.3719,6.9720,9.2103,9.1113,7.8792,5.5587,6.6179,8.0895,6.7391,8.2559,4.6011,8.0684,7.1687,6.7579,5.9500,5.4931,7.5651,7.3042,4.2115,7.2370,5.2815,5.2976,4.3436,3.4323,6.3908
87,5.8930,8.8098,8.0927,4.9938,9.4096,9.0707,8.4560,8.4383,7.2408,8.0742,8.7215,8.1335,8.6499,6.1041,10.3804,7.3624,7.3717,9.0861,5.4063,8.7474,7.3395,5.9681,6.8638,5.8684,5.4883,5.7591,3.6894,4.3915
88,6.0073,8.8882,8.8550,4.7432,9.1610,10.4449,10.2344,8.6649,6.9434,8.4358,9.1680,8.8935,9.8660,5.8762,10.6232,6.3777,6.7576,9.0301,5.1379,9.1255,6.8131,6.0307,8.0627,6.7890,5.5676,5.7611,3.9667,4.5750
89,4.3096,4.5147,3.2601,3.9424,2.5639,3.4808,3.3274,2.7518,2.4276,2.9712,1.8858,2.1266,3.8121,2.4281,1.9130,2.2348,2.2807,2.0088,1.4872,2.0525,2.0901,1.8600,2.0508,1.7035,1.6291,1.6241,1.6565,1.1371
90,0.4239,0.8074,1.0303,0.9501,0.3238,0.3331,0.8342,1.2389,0.4944,0.3349,0.7862,0.3050,0.4353,0.9035,1.4322,0.3834,0.9336,1.2830,0.5036,0.5774,0.8202,0.6500,0.2506,0.4046,0.2913,0.7208,0.4043,0.2226
91,0.5358,0.9251,1.2254,1.2410,0.4475,0.3813,0.8631,1.3933,0.4884,0.4157,0.9423,0.3670,0.4757,1.0827,1.7030,0.5257,1.0990,1.9017,0.6155,0.6372,0.9663,0.8055,0.2547,0.4785,0.3082,0.7716,0.4009,0.3342
92,8.5680,7.2509,9.1572,7.6146,7.8438,5.7106,5.2042,5.3223,5.3641,6.9897,6.3638,7.8786,7.6601,5.5788,6.8813,7.2053,5.6396,6.9030,5.0617,6.0818,6.4160,4.3173,5.4716,4.7011,3.4788,3.8906,3.5044,3.7710
93,1.6574,1.0541,1.6475,1.5027,0.7330,1.3550,2.2215,2.1351,2.3559,1.6237,1.5974,1.1908,1.4991,3.0542,2.9570,0.9571,1.4537,0.8356,1.3994,1.6221,2.0902,1.4140,1.0002,1.1339,0.6291,1.4269,1.3158,1.2142
94,8.0185,8.9221,5.8605,6.7113,7.1504,5.5645,6.1928,7.4416,4.3379,6.3429,7.6327,5.9561,9.2650,3.9065,7.8065,5.4472,5.7417,5.1940,4.5474,7.0122,4.9351,4.7137,5.4778,4.8438,3.5095,4.9387,2.8670,3.4531
95,3.4971,5.8609,6.3680,3.1555,3.5935,5.3769,4.7186,5.6248,2.6138,3.5537,3.8542,4.5769,4.6172,2.9506,3.4458,2.5517,3.1271,3.2298,3.8037,6.2168,4.5283,2.3736,4.4957,2.8420,3.1371,2.9893,1.0891,4.1346
