FIPS,pH,Temperature,Turbidity,Fecal Coliform
01015,7.2840909090909065,17.781818181818178,0.9899999999999999,
01019,7.597297297297284,18.147619047619035,14.46666666666666,271.53846153846155
01023,7.54545454545455,20.272727272727277,,
01047,4.8500000000000005,,,
01049,4.6125,,,
01069,7.7250000000000005,21.450000000000003,3.9499999999999997,
01089,7.7920792079207395,15.330198019801992,8.995454545454548,
01097,6.542653475900005,26.83008437518223,4.046865581675727,131.38984327908378
01099,7.581818181818181,20.554545454545448,,
01101,4.908333333333333,20.46666666666667,2.6499999999999995,
01107,8.200000000000026,18.30625,,
01117,7.900000000000068,16.95789473684212,,
02020,7.57857142857143,5.888888888888889,,
02110,7.6119533527696595,4.2270408163265305,14.823529411764705,
02185,7.976086956521739,5.143478260869568,,
02188,7.449999999999999,10.924999999999997,,
02220,7.274999999999906,5.095941176470535,,
02240,7.954545454545566,9.506871532223707,140.04285714285714,
02270,7.62058823529404,10.296296296296296,80.05,
02290,7.801807802093009,10.6267840152237,254.8904761904762,
04001,8.28,15.059999999999999,,
04003,8.33177419354837,20.49061488673141,2.4,
04005,7.800000000000004,13.355172413793108,0.5075000000000001,1.5
04007,7.936296700300286,23.426775956284278,8954.952781065094,7.571428571428571
04009,8.337499999999999,18.662499999999994,131.29166666666666,10.333333333333334
04012,7.928571428571428,22.75714285714286,17.0,56.5
04013,7.915976331360946,21.260240963855427,14.317857142857141,66.14285714285714
04015,8.078235294117654,13.995857988165683,24.117391304347834,77.25
04017,8.314285714285717,16.511764705882342,,
04019,7.884848484848485,21.200000000000003,13.174999999999999,
04021,8.261971830985898,21.325352112676065,24.60000000000001,10.5
04023,7.4625,18.5,,
04025,8.417145073700489,15.90248640248662,13.058297872340418,6.212765957446808
04027,8.12019230769231,19.062499999999993,3.588888888888889,46.2
05005,7.504589046137192,14.862416913983783,,
05007,7.12578074991735,14.835131534435188,15.667458628841603,11.45
05015,7.318936695396226,12.607214922325591,1.0502380952380956,1.0
05017,7.25,23.9,,
05021,7.625,16.366666666666664,,
05023,6.406116406702022,12.665359618717376,,
05031,7.568421052631583,16.326315789473643,,
05037,7.407534246575346,16.890410958904106,,
05041,7.328571428571423,16.6,,
05049,7.321428571428571,16.271428571428576,,
05051,7.640000000000001,23.5,,
05063,7.324999999999998,14.25,,
05065,7.975000000000006,13.825000000000019,,
05077,7.5,19.5,0.1,
05079,7.357142857142854,16.02857142857143,,
05087,7.895238095238099,15.123809523809552,5.099523809523836,143.28571428571428
05089,7.573136793950767,14.10049770209864,,
05091,8.14285714285716,19.22962962962965,,
05101,7.533461538461525,11.876923076923072,,
05103,7.342857142857142,16.985714285714284,,
05105,6.45,12.385714285714279,13.199999999999998,163.0
05111,7.482692307692302,15.414102564102555,,
