uniqid_huc10,nonfp_1987_huc10,nonfp_1988_huc10,nonfp_1989_huc10,nonfp_1990_huc10,nonfp_1991_huc10,nonfp_1992_huc10,nonfp_1993_huc10,nonfp_1994_huc10,nonfp_1995_huc10,nonfp_1996_huc10,nonfp_1997_huc10,nonfp_1998_huc10,nonfp_1999_huc10,nonfp_2000_huc10,nonfp_2001_huc10,nonfp_2002_huc10,nonfp_2003_huc10,nonfp_2004_huc10,nonfp_2005_huc10,nonfp_2006_huc10,nonfp_2007_huc10,nonfp_2008_huc10,nonfp_2009_huc10,nonfp_2010_huc10,nonfp_2011_huc10,nonfp_2012_huc10
2846,47.4,34.5123,42.8132,52.6581,60.3092,87.1946,112.3603,107.7154,96.6947,128.6716,125.3295,78.7807,77.5104,104.8727,111.9453,130.6837,138.1325,245.4194,90.7217,74.3426,106.6388,97.1476,71.4551,66.8860,80.3899,92.6331
2847,28.3,21.7888,24.8448,27.3397,30.5537,32.1621,41.7311,37.2809,32.4557,41.2203,42.9975,23.1279,26.1478,42.0578,43.0606,31.7278,37.1665,48.6308,57.0744,57.2958,53.9787,38.8358,25.4596,24.0568,26.8408,24.9551
2848,0.3,0.2509,0.4495,0.3837,0.4082,0.4852,0.4961,0.4880,0.8802,0.6266,0.5780,0.3749,0.3849,0.6301,0.6169,0.4396,0.4797,0.5653,0.4895,0.4171,0.4598,0.7119,0.3167,0.3563,0.3007,0.4714
2849,1.0,0.7751,0.4465,0.3608,0.5737,0.5284,0.7180,0.6833,0.6679,0.8214,0.6404,0.3704,0.3231,0.5599,0.4771,0.5347,0.8946,1.3964,0.2832,0.0818,0.4155,0.4178,0.5659,0.4384,0.2865,0.2881
2850,11.5,13.4563,15.5339,0.5510,0.7416,3.9669,2.3422,4.9709,7.8355,6.6737,2.4082,0.8643,2.3791,2.7452,6.7781,5.1687,2.0782,5.8986,3.1236,1.4882,2.7785,4.4198,6.3296,2.6297,11.0765,2.4426
2851,0.1,0.0709,0.0727,0.0833,0.0649,0.0863,0.0824,0.0957,0.1202,0.1102,0.1067,0.0921,0.0918,0.1080,0.1140,0.1186,0.1104,0.1045,0.1178,0.0761,0.0715,0.0901,0.0449,0.0298,0.0333,0.0314
2852,5.2,5.3766,5.4251,6.1860,4.4159,5.8042,7.4808,7.9574,7.6738,9.2477,13.0847,9.6319,11.4190,12.8418,13.0367,10.8061,11.7523,14.1602,13.5049,13.2891,15.0485,11.8021,3.8658,6.3006,7.2188,12.0803
2853,0.5,0.5987,0.6783,0.0234,0.0323,0.1714,0.1001,0.2097,0.3343,0.2909,0.0907,0.0326,0.0918,0.1070,0.2585,0.1955,0.0777,0.2172,0.1130,0.0527,0.0785,0.1227,0.1722,0.0718,0.3022,0.0661
2854,18.1,17.6735,17.4038,19.7254,13.9245,16.5747,21.0520,23.5075,25.2593,21.9772,29.1864,26.3220,23.2693,19.8236,21.7635,20.2544,20.1888,29.4515,27.2320,28.0681,32.8483,21.8014,13.5200,11.3341,14.7041,12.6361
2855,1.4,1.3818,1.2655,1.2979,1.5460,1.7040,1.9451,1.6824,2.0003,2.6144,1.9736,1.6812,1.9442,1.8958,2.0032,2.1022,1.9053,2.1355,1.8218,1.9090,1.6433,1.3806,0.9021,0.7623,0.9785,1.2426
2856,5.4,4.1070,2.4047,1.9491,3.1149,2.8821,3.9943,3.8073,3.8387,4.7575,3.7930,2.2254,1.9641,3.3872,2.9277,3.2488,5.4941,8.5433,1.7323,0.4983,2.5203,2.5429,3.4893,2.7055,1.7600,1.7681
2857,6.3,5.6346,6.2444,3.5950,3.8935,5.6288,5.8716,6.5065,8.9297,8.4386,7.5030,4.4615,4.9233,7.8680,10.0176,6.4540,6.6215,11.0980,5.9640,5.7054,6.3079,9.2894,7.3800,4.8267,2.6330,4.0578
