uniqid_huc10,malat_high1992_huc10,malat_high1997_huc10,malat_high2002_huc10,malat_high2007_huc10,malat_high2012_huc10,malat_low1992_huc10,malat_low1997_huc10,malat_low2002_huc10,malat_low2007_huc10,malat_low2012_huc10
1553,0.0415,0.4051,0.0161,0.0259,0.1777,0.0000,0.0000,0.0000,0.0000,0.0000
1554,0.0005,0.0004,0.0008,0.0005,0.0000,0.0000,0.0000,0.0008,0.0000,0.0000
1555,0.4476,0.3687,0.2502,0.2029,0.0149,0.0018,0.0072,0.2502,0.0000,0.0000
1556,0.2876,0.3277,0.1069,0.0638,0.0705,0.0026,0.1790,0.0001,0.0256,0.0001
1557,0.3692,0.1497,0.8056,0.4100,0.6110,0.3692,0.1497,0.8056,0.4100,0.6110
1558,0.0805,0.0824,0.0736,0.0968,0.0473,0.0805,0.0824,0.0736,0.0968,0.0473
1559,0.0016,0.0120,0.0658,0.0115,0.0000,0.0007,0.0007,0.0000,0.0115,0.0000
1560,0.0021,0.0084,0.0020,0.0021,0.0003,0.0005,0.0035,0.0000,0.0007,0.0000
1561,0.1147,0.2999,0.2867,0.5678,0.4508,0.1147,0.2999,0.2867,0.5678,0.4508
1562,0.0019,0.0234,0.0469,0.0119,0.0003,0.0007,0.0208,0.0464,0.0119,0.0003
1563,0.5615,2.1933,5.2285,2.0315,0.4368,0.5615,2.1933,5.2285,2.0315,0.4368
1564,0.0002,0.0002,0.0000,0.0000,0.0000,0.0002,0.0002,0.0000,0.0000,0.0000
1565,0.9834,0.3423,0.0726,0.0189,0.0120,0.0012,0.0092,0.0000,0.0000,0.0000
1566,0.0544,0.6139,0.0471,0.0094,0.1069,0.0000,0.0011,0.0000,0.0000,0.0000
1567,0.0010,0.0041,0.0015,0.0016,0.0001,0.0003,0.0017,0.0000,0.0005,0.0000
1568,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1569,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
1570,0.2087,0.0721,0.0287,0.0154,0.0040,0.0016,0.0208,0.0021,0.0000,0.0040
1571,0.1949,2.1912,0.4570,0.7258,0.4579,0.0103,0.0103,0.0004,0.0002,0.3980
