MonitoringLocationIdentifier,Result
11113300-00-LTE,6.879999999999998
11113300-00E-CGB,2.4562500000000003
11113300-00J-PRB,2.9162500000000002
11113300-00M-HOB,2.95
11113300-00M-SMT,1.3399999999999999
11113300-01-AND,1.2
11113300-01-ASH,1.1485714285714284
11113300-01-BAT,6.85
11113300-01-BKB,1.5775000000000001
11113300-01-BOB,11.8
11113300-01-BRR,11.1275
11113300-01-CAM,1.8
11113300-01-CLD,41.8
11113300-01-CNT,0.7825
11113300-01-CRB,2.8
11113300-01-CSB,1.392222222222222
11113300-01-CWL,1.5150000000000001
11113300-01-DAB,17.116666666666667
11113300-01-DBE,12.568750000000001
11113300-01-DOB,1.9
11113300-01-DRT,2.4499999999999997
11113300-01-GBR,0.4166666666666667
11113300-01-GFB,4.333333333333333
11113300-01-GIL,1.0411111111111113
11113300-01-GRB,28.079999999999995
11113300-01-GRL,1.635
11113300-01-GUN,1.6828571428571428
11113300-01-HML,4.585714285714286
11113300-01-HNY,1.4500000000000002
11113300-01-MER,1.2033333333333331
11113300-01-MIB,7.4
11113300-01-MLD,0.236
11113300-01-MQB,1.06
11113300-01-MSC,2.0500000000000003
11113300-01-MTB,6.26
11113300-01-NBR,1.2200000000000002
11113300-01-NFD,0.4981818181818182
11113300-01-NWD,3.2
11113300-01-OTT,4.6274999999999995
11113300-01-SAC,0.5833333333333334
11113300-01-SGR,1.7942857142857143
11113300-01-WAB,13.459999999999999
11113300-01-WDY,7.364285714285715
11113300-01-WIL,9.03
11113300-01-XBB,1.1514285714285715
11113300-01-XCB,5.3
11113300-01-XDB,3.0999999999999996
11113300-01-XHB,1.9
11113300-01-XJR,11.9
11113300-01A-BKB,1.7374999999999998
11113300-01A-GRD,0.47500000000000003
11113300-01A-LTR,1.4666666666666668
11113300-01B-BKB,1.9050000000000002
11113300-02-AND,1.0059999999999998
11113300-02-ASH,1.2733333333333332
11113300-02-BKW,0.6642857142857144
11113300-02-BLD,1.3399999999999999
11113300-02-CLD,19.080000000000002
11113300-02-COR,1.745
11113300-02-CRT,4.2
11113300-02-CTC,0.4000000000000001
11113300-02-GRB,11.7
11113300-02-GRD,0.8333333333333334
11113300-02-HOB,6.3
11113300-02-ISG,2.762
11113300-02-ISR,2.33875
11113300-02-LRT,3.5
11113300-02-LTE,5.49
11113300-02-MLG,1.066
11113300-02-MQB,2.56
11113300-02-SBA,2.1
11113300-02-SHG,1.2600000000000002
11113300-02-SNW,0.9249999999999999
