FIPS Code,1982 Mean Temp (Celsius),2012 Mean Temp (Celsius),% Change
12079,21.2,23.2,9.5%
12081,24.0,25.1,4.9%
12083,23.5,22.9,-2.7%
12085,24.5,25.4,3.5%
12086,25.3,25.5,0.9%
12087,27.1,26.6,-1.9%
12089,20.4,23.9,17.1%
12091,20.3,23.6,16.7%
12093,23.1,25.5,10.6%
12095,23.7,25.0,5.5%
12097,23.4,24.2,3.5%
12099,25.8,24.6,-4.4%
12101,23.7,22.7,-4.3%
12103,25.1,25.8,2.9%
12105,25.1,24.3,-3.1%
12107,21.4,21.6,0.8%
12109,25.1,23.0,-8.3%
12111,24.8,25.9,4.4%
12113,19.5,22.4,14.5%
12115,26.3,25.1,-4.5%
12117,23.7,23.8,0.6%
12119,25.1,23.4,-6.6%
12121,22.2,22.0,-0.9%
12123,20.9,19.7,-5.9%
12127,22.7,24.7,8.8%
12129,21.6,22.1,2.2%
12131,21.9,22.3,2.2%
12133,20.7,23.6,14.2%
13007,17.2,22.3,29.7%
13015,14.3,15.5,8.4%
13019,18.8,19.7,4.9%
13021,19.2,17.0,-11.5%
13027,18.4,21.3,15.5%
13029,19.8,20.2,1.7%
13033,18.4,21.4,16.6%
13035,17.8,16.9,-5.1%
13045,16.0,13.4,-16.0%
13047,16.4,15.9,-3.1%
13053,20.7,21.1,2.0%
13055,16.3,15.4,-6.0%
13057,14.7,16.3,11.2%
13061,21.6,21.2,-2.0%
13063,16.4,15.8,-3.9%
13065,19.8,21.5,8.8%
13067,16.3,15.7,-3.5%
13071,16.5,18.8,13.6%
13083,20.3,15.6,-23.0%
13087,19.1,20.5,6.9%
13089,16.7,16.1,-3.4%
13093,15.9,17.6,10.6%
13095,19.5,22.1,13.6%
13097,15.1,17.9,18.6%
13099,20.8,18.5,-11.3%
13103,20.0,15.2,-24.0%
13109,19.3,19.8,2.8%
13111,14.2,11.4,-19.8%
13113,16.1,15.7,-2.2%
13115,16.3,15.4,-5.5%
13121,19.4,14.5,-25.3%
13123,15.4,14.2,-8.0%
13127,21.0,21.8,3.5%
13129,15.6,15.2,-2.5%
13131,17.5,20.6,17.5%
13135,15.4,11.4,-25.9%
13149,18.2,17.0,-6.4%
13151,17.6,18.2,3.6%
13153,18.0,17.0,-5.5%
13155,11.6,24.2,109.2%
13161,20.1,17.5,-12.7%
13169,16.7,11.6,-30.4%
13175,20.7,16.9,-18.5%
13179,21.7,19.4,-10.6%
13185,20.9,19.2,-8.1%
13193,18.0,19.2,6.7%
13213,16.8,15.0,-10.7%
13217,17.0,16.4,-3.6%
13219,16.5,17.2,4.0%
13229,16.9,20.8,22.8%
13233,16.3,17.4,6.3%
13239,29.2,25.4,-12.8%
13247,15.7,14.8,-5.7%
13251,18.9,22.3,17.8%
13253,20.3,24.7,21.7%
13259,24.7,20.7,-16.2%
13261,18.0,18.1,0.5%
13267,17.3,21.9,26.7%
13269,19.0,22.0,16.0%
13275,17.5,19.6,12.2%
13277,15.5,22.5,45.0%
13285,18.3,20.0,9.0%
13291,13.3,11.5,-13.5%
13295,16.4,14.5,-11.6%
13307,17.5,17.8,1.5%
13309,17.3,21.9,26.3%
13313,15.5,15.3,-1.5%
13319,17.6,16.2,-7.9%
15001,22.2,22.6,1.8%
15005,19.3,21.5,11.2%
15009,20.8,20.4,-2.1%
16005,9.4,11.2,19.2%
16007,8.2,12.5,51.9%
16011,11.3,15.1,33.2%
16013,8.6,12.2,42.4%
16015,18.5,9.4,-49.6%
16017,8.5,8.1,-4.7%
16019,3.8,13.6,259.9%
16027,12.2,16.0,31.2%
16029,8.7,11.6,34.0%
16031,16.2,12.5,-22.5%
16035,9.8,17.3,77.2%
16037,16.2,6.1,-62.5%
16039,23.5,10.3,-56.1%
16041,7.5,13.4,78.9%
16045,14.6,10.8,-25.8%
16049,21.7,10.6,-51.3%
16053,18.8,13.9,-26.0%
16055,13.9,12.1,-13.1%
16059,19.1,9.3,-51.2%
16061,12.6,7.8,-37.8%
16067,10.4,14.1,35.2%
16069,10.5,11.3,7.1%
16073,30.6,11.3,-62.9%
16075,14.5,11.5,-20.6%
16077,13.3,14.6,9.4%
16079,7.3,9.4,28.3%
16083,17.5,12.0,-31.9%
16085,11.9,14.4,21.2%
17003,12.8,20.6,61.0%
17019,11.4,30.9,170.0%
17027,14.9,24.7,65.8%
17029,12.5,24.8,98.5%
17051,14.5,24.1,66.4%
17055,15.1,24.9,65.4%
17057,11.7,26.4,125.0%
17061,14.8,18.9,27.1%
17081,13.9,23.1,66.3%
17097,13.7,16.8,23.0%
17105,14.3,20.3,41.4%
17119,14.4,23.0,59.7%
17139,12.4,24.0,93.0%
17157,14.7,22.6,53.5%
17167,17.5,28.4,62.0%
17173,13.6,21.0,54.5%
18089,13.0,22.3,71.5%
18127,13.1,22.6,73.2%
19001,10.0,24.0,140.0%
19005,17.0,13.4,-21.1%
19009,11.8,23.5,99.7%
19011,11.5,24.6,113.6%
19013,11.5,19.1,65.8%
19017,10.5,19.3,83.8%
19019,13.0,12.8,-1.8%
19021,11.8,25.6,118.1%
19023,10.0,24.2,141.9%
19025,18.4,24.9,35.5%
19027,12.0,22.8,89.9%
19029,15.0,25.2,68.3%
19035,11.0,11.7,6.6%
19039,25.0,23.0,-7.9%
19041,11.0,13.7,24.3%
19043,9.5,13.7,44.4%
19045,10.9,20.1,84.2%
19047,11.3,23.6,108.3%
19049,13.0,18.3,40.7%
19053,13.0,24.0,84.5%
19057,12.6,24.9,96.7%
19059,10.0,23.2,131.9%
19061,11.0,18.5,68.2%
19065,10.9,19.0,74.8%
19067,9.5,18.7,96.6%
19069,9.8,25.6,162.9%
19071,12.5,16.4,31.3%
19073,12.2,22.3,82.5%
19077,12.8,24.4,90.4%
19079,13.5,21.6,60.2%
19081,10.0,21.5,115.4%
19085,12.7,18.6,46.8%
19091,10.0,12.6,25.7%
19093,11.8,23.3,98.0%
19095,9.1,24.0,163.2%
19097,12.0,14.4,19.9%
19099,11.3,22.4,97.3%
19103,11.2,19.5,74.5%
19107,11.0,18.5,68.4%
19109,9.5,19.2,102.3%
19111,13.3,17.4,31.3%
19113,12.9,20.7,60.0%
19115,13.6,20.7,52.6%
19117,15.2,23.0,51.6%
19119,12.0,21.8,80.9%
19121,9.5,24.1,154.0%
19125,9.5,20.8,118.9%
19127,13.6,15.1,11.3%
19133,11.0,17.8,61.3%
19135,13.0,22.6,73.8%
19137,15.0,25.9,72.9%
19139,12.8,14.4,13.3%
19141,11.5,23.8,106.4%
19145,11.3,21.0,86.8%
19147,12.3,24.9,102.2%
19149,12.3,11.9,-3.1%
19153,15.3,21.7,41.7%
19155,14.0,23.1,65.2%
19157,11.5,24.1,109.8%
19161,11.8,19.1,61.9%
19163,11.5,19.7,71.2%
19165,11.1,23.4,111.1%
19167,11.5,12.0,4.1%
19169,13.0,17.1,31.6%
19171,12.1,24.1,100.1%
19177,14.0,22.4,59.8%
19179,18.0,14.5,-19.6%
19181,16.5,19.8,20.2%
19187,15.8,18.0,13.9%
19191,9.0,18.3,103.7%
19193,12.0,17.9,49.1%
19195,10.0,20.0,100.1%
19197,10.0,23.9,138.7%
20001,50.9,19.3,-62.1%
20003,13.0,30.0,130.8%
20005,13.7,14.1,3.1%
20007,19.4,18.1,-6.6%
20009,16.3,14.2,-13.1%
20011,16.1,17.1,6.0%
20013,15.5,19.1,23.2%
20015,16.0,13.9,-12.8%
20017,15.0,12.8,-14.6%
20019,16.7,20.3,21.7%
20021,14.4,20.3,40.8%
20027,13.4,15.3,14.4%
20029,14.0,13.7,-2.3%
20031,14.6,16.3,11.6%
20035,15.7,16.8,7.0%
20041,13.2,14.6,10.8%
20043,10.9,17.5,60.4%
20045,15.1,19.0,25.8%
20047,16.8,14.0,-16.4%
20049,14.4,18.0,24.6%
20051,15.9,10.0,-37.1%
20053,14.1,20.1,43.0%
20059,15.2,20.0,31.4%
20061,16.2,21.1,29.8%
20073,15.2,18.9,24.9%
20075,17.2,13.0,-24.3%
20079,14.1,21.6,52.9%
20083,17.7,15.5,-12.3%
20085,13.2,16.6,25.2%
20087,16.6,20.2,21.8%
20089,13.7,23.5,71.2%
20091,15.5,20.3,30.9%
20093,24.5,1.0,-95.9%
20095,15.9,23.6,48.4%
20099,17.6,20.2,14.5%
20103,14.6,17.2,17.5%
20105,14.8,15.3,3.4%
20107,16.2,24.0,48.4%
20109,14.3,8.3,-41.9%
20111,14.8,13.7,-7.7%
20113,26.4,28.0,6.2%
20115,13.4,16.3,21.9%
20117,11.9,15.4,29.5%
20119,17.1,16.6,-2.8%
20121,15.8,23.3,47.0%
20123,14.4,15.6,8.2%
20125,15.6,17.7,13.5%
20127,14.3,13.4,-6.2%
20131,15.6,19.8,26.5%
20133,16.9,18.2,7.8%
20137,11.9,14.9,24.8%
20139,13.4,12.0,-10.7%
20141,14.6,14.2,-3.2%
20143,14.9,14.2,-4.5%
20145,18.5,13.0,-29.7%
20147,13.4,11.6,-13.3%
20149,15.8,23.3,47.2%
20155,13.5,18.4,36.3%
20157,14.1,17.4,23.1%
20159,14.0,12.9,-7.5%
20161,13.6,18.7,37.2%
20163,16.7,16.2,-3.2%
20165,17.1,11.0,-35.8%
20167,13.4,19.4,44.9%
20169,18.7,16.3,-12.7%
20173,13.3,15.6,17.2%
20177,14.4,17.4,20.8%
20191,15.9,17.9,12.5%
20195,17.3,17.0,-1.5%
20197,12.4,18.8,52.2%
20201,12.6,16.7,31.8%
20205,14.6,19.9,36.4%
20209,15.2,24.1,58.3%
21001,12.3,12.5,2.3%
21003,14.0,16.2,15.6%
21005,15.3,16.8,9.6%
21009,15.0,12.0,-20.0%
21011,12.2,14.7,21.1%
21013,15.6,16.9,8.5%
21017,13.6,17.5,28.8%
21025,15.1,15.7,4.0%
21029,16.8,17.3,3.3%
21031,15.7,14.9,-4.7%
21033,19.0,17.4,-8.5%
21043,14.7,20.2,37.9%
21051,13.8,16.3,18.5%
21061,14.6,14.7,0.7%
21071,13.7,14.5,5.8%
21073,14.8,17.7,19.5%
21077,14.8,18.8,26.4%
21079,14.5,16.4,13.3%
21085,15.9,4.6,-71.1%
21089,14.6,14.7,0.6%
21093,14.5,15.9,9.9%
21095,16.2,20.8,28.2%
21097,15.7,15.7,0.1%
21099,13.9,16.1,15.6%
21101,13.9,10.2,-26.8%
21105,18.2,14.7,-19.4%
21111,15.0,21.9,45.6%
21115,11.8,11.5,-2.3%
21117,12.5,14.9,18.9%
21119,14.2,8.2,-42.2%
21121,15.3,15.6,2.1%
21125,12.3,15.9,29.5%
21127,13.7,16.9,23.1%
21129,13.2,16.1,21.8%
21131,13.9,22.6,62.5%
21135,16.7,14.7,-11.9%
21141,14.2,14.1,-0.4%
21143,15.8,27.6,74.8%
21145,16.8,18.6,10.6%
21147,10.6,16.9,58.8%
21149,18.3,11.8,-35.2%
21151,13.6,16.6,21.9%
21177,17.3,10.2,-41.2%
21179,15.7,16.3,3.9%
21183,16.6,13.3,-20.1%
21185,9.6,15.5,61.3%
21189,15.6,16.4,5.5%
21191,14.2,17.8,25.0%
21195,15.5,18.4,19.1%
21197,19.6,15.5,-21.0%
21199,13.6,18.3,34.6%
21211,13.8,23.6,70.4%
21215,14.2,21.9,54.1%
21221,13.4,22.7,68.5%
21227,16.1,14.9,-7.1%
21231,14.4,16.8,17.1%
21233,15.5,13.2,-14.5%
21235,14.5,16.2,11.3%
22001,23.0,22.6,-1.9%
22003,22.1,16.7,-24.5%
22011,22.0,17.3,-21.5%
22019,24.3,20.6,-15.5%
22045,22.5,25.6,13.7%
22047,20.4,22.8,11.6%
22051,18.3,24.7,35.3%
22053,23.8,21.5,-9.6%
22065,22.1,27.8,25.7%
22067,14.9,23.0,54.4%
22077,18.5,24.0,29.7%
22097,21.8,393.4,1708.8%
22099,23.3,129.2,454.3%
22101,20.3,25.9,27.7%
22123,19.6,21.9,11.6%
23003,8.5,21.8,157.8%
23005,9.9,16.4,65.1%
23007,9.5,20.2,112.4%
23009,11.1,15.8,41.6%
23011,8.1,21.3,163.3%
23015,11.1,22.0,98.1%
23017,6.9,22.5,225.2%
23019,9.8,21.4,119.2%
23021,10.8,19.2,78.4%
23023,9.0,16.6,84.7%
23025,9.2,19.0,107.1%
23029,10.0,18.7,86.7%
23031,10.1,17.3,70.3%
24001,10.7,12.8,19.2%
24003,13.8,14.4,4.7%
24005,10.0,16.0,59.5%
24009,22.5,17.5,-22.0%
24011,13.7,14.9,8.4%
24013,11.0,12.1,10.1%
24015,18.1,17.3,-4.4%
24017,17.1,16.8,-1.8%
24019,13.6,18.5,35.8%
24021,13.9,12.0,-13.6%
24023,10.0,10.4,3.6%
24025,14.1,17.5,24.0%
24027,14.0,14.1,0.9%
24029,14.4,14.5,0.7%
24031,11.3,13.8,21.6%
24033,13.4,16.2,21.2%
24035,12.7,18.0,42.1%
24037,18.1,17.2,-5.1%
24039,14.8,19.1,29.2%
24043,12.0,13.4,11.3%
24045,16.4,19.9,21.2%
24047,14.8,22.3,50.4%
24510,13.2,20.5,54.6%
25001,11.1,23.6,113.3%
25003,11.2,15.5,38.4%
25009,17.6,17.3,-1.7%
25011,23.4,16.2,-31.1%
25013,13.4,14.4,6.9%
25015,12.8,14.8,16.2%
25017,11.9,14.4,21.0%
25023,16.0,23.7,47.4%
25025,18.8,17.3,-8.0%
25027,13.0,13.2,1.2%
26003,15.0,15.4,2.4%
26005,15.0,15.0,-0.2%
26007,9.3,11.7,25.5%
26011,9.3,13.4,44.4%
26019,9.5,15.6,64.1%
26021,12.0,20.9,73.8%
26025,11.5,21.3,85.4%
26031,8.1,16.9,109.1%
26033,7.3,14.4,98.2%
26041,7.9,12.7,60.1%
26043,6.9,11.9,71.6%
26055,8.5,12.8,50.5%
26061,8.9,11.9,33.7%
26063,10.1,13.9,38.0%
26069,9.9,10.5,6.2%
26077,11.0,19.0,72.7%
26083,8.9,16.1,80.9%
26089,14.0,18.6,32.6%
26091,9.4,16.2,73.0%
26095,6.9,4.8,-30.8%
26097,7.5,14.3,90.3%
26099,11.8,15.7,33.2%
26101,10.8,14.0,30.5%
26103,14.0,10.6,-24.0%
26109,8.3,16.4,97.5%
26115,13.6,17.5,28.9%
26121,9.1,17.1,88.7%
26123,11.9,16.2,35.7%
26131,8.1,8.9,8.9%
26139,10.3,14.9,45.0%
26145,12.1,18.0,48.4%
26147,9.5,16.6,75.0%
26151,9.5,12.2,28.0%
26153,6.8,15.9,135.1%
26159,17.3,7.2,-58.4%
26163,10.4,16.8,61.6%
27001,11.9,13.7,14.9%
27003,17.0,19.4,13.8%
27007,13.5,19.3,42.7%
27009,13.1,20.3,55.4%
27011,10.9,19.5,78.0%
27013,14.0,17.4,24.1%
27015,15.0,22.3,48.3%
27017,16.5,17.4,5.3%
27019,14.9,17.6,17.6%
27021,8.7,18.9,116.8%
27023,12.6,19.3,53.3%
27025,14.6,41.1,181.2%
27029,14.3,16.6,16.0%
27031,7.5,15.6,107.6%
27033,4.5,25.3,458.1%
27035,21.5,20.3,-5.5%
27037,21.4,19.0,-11.0%
27041,11.3,20.4,79.9%
27045,14.6,17.7,21.0%
27047,12.8,22.8,78.4%
27049,13.7,19.6,43.5%
27051,11.0,21.5,95.0%
27053,17.0,18.9,11.7%
27055,13.6,18.1,32.8%
27057,10.0,19.9,98.1%
27059,13.3,25.2,88.8%
27061,16.8,16.2,-3.9%
27063,7.2,18.4,154.3%
27065,11.0,16.6,50.9%
27069,7.8,12.4,59.8%
27071,10.4,10.8,4.1%
27073,10.3,23.8,131.2%
27075,8.4,19.4,132.5%
27077,2.6,14.3,445.5%
27079,12.8,23.6,84.2%
27081,9.4,23.5,149.2%
27085,15.1,20.1,32.9%
27089,6.0,14.9,148.0%
27091,13.9,29.2,109.3%
27093,9.0,18.7,108.0%
27097,10.5,19.9,89.3%
27099,12.4,18.4,48.0%
27103,12.9,16.9,31.4%
27105,18.9,20.4,7.6%
27109,15.3,17.1,11.4%
27111,9.8,21.2,115.3%
27115,12.0,16.5,38.0%
27117,13.1,19.2,46.2%
27119,10.8,16.0,48.5%
27121,12.3,22.6,84.4%
27123,15.0,17.9,19.4%
27127,15.4,16.5,7.3%
27129,13.6,18.6,37.2%
27135,8.8,16.3,85.1%
27137,11.1,15.8,41.7%
27139,17.8,19.2,7.5%
27141,23.0,20.9,-8.9%
27145,12.3,17.9,45.0%
27147,11.7,19.6,68.3%
27149,10.4,21.4,105.9%
27151,11.0,21.8,97.4%
27155,12.2,14.5,19.0%
27159,9.6,17.1,77.7%
27161,15.0,19.0,26.8%
27163,15.5,19.3,24.8%
27167,14.5,15.2,5.1%
27169,14.4,15.9,10.9%
27171,11.0,20.2,84.0%
27173,9.1,19.5,115.1%
28001,21.4,24.8,16.1%
28007,26.5,16.3,-38.4%
28019,24.6,13.6,-44.6%
28021,19.2,13.4,-30.1%
28023,24.6,19.4,-20.9%
28029,20.0,23.1,15.4%
28045,28.0,27.1,-3.1%
28047,25.9,27.2,5.3%
28049,20.0,16.0,-19.7%
28059,25.5,27.8,8.9%
28063,27.2,18.4,-32.3%
28073,22.9,26.0,13.4%
28083,18.6,27.0,45.3%
28085,21.7,22.4,3.2%
28089,22.4,24.4,9.0%
28109,23.9,22.8,-4.5%
28121,26.3,25.1,-4.5%
28131,24.3,26.5,9.0%
28141,17.5,14.6,-16.4%
28149,17.7,20.2,13.9%
28151,18.0,24.1,34.1%
28157,23.2,27.2,17.0%
29003,11.2,27.7,147.6%
29009,18.2,25.1,38.2%
29011,20.9,19.1,-8.2%
29013,17.9,27.2,51.7%
29035,17.3,17.4,0.8%
29041,12.8,22.9,79.3%
29045,16.9,17.7,4.9%
29051,14.6,25.4,74.1%
29053,13.6,15.5,13.9%
29055,12.1,20.3,68.1%
29059,13.7,18.4,34.3%
29063,19.3,19.7,2.0%
29065,15.0,18.4,22.9%
29069,17.3,21.3,23.2%
29077,17.0,26.6,56.0%
29087,11.9,18.3,53.5%
29093,10.2,21.0,106.3%
29095,15.3,24.8,62.7%
29097,15.8,21.7,37.6%
29099,13.8,24.0,74.0%
29113,7.8,24.6,213.6%
29119,15.0,15.7,5.0%
29121,13.3,20.6,55.2%
29123,8.5,19.1,125.2%
29127,11.8,17.0,43.7%
29139,13.7,24.7,79.9%
29145,15.7,19.0,21.5%
29153,17.0,24.7,45.6%
29161,18.5,27.0,45.3%
29165,13.3,24.8,87.1%
29173,19.0,22.1,16.1%
29175,10.1,13.1,30.5%
29179,19.1,17.9,-6.3%
29181,15.5,17.0,9.7%
29189,16.9,24.8,46.8%
29203,16.1,17.8,10.2%
29207,16.1,22.1,37.1%
29209,14.4,26.1,80.5%
29213,13.9,21.3,52.8%
29223,16.9,25.0,48.1%
29510,12.3,21.1,72.3%
30001,7.4,17.2,133.4%
30003,10.1,11.3,11.9%
30005,8.0,14.4,80.9%
30007,6.8,12.4,82.2%
30009,13.3,21.3,60.4%
30013,7.4,11.8,58.9%
30015,9.5,17.1,80.3%
30023,4.0,10.5,162.2%
30027,10.0,24.3,143.1%
30029,6.7,13.1,95.3%
30031,10.2,12.9,27.4%
30033,18.4,16.2,-11.9%
30035,6.7,11.6,73.2%
30039,10.0,9.3,-7.4%
30041,8.6,15.9,84.3%
30043,10.0,11.0,9.7%
30047,8.9,20.0,123.6%
30049,7.4,9.8,31.2%
30053,7.3,9.9,36.0%
30055,13.9,15.0,8.2%
30057,8.6,13.0,51.5%
30061,8.6,20.1,133.1%
30063,10.1,12.3,22.8%
30067,1.8,18.2,938.8%
30069,8.9,19.7,121.7%
30071,8.2,15.9,94.0%
30073,5.5,13.8,153.5%
30075,13.0,13.2,1.8%
30077,9.7,13.5,40.0%
30081,9.9,12.7,29.1%
30083,11.9,18.6,57.2%
30085,10.0,21.9,119.3%
30087,9.0,12.7,41.3%
30089,5.3,12.4,132.6%
30091,9.5,17.1,80.7%
30095,9.2,16.9,83.0%
