MonitoringLocationIdentifier,Result
11113300-00-LTE,24.257142857142856
11113300-00C-WKG,15.180000000000001
11113300-00E-CGB,17.762500000000003
11113300-00J-PRB,18.1875
11113300-00M-HOB,21.400000000000002
11113300-00M-SMT,16.770000000000003
11113300-00T-WKR,15.625
11113300-01-AND,22.75
11113300-01-ASH,18.8
11113300-01-BAT,21.166666666666668
11113300-01-BKB,21.75
11113300-01-BOB,17.135
11113300-01-BRR,18.05
11113300-01-CAM,20.384999999999998
11113300-01-CLD,19.564
11113300-01-CNT,25.025
11113300-01-CRB,18.78
11113300-01-CSB,13.68888888888889
11113300-01-CWL,18.099999999999998
11113300-01-DAB,14.746666666666668
11113300-01-DBE,17.7375
11113300-01-DOB,18.58
11113300-01-DRT,21.03333333333333
11113300-01-GBR,19.166666666666668
11113300-01-GFB,23.375
11113300-01-GIL,14.266666666666667
11113300-01-GRB,16.432
11113300-01-GRL,17.116666666666664
11113300-01-GUN,12.64285714285714
11113300-01-HML,17.757142857142856
11113300-01-HNY,15.41
11113300-01-MER,23.3
11113300-01-MIB,17.502000000000002
11113300-01-MLD,18.459999999999997
11113300-01-MQB,19.4
11113300-01-MSC,23.849999999999998
11113300-01-MTB,15.799999999999997
11113300-01-NBR,19.728571428571428
11113300-01-NFD,19.230769230769234
11113300-01-NWD,24.933333333333334
11113300-01-OTT,17.6
11113300-01-SAC,22.26666666666667
11113300-01-SGR,20.657142857142855
11113300-01-WAB,20.394
11113300-01-WDY,17.714285714285715
11113300-01-WIL,15.950000000000001
11113300-01-XBB,20.599999999999998
11113300-01-XCB,18.125
11113300-01-XDB,24.907499999999995
11113300-01-XHB,14.98
11113300-01-XJR,17.16
11113300-01A-BKB,20.75
11113300-01A-GRD,17.625
11113300-01A-LTR,19.2
11113300-01B-BKB,21.925
11113300-01K-HOB,16.9
11113300-02-AND,20.39
11113300-02-ASH,21.866666666666664
11113300-02-BKW,21.242857142857144
11113300-02-BLD,15.566666666666668
11113300-02-CLD,19.022
11113300-02-COR,21.55
11113300-02-CRT,20.76
11113300-02-CTC,24.633333333333336
11113300-02-GRB,16.371999999999996
